nl_question,sparql_partial_uri,sparql_complete_uri
How many editors are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :editor . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/editor> . }
List the names of editors in ascending order of age.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :editor . ?T1 :name ?T1_name . ?T1 :age ?T1_age . } ORDER BY ASC (?T1_age)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/editor> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/age> ?T1_age . } ORDER BY ASC (?T1_age)
What are the names and ages of editors?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_age WHERE { ?T1 a :editor . ?T1 :name ?T1_name . ?T1 :age ?T1_age . }",SELECT ?T1_name ?T1_age WHERE { ?T1 a <http://valuenet/ontop/editor> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/age> ?T1_age . }
List the names of editors who are older than 25.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :editor . ?T1 :name ?T1_name . ?T1 :age ?T1_age . FILTER(?T1_age > 25) . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/editor> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/age> ?T1_age . FILTER(?T1_age > 25) . }
Show the names of editors of age either 24 or 25.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :editor . ?T1 :name ?T1_name . ?T1 :age ?T1_age . ?T1 :age ?T1_age . FILTER(?T1_age = 24 || ?T1_age = 25) . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/editor> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/age> ?T1_age . ?T1 <http://valuenet/ontop/age> ?T1_age . FILTER(?T1_age = 24 || ?T1_age = 25) . }
What is the name of the youngest editor?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :editor . ?T1 :name ?T1_name . ?T1 :age ?T1_age . } ORDER BY ASC (?T1_age) LIMIT 1",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/editor> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/age> ?T1_age . } ORDER BY ASC (?T1_age) LIMIT 1
What are the different ages of editors? Show each age along with the number of editors of that age.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_age (count( *) as ?aggregation_all) WHERE { ?T1 a :editor . ?T1 :age ?T1_age . } GROUP BY ?T1_age",SELECT ?T1_age (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/editor> . ?T1 <http://valuenet/ontop/age> ?T1_age . } GROUP BY ?T1_age
Please show the most common age of editors.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_age (count( *) as ?aggregation_all) WHERE { ?T1 a :editor . ?T1 :age ?T1_age . } GROUP BY ?T1_age ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_age (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/editor> . ?T1 <http://valuenet/ontop/age> ?T1_age . } GROUP BY ?T1_age ORDER BY DESC (?aggregation_all) LIMIT 1
Show the distinct themes of journals.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_theme WHERE { ?T1 a :journal . ?T1 :theme ?T1_theme . }",SELECT DISTINCT ?T1_theme WHERE { ?T1 a <http://valuenet/ontop/journal> . ?T1 <http://valuenet/ontop/theme> ?T1_theme . }
Show the names of editors and the theme of journals for which they serve on committees.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T2_theme WHERE { ?T1 a :editor . ?T13 a :journal_committee . ?T13 :ref-editor ?T1 . ?T1 :name ?T1_name . ?T2 :theme ?T2_theme . ?T2 a :journal . ?T13 :ref-journal ?T2 . ?T1 :name ?T1_name . ?T2 :theme ?T2_theme . }",SELECT ?T1_name ?T2_theme WHERE { ?T1 a <http://valuenet/ontop/editor> . ?T13 a <http://valuenet/ontop/journal_committee> . ?T13 <http://valuenet/ontop/ref-editor> ?T1 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T2 <http://valuenet/ontop/theme> ?T2_theme . ?T2 a <http://valuenet/ontop/journal> . ?T13 <http://valuenet/ontop/ref-journal> ?T2 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T2 <http://valuenet/ontop/theme> ?T2_theme . }
"For each journal_committee, find the editor name and the journal theme.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T2_theme WHERE { ?T1 a :editor . ?T13 a :journal_committee . ?T13 :ref-editor ?T1 . ?T1 :name ?T1_name . ?T2 :theme ?T2_theme . ?T2 a :journal . ?T13 :ref-journal ?T2 . ?T1 :name ?T1_name . ?T2 :theme ?T2_theme . }",SELECT ?T1_name ?T2_theme WHERE { ?T1 a <http://valuenet/ontop/editor> . ?T13 a <http://valuenet/ontop/journal_committee> . ?T13 <http://valuenet/ontop/ref-editor> ?T1 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T2 <http://valuenet/ontop/theme> ?T2_theme . ?T2 a <http://valuenet/ontop/journal> . ?T13 <http://valuenet/ontop/ref-journal> ?T2 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T2 <http://valuenet/ontop/theme> ?T2_theme . }
"Show the names and ages of editors and the theme of journals for which they serve on committees, in ascending alphabetical order of theme.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_age ?T2_theme WHERE { ?T1 a :editor . ?T13 a :journal_committee . ?T13 :ref-editor ?T1 . ?T1 :name ?T1_name . ?T1 :age ?T1_age . ?T2 :theme ?T2_theme . ?T2 :theme ?T2_theme . ?T2 a :journal . ?T13 :ref-journal ?T2 . ?T1 :name ?T1_name . ?T1 :age ?T1_age . ?T2 :theme ?T2_theme . ?T2 :theme ?T2_theme . } ORDER BY ASC (?T2_theme)",SELECT ?T1_name ?T1_age ?T2_theme WHERE { ?T1 a <http://valuenet/ontop/editor> . ?T13 a <http://valuenet/ontop/journal_committee> . ?T13 <http://valuenet/ontop/ref-editor> ?T1 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/age> ?T1_age . ?T2 <http://valuenet/ontop/theme> ?T2_theme . ?T2 <http://valuenet/ontop/theme> ?T2_theme . ?T2 a <http://valuenet/ontop/journal> . ?T13 <http://valuenet/ontop/ref-journal> ?T2 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/age> ?T1_age . ?T2 <http://valuenet/ontop/theme> ?T2_theme . ?T2 <http://valuenet/ontop/theme> ?T2_theme . } ORDER BY ASC (?T2_theme)
