nl_question,sparql_partial_uri,sparql_complete_uri
What is the total enrollment number of all colleges?,"PREFIX : <http://valuenet/ontop/>
SELECT (sum( ?T1_enr) as ?aggregation_T1_enr_77 ) WHERE { ?T1 a :college . ?T1 :enr ?T1_enr . }",SELECT (sum( ?T1_enr) as ?aggregation_T1_enr_77 ) WHERE { ?T1 a <http://valuenet/ontop/college> . ?T1 <http://valuenet/ontop/enr> ?T1_enr . }
How many students are enrolled in college?,"PREFIX : <http://valuenet/ontop/>
SELECT (sum( ?T1_enr) as ?aggregation_T1_enr_66 ) WHERE { ?T1 a :college . ?T1 :enr ?T1_enr . }",SELECT (sum( ?T1_enr) as ?aggregation_T1_enr_66 ) WHERE { ?T1 a <http://valuenet/ontop/college> . ?T1 <http://valuenet/ontop/enr> ?T1_enr . }
What is the average enrollment number?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_enr) as ?aggregation_T1_enr_164 ) WHERE { ?T1 a :college . ?T1 :enr ?T1_enr . }",SELECT (avg( ?T1_enr) as ?aggregation_T1_enr_164 ) WHERE { ?T1 a <http://valuenet/ontop/college> . ?T1 <http://valuenet/ontop/enr> ?T1_enr . }
"How many students, on average, does each college have enrolled?","PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_enr) as ?aggregation_T1_enr_8 ) WHERE { ?T1 a :college . ?T1 :enr ?T1_enr . }",SELECT (avg( ?T1_enr) as ?aggregation_T1_enr_8 ) WHERE { ?T1 a <http://valuenet/ontop/college> . ?T1 <http://valuenet/ontop/enr> ?T1_enr . }
How many colleges in total?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :college . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/college> . }
How many different colleges are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :college . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/college> . }
How many players have more than 1000 hours of training?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :player . ?T1 :hs ?T1_hs . FILTER(?T1_hs > 1000) . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/player> . ?T1 <http://valuenet/ontop/hs> ?T1_hs . FILTER(?T1_hs > 1000) . }
How many different players trained for more than 1000 hours?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :player . ?T1 :hs ?T1_hs . FILTER(?T1_hs > 1000) . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/player> . ?T1 <http://valuenet/ontop/hs> ?T1_hs . FILTER(?T1_hs > 1000) . }
How many colleges has more than 15000 students?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :college . ?T1 :enr ?T1_enr . FILTER(?T1_enr > 15000) . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/college> . ?T1 <http://valuenet/ontop/enr> ?T1_enr . FILTER(?T1_enr > 15000) . }
What is the number of colleges with a student population greater than 15000?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :college . ?T1 :enr ?T1_enr . FILTER(?T1_enr > 15000) . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/college> . ?T1 <http://valuenet/ontop/enr> ?T1_enr . FILTER(?T1_enr > 15000) . }
What is the average training hours of all players?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_hs) as ?aggregation_T1_hs_50 ) WHERE { ?T1 a :player . ?T1 :hs ?T1_hs . }",SELECT (avg( ?T1_hs) as ?aggregation_T1_hs_50 ) WHERE { ?T1 a <http://valuenet/ontop/player> . ?T1 <http://valuenet/ontop/hs> ?T1_hs . }
How many hours do the players train on average?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_hs) as ?aggregation_T1_hs_173 ) WHERE { ?T1 a :player . ?T1 :hs ?T1_hs . }",SELECT (avg( ?T1_hs) as ?aggregation_T1_hs_173 ) WHERE { ?T1 a <http://valuenet/ontop/player> . ?T1 <http://valuenet/ontop/hs> ?T1_hs . }
Find the name and training hours of players whose hours are below 1500.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_pname ?T1_hs WHERE { ?T1 a :player . ?T1 :pname ?T1_pname . ?T1 :hs ?T1_hs . ?T1 :hs ?T1_hs . FILTER(?T1_hs < 1500) . }",SELECT ?T1_pname ?T1_hs WHERE { ?T1 a <http://valuenet/ontop/player> . ?T1 <http://valuenet/ontop/pname> ?T1_pname . ?T1 <http://valuenet/ontop/hs> ?T1_hs . ?T1 <http://valuenet/ontop/hs> ?T1_hs . FILTER(?T1_hs < 1500) . }
What are the names and number of hours spent training for each player who trains for less than 1500 hours?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_pname ?T1_hs WHERE { ?T1 a :player . ?T1 :pname ?T1_pname . ?T1 :hs ?T1_hs . ?T1 :hs ?T1_hs . FILTER(?T1_hs < 1500) . }",SELECT ?T1_pname ?T1_hs WHERE { ?T1 a <http://valuenet/ontop/player> . ?T1 <http://valuenet/ontop/pname> ?T1_pname . ?T1 <http://valuenet/ontop/hs> ?T1_hs . ?T1 <http://valuenet/ontop/hs> ?T1_hs . FILTER(?T1_hs < 1500) . }
How many different colleges do attend the tryout test?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_cname) as ?aggregation_T1_cname_126 ) WHERE { ?T1 a :tryout . ?T1 :cname ?T1_cname . }",SELECT DISTINCT (count(DISTINCT ?T1_cname) as ?aggregation_T1_cname_126 ) WHERE { ?T1 a <http://valuenet/ontop/tryout> . ?T1 <http://valuenet/ontop/cname> ?T1_cname . }
How many different colleges were represented at tryouts?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_cname) as ?aggregation_T1_cname_73 ) WHERE { ?T1 a :tryout . ?T1 :cname ?T1_cname . }",SELECT DISTINCT (count(DISTINCT ?T1_cname) as ?aggregation_T1_cname_73 ) WHERE { ?T1 a <http://valuenet/ontop/tryout> . ?T1 <http://valuenet/ontop/cname> ?T1_cname . }
What are the unique types of player positions in the tryout?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_ppos) as ?aggregation_T1_ppos_179 ) WHERE { ?T1 a :tryout . ?T1 :ppos ?T1_ppos . }",SELECT DISTINCT (count(DISTINCT ?T1_ppos) as ?aggregation_T1_ppos_179 ) WHERE { ?T1 a <http://valuenet/ontop/tryout> . ?T1 <http://valuenet/ontop/ppos> ?T1_ppos . }
What are the different types of player positions?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_ppos) as ?aggregation_T1_ppos_85 ) WHERE { ?T1 a :tryout . ?T1 :ppos ?T1_ppos . }",SELECT DISTINCT (count(DISTINCT ?T1_ppos) as ?aggregation_T1_ppos_85 ) WHERE { ?T1 a <http://valuenet/ontop/tryout> . ?T1 <http://valuenet/ontop/ppos> ?T1_ppos . }
How many students got accepted after the tryout?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :tryout . ?T1 :decision ?T1_decision . FILTER(?T1_decision = 'yes') . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/tryout> . ?T1 <http://valuenet/ontop/decision> ?T1_decision . FILTER(?T1_decision = 'yes') . }
How many students received a yes from tryouts?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :tryout . ?T1 :decision ?T1_decision . FILTER(?T1_decision = 'yes') . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/tryout> . ?T1 <http://valuenet/ontop/decision> ?T1_decision . FILTER(?T1_decision = 'yes') . }
How many students whose are playing the role of goalie?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :tryout . ?T1 :ppos ?T1_ppos . FILTER(?T1_ppos = 'goalie') . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/tryout> . ?T1 <http://valuenet/ontop/ppos> ?T1_ppos . FILTER(?T1_ppos = 'goalie') . }
What is the number of students playing as a goalie?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :tryout . ?T1 :ppos ?T1_ppos . FILTER(?T1_ppos = 'goalie') . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/tryout> . ?T1 <http://valuenet/ontop/ppos> ?T1_ppos . FILTER(?T1_ppos = 'goalie') . }
"Find the max, average and min training hours of all players.","PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_hs) as ?aggregation_T1_hs_60 ) (max( ?T1_hs) as ?aggregation_T1_hs_124 ) (min( ?T1_hs) as ?aggregation_T1_hs_63 ) WHERE { ?T1 a :player . ?T1 :hs ?T1_hs . ?T1 :hs ?T1_hs . ?T1 :hs ?T1_hs . }",SELECT (avg( ?T1_hs) as ?aggregation_T1_hs_60 ) (max( ?T1_hs) as ?aggregation_T1_hs_124 ) (min( ?T1_hs) as ?aggregation_T1_hs_63 ) WHERE { ?T1 a <http://valuenet/ontop/player> . ?T1 <http://valuenet/ontop/hs> ?T1_hs . ?T1 <http://valuenet/ontop/hs> ?T1_hs . ?T1 <http://valuenet/ontop/hs> ?T1_hs . }
"What is the average, maximum, and minimum for the number of hours spent training?","PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_hs) as ?aggregation_T1_hs_138 ) (max( ?T1_hs) as ?aggregation_T1_hs_124 ) (min( ?T1_hs) as ?aggregation_T1_hs_15 ) WHERE { ?T1 a :player . ?T1 :hs ?T1_hs . ?T1 :hs ?T1_hs . ?T1 :hs ?T1_hs . }",SELECT (avg( ?T1_hs) as ?aggregation_T1_hs_138 ) (max( ?T1_hs) as ?aggregation_T1_hs_124 ) (min( ?T1_hs) as ?aggregation_T1_hs_15 ) WHERE { ?T1 a <http://valuenet/ontop/player> . ?T1 <http://valuenet/ontop/hs> ?T1_hs . ?T1 <http://valuenet/ontop/hs> ?T1_hs . ?T1 <http://valuenet/ontop/hs> ?T1_hs . }
What is average enrollment of colleges in the state FL?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_enr) as ?aggregation_T1_enr_191 ) WHERE { ?T1 a :college . ?T1 :enr ?T1_enr . ?T1 :state ?T1_state . FILTER(?T1_state = 'FL') . }",SELECT (avg( ?T1_enr) as ?aggregation_T1_enr_191 ) WHERE { ?T1 a <http://valuenet/ontop/college> . ?T1 <http://valuenet/ontop/enr> ?T1_enr . ?T1 <http://valuenet/ontop/state> ?T1_state . FILTER(?T1_state = 'FL') . }
What is average number of students enrolled in Florida colleges?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_enr) as ?aggregation_T1_enr_85 ) WHERE { ?T1 a :college . ?T1 :enr ?T1_enr . ?T1 :state ?T1_state . FILTER(?T1_state = 'FL') . }",SELECT (avg( ?T1_enr) as ?aggregation_T1_enr_85 ) WHERE { ?T1 a <http://valuenet/ontop/college> . ?T1 <http://valuenet/ontop/enr> ?T1_enr . ?T1 <http://valuenet/ontop/state> ?T1_state . FILTER(?T1_state = 'FL') . }
What are the names of players whose training hours is between 500 and 1500?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_pname WHERE { ?T1 a :player . ?T1 :pname ?T1_pname . ?T1 :hs ?T1_hs . FILTER(?T1_hs >= 500 && ?T1_hs <= 1500) . }",SELECT ?T1_pname WHERE { ?T1 a <http://valuenet/ontop/player> . ?T1 <http://valuenet/ontop/pname> ?T1_pname . ?T1 <http://valuenet/ontop/hs> ?T1_hs . FILTER(?T1_hs >= 500 && ?T1_hs <= 1500) . }
