nl_question,sparql_partial_uri,sparql_complete_uri
How many products are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :products . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/products> . }
List the name of products in ascending order of price.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_product_name WHERE { ?T1 a :products . ?T1 :product_name ?T1_product_name . ?T1 :product_price ?T1_product_price . } ORDER BY ASC (?T1_product_price)",SELECT ?T1_product_name WHERE { ?T1 a <http://valuenet/ontop/products> . ?T1 <http://valuenet/ontop/product_name> ?T1_product_name . ?T1 <http://valuenet/ontop/product_price> ?T1_product_price . } ORDER BY ASC (?T1_product_price)
What are the names and type codes of products?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_product_name ?T1_product_type_code WHERE { ?T1 a :products . ?T1 :product_name ?T1_product_name . ?T1 :product_type_code ?T1_product_type_code . }",SELECT ?T1_product_name ?T1_product_type_code WHERE { ?T1 a <http://valuenet/ontop/products> . ?T1 <http://valuenet/ontop/product_name> ?T1_product_name . ?T1 <http://valuenet/ontop/product_type_code> ?T1_product_type_code . }
Show the prices of the products named 'Dining' or 'Trading Policy'.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_product_price WHERE { ?T1 a :products . ?T1 :product_price ?T1_product_price . ?T1 :product_name ?T1_product_name . ?T1 :product_name ?T1_product_name . FILTER(?T1_product_name = 'Dining' || ?T1_product_name = 'Trading Policy') . }",SELECT ?T1_product_price WHERE { ?T1 a <http://valuenet/ontop/products> . ?T1 <http://valuenet/ontop/product_price> ?T1_product_price . ?T1 <http://valuenet/ontop/product_name> ?T1_product_name . ?T1 <http://valuenet/ontop/product_name> ?T1_product_name . FILTER(?T1_product_name = 'Dining' || ?T1_product_name = 'Trading Policy') . }
What is the average price for products?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_product_price) as ?aggregation_T1_product_price_189 ) WHERE { ?T1 a :products . ?T1 :product_price ?T1_product_price . }",SELECT (avg( ?T1_product_price) as ?aggregation_T1_product_price_189 ) WHERE { ?T1 a <http://valuenet/ontop/products> . ?T1 <http://valuenet/ontop/product_price> ?T1_product_price . }
What is the name of the product with the highest price?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_product_name WHERE { ?T1 a :products . ?T1 :product_name ?T1_product_name . ?T1 :product_price ?T1_product_price . } ORDER BY DESC (?T1_product_price) LIMIT 1",SELECT ?T1_product_name WHERE { ?T1 a <http://valuenet/ontop/products> . ?T1 <http://valuenet/ontop/product_name> ?T1_product_name . ?T1 <http://valuenet/ontop/product_price> ?T1_product_price . } ORDER BY DESC (?T1_product_price) LIMIT 1
Show different type codes of products and the number of products with each type code.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_product_type_code (count( *) as ?aggregation_all) WHERE { ?T1 a :products . ?T1 :product_type_code ?T1_product_type_code . } GROUP BY ?T1_product_type_code",SELECT ?T1_product_type_code (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/products> . ?T1 <http://valuenet/ontop/product_type_code> ?T1_product_type_code . } GROUP BY ?T1_product_type_code
Show the most common type code across products.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_product_type_code (count( *) as ?aggregation_all) WHERE { ?T1 a :products . ?T1 :product_type_code ?T1_product_type_code . } GROUP BY ?T1_product_type_code ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_product_type_code (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/products> . ?T1 <http://valuenet/ontop/product_type_code> ?T1_product_type_code . } GROUP BY ?T1_product_type_code ORDER BY DESC (?aggregation_all) LIMIT 1
Show the product type codes that have at least two products.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_product_type_code WHERE { ?T1 a :products . ?T1 :product_type_code ?T1_product_type_code . } GROUP BY ?T1_product_type_code HAVING(count( *) >= 2)",SELECT ?T1_product_type_code WHERE { ?T1 a <http://valuenet/ontop/products> . ?T1 <http://valuenet/ontop/product_type_code> ?T1_product_type_code . } GROUP BY ?T1_product_type_code HAVING(count( *) >= 2)
Show the product type codes that have both products with price higher than 4500 and products with price lower than 3000.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_product_type_code WHERE { ?T1 a :products . ?T1 :product_type_code ?T1_product_type_code . ?T1 :product_price ?T1_product_price . FILTER(?T1_product_price > 4500) . FILTER (?T1_product_type_code in (?T2_product_type_code)) . ?T2 a :products . ?T2 :product_type_code ?T2_product_type_code . ?T2 :product_price ?T2_product_price . FILTER(?T2_product_price < 3000) . }",SELECT DISTINCT ?T1_product_type_code WHERE { ?T1 a <http://valuenet/ontop/products> . ?T1 <http://valuenet/ontop/product_type_code> ?T1_product_type_code . ?T1 <http://valuenet/ontop/product_price> ?T1_product_price . FILTER(?T1_product_price > 4500) . FILTER (?T1_product_type_code in (?T2_product_type_code)) . ?T2 a <http://valuenet/ontop/products> . ?T2 <http://valuenet/ontop/product_type_code> ?T2_product_type_code . ?T2 <http://valuenet/ontop/product_price> ?T2_product_price . FILTER(?T2_product_price < 3000) . }
