nl_question,sparql_partial_uri,sparql_complete_uri
How many film are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :film . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/film> . }
Count the number of films.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :film . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/film> . }
List the distinct director of all films.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_director WHERE { ?T1 a :film . ?T1 :director ?T1_director . }",SELECT DISTINCT ?T1_director WHERE { ?T1 a <http://valuenet/ontop/film> . ?T1 <http://valuenet/ontop/director> ?T1_director . }
What are the different film Directors?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_director WHERE { ?T1 a :film . ?T1 :director ?T1_director . }",SELECT DISTINCT ?T1_director WHERE { ?T1 a <http://valuenet/ontop/film> . ?T1 <http://valuenet/ontop/director> ?T1_director . }
What is the average ticket sales gross in dollars of films?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_gross_in_dollar) as ?aggregation_T1_gross_in_dollar_61 ) WHERE { ?T1 a :film . ?T1 :gross_in_dollar ?T1_gross_in_dollar . }",SELECT (avg( ?T1_gross_in_dollar) as ?aggregation_T1_gross_in_dollar_61 ) WHERE { ?T1 a <http://valuenet/ontop/film> . ?T1 <http://valuenet/ontop/gross_in_dollar> ?T1_gross_in_dollar . }
Return the average gross sales in dollars across all films.,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_gross_in_dollar) as ?aggregation_T1_gross_in_dollar_159 ) WHERE { ?T1 a :film . ?T1 :gross_in_dollar ?T1_gross_in_dollar . }",SELECT (avg( ?T1_gross_in_dollar) as ?aggregation_T1_gross_in_dollar_159 ) WHERE { ?T1 a <http://valuenet/ontop/film> . ?T1 <http://valuenet/ontop/gross_in_dollar> ?T1_gross_in_dollar . }
What are the low and high estimates of film markets?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_low_estimate ?T1_high_estimate WHERE { ?T1 a :film_market_estimation . ?T1 :low_estimate ?T1_low_estimate . ?T1 :high_estimate ?T1_high_estimate . }",SELECT ?T1_low_estimate ?T1_high_estimate WHERE { ?T1 a <http://valuenet/ontop/film_market_estimation> . ?T1 <http://valuenet/ontop/low_estimate> ?T1_low_estimate . ?T1 <http://valuenet/ontop/high_estimate> ?T1_high_estimate . }
Return the low and high estimates for all film markets.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_low_estimate ?T1_high_estimate WHERE { ?T1 a :film_market_estimation . ?T1 :low_estimate ?T1_low_estimate . ?T1 :high_estimate ?T1_high_estimate . }",SELECT ?T1_low_estimate ?T1_high_estimate WHERE { ?T1 a <http://valuenet/ontop/film_market_estimation> . ?T1 <http://valuenet/ontop/low_estimate> ?T1_low_estimate . ?T1 <http://valuenet/ontop/high_estimate> ?T1_high_estimate . }
What are the types of film market estimations in year 1995?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_type WHERE { ?T1 a :film_market_estimation . ?T1 :type ?T1_type . ?T1 :year ?T1_year . FILTER(?T1_year = 1995) . }",SELECT ?T1_type WHERE { ?T1 a <http://valuenet/ontop/film_market_estimation> . ?T1 <http://valuenet/ontop/type> ?T1_type . ?T1 <http://valuenet/ontop/year> ?T1_year . FILTER(?T1_year = 1995) . }
Return the types of film market estimations in 1995.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_type WHERE { ?T1 a :film_market_estimation . ?T1 :type ?T1_type . ?T1 :year ?T1_year . FILTER(?T1_year = 1995) . }",SELECT ?T1_type WHERE { ?T1 a <http://valuenet/ontop/film_market_estimation> . ?T1 <http://valuenet/ontop/type> ?T1_type . ?T1 <http://valuenet/ontop/year> ?T1_year . FILTER(?T1_year = 1995) . }
What are the maximum and minimum number of cities in all markets.,"PREFIX : <http://valuenet/ontop/>
SELECT (max( ?T1_number_cities) as ?aggregation_T1_number_cities_169 ) (min( ?T1_number_cities) as ?aggregation_T1_number_cities_68 ) WHERE { ?T1 a :market . ?T1 :number_cities ?T1_number_cities . ?T1 :number_cities ?T1_number_cities . }",SELECT (max( ?T1_number_cities) as ?aggregation_T1_number_cities_169 ) (min( ?T1_number_cities) as ?aggregation_T1_number_cities_68 ) WHERE { ?T1 a <http://valuenet/ontop/market> . ?T1 <http://valuenet/ontop/number_cities> ?T1_number_cities . ?T1 <http://valuenet/ontop/number_cities> ?T1_number_cities . }
Return the maximum and minimum number of cities across all markets.,"PREFIX : <http://valuenet/ontop/>
SELECT (max( ?T1_number_cities) as ?aggregation_T1_number_cities_43 ) (min( ?T1_number_cities) as ?aggregation_T1_number_cities_128 ) WHERE { ?T1 a :market . ?T1 :number_cities ?T1_number_cities . ?T1 :number_cities ?T1_number_cities . }",SELECT (max( ?T1_number_cities) as ?aggregation_T1_number_cities_43 ) (min( ?T1_number_cities) as ?aggregation_T1_number_cities_128 ) WHERE { ?T1 a <http://valuenet/ontop/market> . ?T1 <http://valuenet/ontop/number_cities> ?T1_number_cities . ?T1 <http://valuenet/ontop/number_cities> ?T1_number_cities . }
How many markets have number of cities smaller than 300?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :market . ?T1 :number_cities ?T1_number_cities . FILTER(?T1_number_cities < 300) . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/market> . ?T1 <http://valuenet/ontop/number_cities> ?T1_number_cities . FILTER(?T1_number_cities < 300) . }
Count the number of markets that have a number of cities lower than 300.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :market . ?T1 :number_cities ?T1_number_cities . FILTER(?T1_number_cities < 300) . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/market> . ?T1 <http://valuenet/ontop/number_cities> ?T1_number_cities . FILTER(?T1_number_cities < 300) . }
List all countries of markets in ascending alphabetical order.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_country WHERE { ?T1 a :market . ?T1 :country ?T1_country . ?T1 :country ?T1_country . } ORDER BY ASC (?T1_country)",SELECT ?T1_country WHERE { ?T1 a <http://valuenet/ontop/market> . ?T1 <http://valuenet/ontop/country> ?T1_country . ?T1 <http://valuenet/ontop/country> ?T1_country . } ORDER BY ASC (?T1_country)
"What are the countries for each market, ordered alphabetically?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_country WHERE { ?T1 a :market . ?T1 :country ?T1_country . ?T1 :country ?T1_country . } ORDER BY ASC (?T1_country)",SELECT ?T1_country WHERE { ?T1 a <http://valuenet/ontop/market> . ?T1 <http://valuenet/ontop/country> ?T1_country . ?T1 <http://valuenet/ontop/country> ?T1_country . } ORDER BY ASC (?T1_country)
List all countries of markets in descending order of number of cities.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_country WHERE { ?T1 a :market . ?T1 :country ?T1_country . ?T1 :number_cities ?T1_number_cities . } ORDER BY DESC (?T1_number_cities)",SELECT ?T1_country WHERE { ?T1 a <http://valuenet/ontop/market> . ?T1 <http://valuenet/ontop/country> ?T1_country . ?T1 <http://valuenet/ontop/number_cities> ?T1_number_cities . } ORDER BY DESC (?T1_number_cities)
What are the countries for each market ordered by decreasing number of cities?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_country WHERE { ?T1 a :market . ?T1 :country ?T1_country . ?T1 :number_cities ?T1_number_cities . } ORDER BY DESC (?T1_number_cities)",SELECT ?T1_country WHERE { ?T1 a <http://valuenet/ontop/market> . ?T1 <http://valuenet/ontop/country> ?T1_country . ?T1 <http://valuenet/ontop/number_cities> ?T1_number_cities . } ORDER BY DESC (?T1_number_cities)
Please show the titles of films and the types of market estimations.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_title ?T2_type WHERE { ?T1 a :film . ?T2 a :film_market_estimation . ?T2 :ref-film ?T1 . ?T1 :title ?T1_title . ?T2 :type ?T2_type . }",SELECT ?T1_title ?T2_type WHERE { ?T1 a <http://valuenet/ontop/film> . ?T2 a <http://valuenet/ontop/film_market_estimation> . ?T2 <http://valuenet/ontop/ref-film> ?T1 . ?T1 <http://valuenet/ontop/title> ?T1_title . ?T2 <http://valuenet/ontop/type> ?T2_type . }
What are the titles of films and corresponding types of market estimations?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_title ?T2_type WHERE { ?T1 a :film . ?T2 a :film_market_estimation . ?T2 :ref-film ?T1 . ?T1 :title ?T1_title . ?T2 :type ?T2_type . }",SELECT ?T1_title ?T2_type WHERE { ?T1 a <http://valuenet/ontop/film> . ?T2 a <http://valuenet/ontop/film_market_estimation> . ?T2 <http://valuenet/ontop/ref-film> ?T1 . ?T1 <http://valuenet/ontop/title> ?T1_title . ?T2 <http://valuenet/ontop/type> ?T2_type . }
