nl_question,sparql_partial_uri,sparql_complete_uri
How many clubs are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :club . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/club> . }
Count the total number of clubs.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :club . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/club> . }
What are the names of all clubs?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_clubname WHERE { ?T1 a :club . ?T1 :clubname ?T1_clubname . }",SELECT ?T1_clubname WHERE { ?T1 a <http://valuenet/ontop/club> . ?T1 <http://valuenet/ontop/clubname> ?T1_clubname . }
Give me the name of each club.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_clubname WHERE { ?T1 a :club . ?T1 :clubname ?T1_clubname . }",SELECT ?T1_clubname WHERE { ?T1 a <http://valuenet/ontop/club> . ?T1 <http://valuenet/ontop/clubname> ?T1_clubname . }
How many students are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :student . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/student> . }
Count the total number of students.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :student . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/student> . }
What are the first names of all the students?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_fname WHERE { ?T1 a :student . ?T1 :fname ?T1_fname . }",SELECT DISTINCT ?T1_fname WHERE { ?T1 a <http://valuenet/ontop/student> . ?T1 <http://valuenet/ontop/fname> ?T1_fname . }
Find each student's first name.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_fname WHERE { ?T1 a :student . ?T1 :fname ?T1_fname . }",SELECT DISTINCT ?T1_fname WHERE { ?T1 a <http://valuenet/ontop/student> . ?T1 <http://valuenet/ontop/fname> ?T1_fname . }
Find the last names of the members of the club 'Bootup Baltimore'.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_lname WHERE { ?T1 a :student . ?T13 a :member_of_club . ?T13 :ref-stu ?T1 . ?T1 :lname ?T1_lname . ?T2 :clubname ?T2_clubname . ?T2 a :club . ?T13 :ref-club ?T2 . ?T1 :lname ?T1_lname . ?T2 :clubname ?T2_clubname . FILTER(?T2_clubname = 'Bootup Baltimore') . }",SELECT ?T1_lname WHERE { ?T1 a <http://valuenet/ontop/student> . ?T13 a <http://valuenet/ontop/member_of_club> . ?T13 <http://valuenet/ontop/ref-stu> ?T1 . ?T1 <http://valuenet/ontop/lname> ?T1_lname . ?T2 <http://valuenet/ontop/clubname> ?T2_clubname . ?T2 a <http://valuenet/ontop/club> . ?T13 <http://valuenet/ontop/ref-club> ?T2 . ?T1 <http://valuenet/ontop/lname> ?T1_lname . ?T2 <http://valuenet/ontop/clubname> ?T2_clubname . FILTER(?T2_clubname = 'Bootup Baltimore') . }
Who are the members of the club named 'Bootup Baltimore'? Give me their last names.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_lname WHERE { ?T1 a :student . ?T13 a :member_of_club . ?T13 :ref-stu ?T1 . ?T1 :lname ?T1_lname . ?T2 :clubname ?T2_clubname . ?T2 a :club . ?T13 :ref-club ?T2 . ?T1 :lname ?T1_lname . ?T2 :clubname ?T2_clubname . FILTER(?T2_clubname = 'Bootup Baltimore') . }",SELECT ?T1_lname WHERE { ?T1 a <http://valuenet/ontop/student> . ?T13 a <http://valuenet/ontop/member_of_club> . ?T13 <http://valuenet/ontop/ref-stu> ?T1 . ?T1 <http://valuenet/ontop/lname> ?T1_lname . ?T2 <http://valuenet/ontop/clubname> ?T2_clubname . ?T2 a <http://valuenet/ontop/club> . ?T13 <http://valuenet/ontop/ref-club> ?T2 . ?T1 <http://valuenet/ontop/lname> ?T1_lname . ?T2 <http://valuenet/ontop/clubname> ?T2_clubname . FILTER(?T2_clubname = 'Bootup Baltimore') . }
Who are the members of the club named 'Hopkins Student Enterprises'? Show the last name.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_lname WHERE { ?T1 a :student . ?T13 a :member_of_club . ?T13 :ref-stu ?T1 . ?T1 :lname ?T1_lname . ?T2 :clubname ?T2_clubname . ?T2 a :club . ?T13 :ref-club ?T2 . ?T1 :lname ?T1_lname . ?T2 :clubname ?T2_clubname . FILTER(?T2_clubname = 'Hopkins Student Enterprises') . }",SELECT ?T1_lname WHERE { ?T1 a <http://valuenet/ontop/student> . ?T13 a <http://valuenet/ontop/member_of_club> . ?T13 <http://valuenet/ontop/ref-stu> ?T1 . ?T1 <http://valuenet/ontop/lname> ?T1_lname . ?T2 <http://valuenet/ontop/clubname> ?T2_clubname . ?T2 a <http://valuenet/ontop/club> . ?T13 <http://valuenet/ontop/ref-club> ?T2 . ?T1 <http://valuenet/ontop/lname> ?T1_lname . ?T2 <http://valuenet/ontop/clubname> ?T2_clubname . FILTER(?T2_clubname = 'Hopkins Student Enterprises') . }
Return the last name for the members of the club named 'Hopkins Student Enterprises'.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_lname WHERE { ?T1 a :student . ?T13 a :member_of_club . ?T13 :ref-stu ?T1 . ?T1 :lname ?T1_lname . ?T2 :clubname ?T2_clubname . ?T2 a :club . ?T13 :ref-club ?T2 . ?T1 :lname ?T1_lname . ?T2 :clubname ?T2_clubname . FILTER(?T2_clubname = 'Hopkins Student Enterprises') . }",SELECT ?T1_lname WHERE { ?T1 a <http://valuenet/ontop/student> . ?T13 a <http://valuenet/ontop/member_of_club> . ?T13 <http://valuenet/ontop/ref-stu> ?T1 . ?T1 <http://valuenet/ontop/lname> ?T1_lname . ?T2 <http://valuenet/ontop/clubname> ?T2_clubname . ?T2 a <http://valuenet/ontop/club> . ?T13 <http://valuenet/ontop/ref-club> ?T2 . ?T1 <http://valuenet/ontop/lname> ?T1_lname . ?T2 <http://valuenet/ontop/clubname> ?T2_clubname . FILTER(?T2_clubname = 'Hopkins Student Enterprises') . }
How many members does the club 'Tennis Club' has?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :club . ?T1 :clubname ?T1_clubname . FILTER(?T1_clubname = 'Tennis Club') . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/club> . ?T1 <http://valuenet/ontop/clubname> ?T1_clubname . FILTER(?T1_clubname = 'Tennis Club') . }
Count the members of the club 'Tennis Club'.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :club . ?T1 :clubname ?T1_clubname . FILTER(?T1_clubname = 'Tennis Club') . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/club> . ?T1 <http://valuenet/ontop/clubname> ?T1_clubname . FILTER(?T1_clubname = 'Tennis Club') . }
Find the number of members of club 'Pen and Paper Gaming'.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :club . ?T1 :clubname ?T1_clubname . FILTER(?T1_clubname = 'Pen && Paper Gaming') . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/club> . ?T1 <http://valuenet/ontop/clubname> ?T1_clubname . FILTER(?T1_clubname = 'Pen && Paper Gaming') . }
How many people have membership in the club 'Pen and Paper Gaming'?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :club . ?T1 :clubname ?T1_clubname . FILTER(?T1_clubname = 'Pen && Paper Gaming') . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/club> . ?T1 <http://valuenet/ontop/clubname> ?T1_clubname . FILTER(?T1_clubname = 'Pen && Paper Gaming') . }
How many clubs does 'Linda Smith' belong to?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T13 a :member_of_club . ?T2 a :student . ?T13 :ref-stu ?T2 . ?T2 :fname ?T2_fname . ?T2 :lname ?T2_lname . FILTER(?T2_fname = 'Linda' && ?T2_lname = 'Smith') . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T13 a <http://valuenet/ontop/member_of_club> . ?T2 a <http://valuenet/ontop/student> . ?T13 <http://valuenet/ontop/ref-stu> ?T2 . ?T2 <http://valuenet/ontop/fname> ?T2_fname . ?T2 <http://valuenet/ontop/lname> ?T2_lname . FILTER(?T2_fname = 'Linda' && ?T2_lname = 'Smith') . }
How many clubs does 'Linda Smith' have membership for?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T13 a :member_of_club . ?T2 a :student . ?T13 :ref-stu ?T2 . ?T2 :fname ?T2_fname . ?T2 :lname ?T2_lname . FILTER(?T2_fname = 'Linda' && ?T2_lname = 'Smith') . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T13 a <http://valuenet/ontop/member_of_club> . ?T2 a <http://valuenet/ontop/student> . ?T13 <http://valuenet/ontop/ref-stu> ?T2 . ?T2 <http://valuenet/ontop/fname> ?T2_fname . ?T2 <http://valuenet/ontop/lname> ?T2_lname . FILTER(?T2_fname = 'Linda' && ?T2_lname = 'Smith') . }
Find the number of clubs where 'Tracy Kim' is a member.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T13 a :member_of_club . ?T2 a :student . ?T13 :ref-stu ?T2 . ?T2 :fname ?T2_fname . ?T2 :lname ?T2_lname . FILTER(?T2_fname = 'Tracy' && ?T2_lname = 'Kim') . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T13 a <http://valuenet/ontop/member_of_club> . ?T2 a <http://valuenet/ontop/student> . ?T13 <http://valuenet/ontop/ref-stu> ?T2 . ?T2 <http://valuenet/ontop/fname> ?T2_fname . ?T2 <http://valuenet/ontop/lname> ?T2_lname . FILTER(?T2_fname = 'Tracy' && ?T2_lname = 'Kim') . }
