nl_question,sparql_partial_uri,sparql_complete_uri
How many different captain ranks are there?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_rank) as ?aggregation_T1_rank_85 ) WHERE { ?T1 a :captain . ?T1 :rank ?T1_rank . }",SELECT DISTINCT (count(DISTINCT ?T1_rank) as ?aggregation_T1_rank_85 ) WHERE { ?T1 a <http://valuenet/ontop/captain> . ?T1 <http://valuenet/ontop/rank> ?T1_rank . }
Count the number of different ranks of captain.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_rank) as ?aggregation_T1_rank_145 ) WHERE { ?T1 a :captain . ?T1 :rank ?T1_rank . }",SELECT DISTINCT (count(DISTINCT ?T1_rank) as ?aggregation_T1_rank_145 ) WHERE { ?T1 a <http://valuenet/ontop/captain> . ?T1 <http://valuenet/ontop/rank> ?T1_rank . }
How many captains are in each rank?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) ?T1_rank WHERE { ?T1 a :captain . ?T1 :rank ?T1_rank . } GROUP BY ?T1_rank",SELECT (count( *) as ?aggregation_all) ?T1_rank WHERE { ?T1 a <http://valuenet/ontop/captain> . ?T1 <http://valuenet/ontop/rank> ?T1_rank . } GROUP BY ?T1_rank
Count the number of captains that have each rank.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) ?T1_rank WHERE { ?T1 a :captain . ?T1 :rank ?T1_rank . } GROUP BY ?T1_rank",SELECT (count( *) as ?aggregation_all) ?T1_rank WHERE { ?T1 a <http://valuenet/ontop/captain> . ?T1 <http://valuenet/ontop/rank> ?T1_rank . } GROUP BY ?T1_rank
How many captains with younger than 50 are in each rank?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) ?T1_rank WHERE { ?T1 a :captain . ?T1 :rank ?T1_rank . ?T1 :age ?T1_age . FILTER(?T1_age < 50) . } GROUP BY ?T1_rank",SELECT (count( *) as ?aggregation_all) ?T1_rank WHERE { ?T1 a <http://valuenet/ontop/captain> . ?T1 <http://valuenet/ontop/rank> ?T1_rank . ?T1 <http://valuenet/ontop/age> ?T1_age . FILTER(?T1_age < 50) . } GROUP BY ?T1_rank
Count the number of captains younger than 50 of each rank.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) ?T1_rank WHERE { ?T1 a :captain . ?T1 :rank ?T1_rank . ?T1 :age ?T1_age . FILTER(?T1_age < 50) . } GROUP BY ?T1_rank",SELECT (count( *) as ?aggregation_all) ?T1_rank WHERE { ?T1 a <http://valuenet/ontop/captain> . ?T1 <http://valuenet/ontop/rank> ?T1_rank . ?T1 <http://valuenet/ontop/age> ?T1_age . FILTER(?T1_age < 50) . } GROUP BY ?T1_rank
Sort all captain names by their ages from old to young.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :captain . ?T1 :name ?T1_name . ?T1 :age ?T1_age . } ORDER BY DESC (?T1_age)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/captain> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/age> ?T1_age . } ORDER BY DESC (?T1_age)
"What are the names of captains, sorted by age descending?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :captain . ?T1 :name ?T1_name . ?T1 :age ?T1_age . } ORDER BY DESC (?T1_age)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/captain> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/age> ?T1_age . } ORDER BY DESC (?T1_age)
"Find the name, class and rank of all captains.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_class ?T1_rank WHERE { ?T1 a :captain . ?T1 :name ?T1_name . ?T1 :class ?T1_class . ?T1 :rank ?T1_rank . }",SELECT ?T1_name ?T1_class ?T1_rank WHERE { ?T1 a <http://valuenet/ontop/captain> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/class> ?T1_class . ?T1 <http://valuenet/ontop/rank> ?T1_rank . }
"What are the names, classes, and ranks of all captains?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_class ?T1_rank WHERE { ?T1 a :captain . ?T1 :name ?T1_name . ?T1 :class ?T1_class . ?T1 :rank ?T1_rank . }",SELECT ?T1_name ?T1_class ?T1_rank WHERE { ?T1 a <http://valuenet/ontop/captain> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/class> ?T1_class . ?T1 <http://valuenet/ontop/rank> ?T1_rank . }
Which rank is the most common among captains?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_rank (count( *) as ?aggregation_all) WHERE { ?T1 a :captain . ?T1 :rank ?T1_rank . } GROUP BY ?T1_rank ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_rank (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/captain> . ?T1 <http://valuenet/ontop/rank> ?T1_rank . } GROUP BY ?T1_rank ORDER BY DESC (?aggregation_all) LIMIT 1
Return the rank for which there are the fewest captains.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_rank (count( *) as ?aggregation_all) WHERE { ?T1 a :captain . ?T1 :rank ?T1_rank . } GROUP BY ?T1_rank ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_rank (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/captain> . ?T1 <http://valuenet/ontop/rank> ?T1_rank . } GROUP BY ?T1_rank ORDER BY DESC (?aggregation_all) LIMIT 1
Which classes have more than two captains?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_class WHERE { ?T1 a :captain . ?T1 :class ?T1_class . } GROUP BY ?T1_class HAVING(count( *) > 2)",SELECT ?T1_class WHERE { ?T1 a <http://valuenet/ontop/captain> . ?T1 <http://valuenet/ontop/class> ?T1_class . } GROUP BY ?T1_class HAVING(count( *) > 2)
Give the classes that have more than two captains.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_class WHERE { ?T1 a :captain . ?T1 :class ?T1_class . } GROUP BY ?T1_class HAVING(count( *) > 2)",SELECT ?T1_class WHERE { ?T1 a <http://valuenet/ontop/captain> . ?T1 <http://valuenet/ontop/class> ?T1_class . } GROUP BY ?T1_class HAVING(count( *) > 2)
Find the name of captains whose rank are either Midshipman or Lieutenant.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :captain . ?T1 :name ?T1_name . ?T1 :rank ?T1_rank . ?T1 :rank ?T1_rank . FILTER(?T1_rank = 'Midshipman' || ?T1_rank = 'Lieutenant') . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/captain> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/rank> ?T1_rank . ?T1 <http://valuenet/ontop/rank> ?T1_rank . FILTER(?T1_rank = 'Midshipman' || ?T1_rank = 'Lieutenant') . }
What are the names of captains that have either the rank Midshipman or Lieutenant?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :captain . ?T1 :name ?T1_name . ?T1 :rank ?T1_rank . ?T1 :rank ?T1_rank . FILTER(?T1_rank = 'Midshipman' || ?T1_rank = 'Lieutenant') . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/captain> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/rank> ?T1_rank . ?T1 <http://valuenet/ontop/rank> ?T1_rank . FILTER(?T1_rank = 'Midshipman' || ?T1_rank = 'Lieutenant') . }
What are the average and minimum age of captains in different class?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_age) as ?aggregation_T1_age_172 ) (min( ?T1_age) as ?aggregation_T1_age_38 ) ?T1_class WHERE { ?T1 a :captain . ?T1 :age ?T1_age . ?T1 :age ?T1_age . ?T1 :class ?T1_class . } GROUP BY ?T1_class",SELECT (avg( ?T1_age) as ?aggregation_T1_age_172 ) (min( ?T1_age) as ?aggregation_T1_age_38 ) ?T1_class WHERE { ?T1 a <http://valuenet/ontop/captain> . ?T1 <http://valuenet/ontop/age> ?T1_age . ?T1 <http://valuenet/ontop/age> ?T1_age . ?T1 <http://valuenet/ontop/class> ?T1_class . } GROUP BY ?T1_class
Return the average and minimum age of captains in each class.,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_age) as ?aggregation_T1_age_168 ) (min( ?T1_age) as ?aggregation_T1_age_165 ) ?T1_class WHERE { ?T1 a :captain . ?T1 :age ?T1_age . ?T1 :age ?T1_age . ?T1 :class ?T1_class . } GROUP BY ?T1_class",SELECT (avg( ?T1_age) as ?aggregation_T1_age_168 ) (min( ?T1_age) as ?aggregation_T1_age_165 ) ?T1_class WHERE { ?T1 a <http://valuenet/ontop/captain> . ?T1 <http://valuenet/ontop/age> ?T1_age . ?T1 <http://valuenet/ontop/age> ?T1_age . ?T1 <http://valuenet/ontop/class> ?T1_class . } GROUP BY ?T1_class
Find the captain rank that has some captains in both Cutter and Armed schooner classes.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_rank WHERE { ?T1 a :captain . ?T1 :rank ?T1_rank . ?T1 :class ?T1_class . FILTER(?T1_class = 'Cutter') . FILTER (?T1_rank in (?T2_rank)) . ?T2 a :captain . ?T2 :rank ?T2_rank . ?T2 :class ?T2_class . FILTER(?T2_class = 'Armed schooner') . }",SELECT DISTINCT ?T1_rank WHERE { ?T1 a <http://valuenet/ontop/captain> . ?T1 <http://valuenet/ontop/rank> ?T1_rank . ?T1 <http://valuenet/ontop/class> ?T1_class . FILTER(?T1_class = 'Cutter') . FILTER (?T1_rank in (?T2_rank)) . ?T2 a <http://valuenet/ontop/captain> . ?T2 <http://valuenet/ontop/rank> ?T2_rank . ?T2 <http://valuenet/ontop/class> ?T2_class . FILTER(?T2_class = 'Armed schooner') . }
What are the ranks of captains that are both in the Cutter and Armed schooner classes?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_rank WHERE { ?T1 a :captain . ?T1 :rank ?T1_rank . ?T1 :class ?T1_class . FILTER(?T1_class = 'Cutter') . FILTER (?T1_rank in (?T2_rank)) . ?T2 a :captain . ?T2 :rank ?T2_rank . ?T2 :class ?T2_class . FILTER(?T2_class = 'Armed schooner') . }",SELECT DISTINCT ?T1_rank WHERE { ?T1 a <http://valuenet/ontop/captain> . ?T1 <http://valuenet/ontop/rank> ?T1_rank . ?T1 <http://valuenet/ontop/class> ?T1_class . FILTER(?T1_class = 'Cutter') . FILTER (?T1_rank in (?T2_rank)) . ?T2 a <http://valuenet/ontop/captain> . ?T2 <http://valuenet/ontop/rank> ?T2_rank . ?T2 <http://valuenet/ontop/class> ?T2_class . FILTER(?T2_class = 'Armed schooner') . }
Find the captain rank that has no captain in Third-rate ship of the line class.,"PREFIX : <http://valuenet/ontop/>
SELECT distinct?col1 WHERE { { SELECT (?T1_rank as ?col1) WHERE { ?T1 a :captain . ?T1 :rank ?T1_rank . }} MINUS {SELECT (?T2_rank as ?col1) WHERE { ?T2 a :captain . ?T2 :rank ?T2_rank . ?T2 :class ?T2_class . FILTER(?T2_class = 'Third-rate ship of the line') . } } }",SELECT distinct?col1 WHERE { { SELECT (?T1_rank as ?col1) WHERE { ?T1 a <http://valuenet/ontop/captain> . ?T1 <http://valuenet/ontop/rank> ?T1_rank . }} MINUS {SELECT (?T2_rank as ?col1) WHERE { ?T2 a <http://valuenet/ontop/captain> . ?T2 <http://valuenet/ontop/rank> ?T2_rank . ?T2 <http://valuenet/ontop/class> ?T2_class . FILTER(?T2_class = 'Third-rate ship of the line') . } } }
What are the ranks of captains that have no captain that are in the Third-rate ship of the line class?,"PREFIX : <http://valuenet/ontop/>
SELECT distinct?col1 WHERE { { SELECT (?T1_rank as ?col1) WHERE { ?T1 a :captain . ?T1 :rank ?T1_rank . }} MINUS {SELECT (?T2_rank as ?col1) WHERE { ?T2 a :captain . ?T2 :rank ?T2_rank . ?T2 :class ?T2_class . FILTER(?T2_class = 'Third-rate ship of the line') . } } }",SELECT distinct?col1 WHERE { { SELECT (?T1_rank as ?col1) WHERE { ?T1 a <http://valuenet/ontop/captain> . ?T1 <http://valuenet/ontop/rank> ?T1_rank . }} MINUS {SELECT (?T2_rank as ?col1) WHERE { ?T2 a <http://valuenet/ontop/captain> . ?T2 <http://valuenet/ontop/rank> ?T2_rank . ?T2 <http://valuenet/ontop/class> ?T2_class . FILTER(?T2_class = 'Third-rate ship of the line') . } } }
What is the name of the youngest captain?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :captain . ?T1 :name ?T1_name . ?T1 :age ?T1_age . } ORDER BY ASC (?T1_age) LIMIT 1",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/captain> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/age> ?T1_age . } ORDER BY ASC (?T1_age) LIMIT 1
Return the name of the youngest captain.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :captain . ?T1 :name ?T1_name . ?T1 :age ?T1_age . } ORDER BY ASC (?T1_age) LIMIT 1",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/captain> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/age> ?T1_age . } ORDER BY ASC (?T1_age) LIMIT 1
how many ships are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :ship . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/ship> . }
Count the number of ships.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :ship . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/ship> . }
"Find the name, type, and flag of the ship that is built in the most recent year.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_type ?T1_flag WHERE { ?T1 a :ship . ?T1 :name ?T1_name . ?T1 :type ?T1_type . ?T1 :flag ?T1_flag . ?T1 :built_year ?T1_built_year . } ORDER BY DESC (?T1_built_year) LIMIT 1",SELECT ?T1_name ?T1_type ?T1_flag WHERE { ?T1 a <http://valuenet/ontop/ship> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/type> ?T1_type . ?T1 <http://valuenet/ontop/flag> ?T1_flag . ?T1 <http://valuenet/ontop/built_year> ?T1_built_year . } ORDER BY DESC (?T1_built_year) LIMIT 1
"What is the name, type, and flag of the ship that was built in the most recent year?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_type ?T1_flag WHERE { ?T1 a :ship . ?T1 :name ?T1_name . ?T1 :type ?T1_type . ?T1 :flag ?T1_flag . ?T1 :built_year ?T1_built_year . } ORDER BY DESC (?T1_built_year) LIMIT 1",SELECT ?T1_name ?T1_type ?T1_flag WHERE { ?T1 a <http://valuenet/ontop/ship> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/type> ?T1_type . ?T1 <http://valuenet/ontop/flag> ?T1_flag . ?T1 <http://valuenet/ontop/built_year> ?T1_built_year . } ORDER BY DESC (?T1_built_year) LIMIT 1
