nl_question,sparql_partial_uri,sparql_complete_uri
How many members are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :member . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/member> . }
List the names of members in ascending alphabetical order.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :member . ?T1 :name ?T1_name . ?T1 :name ?T1_name . } ORDER BY ASC (?T1_name)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/member> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/name> ?T1_name . } ORDER BY ASC (?T1_name)
What are the names and countries of members?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_country WHERE { ?T1 a :member . ?T1 :name ?T1_name . ?T1 :country ?T1_country . }",SELECT ?T1_name ?T1_country WHERE { ?T1 a <http://valuenet/ontop/member> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/country> ?T1_country . }
Show the names of members whose country is 'United States' or 'Canada'.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :member . ?T1 :name ?T1_name . ?T1 :country ?T1_country . ?T1 :country ?T1_country . FILTER(?T1_country = 'United States' || ?T1_country = 'Canada') . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/member> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/country> ?T1_country . ?T1 <http://valuenet/ontop/country> ?T1_country . FILTER(?T1_country = 'United States' || ?T1_country = 'Canada') . }
Show the different countries and the number of members from each.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_country (count( *) as ?aggregation_all) WHERE { ?T1 a :member . ?T1 :country ?T1_country . } GROUP BY ?T1_country",SELECT ?T1_country (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/member> . ?T1 <http://valuenet/ontop/country> ?T1_country . } GROUP BY ?T1_country
Show the most common country across members.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_country (count( *) as ?aggregation_all) WHERE { ?T1 a :member . ?T1 :country ?T1_country . } GROUP BY ?T1_country ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_country (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/member> . ?T1 <http://valuenet/ontop/country> ?T1_country . } GROUP BY ?T1_country ORDER BY DESC (?aggregation_all) LIMIT 1
Which countries have more than two members?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_country WHERE { ?T1 a :member . ?T1 :country ?T1_country . } GROUP BY ?T1_country HAVING(count( *) > 2)",SELECT ?T1_country WHERE { ?T1 a <http://valuenet/ontop/member> . ?T1 <http://valuenet/ontop/country> ?T1_country . } GROUP BY ?T1_country HAVING(count( *) > 2)
Show the leader names and locations of colleges.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_leader_name ?T1_college_location WHERE { ?T1 a :college . ?T1 :leader_name ?T1_leader_name . ?T1 :college_location ?T1_college_location . }",SELECT ?T1_leader_name ?T1_college_location WHERE { ?T1 a <http://valuenet/ontop/college> . ?T1 <http://valuenet/ontop/leader_name> ?T1_leader_name . ?T1 <http://valuenet/ontop/college_location> ?T1_college_location . }
Show the names of members and names of colleges they go to.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T2_name WHERE { ?T1 a :member . ?T2 a :college . ?T1 :ref-college ?T2 . ?T1 :name ?T1_name . ?T2 :name ?T2_name . }",SELECT ?T1_name ?T2_name WHERE { ?T1 a <http://valuenet/ontop/member> . ?T2 a <http://valuenet/ontop/college> . ?T1 <http://valuenet/ontop/ref-college> ?T2 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T2 <http://valuenet/ontop/name> ?T2_name . }
Show the names of members and the locations of colleges they go to in ascending alphabetical order of member names.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T2_college_location WHERE { ?T1 a :member . ?T2 a :college . ?T1 :ref-college ?T2 . ?T1 :name ?T1_name . ?T2 :college_location ?T2_college_location . ?T1 :name ?T1_name . } ORDER BY ASC (?T1_name)",SELECT ?T1_name ?T2_college_location WHERE { ?T1 a <http://valuenet/ontop/member> . ?T2 a <http://valuenet/ontop/college> . ?T1 <http://valuenet/ontop/ref-college> ?T2 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T2 <http://valuenet/ontop/college_location> ?T2_college_location . ?T1 <http://valuenet/ontop/name> ?T1_name . } ORDER BY ASC (?T1_name)
