nl_question,sparql_partial_uri,sparql_complete_uri
How many architects are female?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :architect . ?T1 :gender ?T1_gender . FILTER(?T1_gender = 'female') . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/architect> . ?T1 <http://valuenet/ontop/gender> ?T1_gender . FILTER(?T1_gender = 'female') . }
"List the name, nationality and id of all male architects ordered by their names lexicographically.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_nationality ?T1_id WHERE { ?T1 a :architect . ?T1 :name ?T1_name . ?T1 :nationality ?T1_nationality . ?T1 :id ?T1_id . ?T1 :name ?T1_name . ?T1 :gender ?T1_gender . FILTER(?T1_gender = 'male') . } ORDER BY ASC (?T1_name)",SELECT ?T1_name ?T1_nationality ?T1_id WHERE { ?T1 a <http://valuenet/ontop/architect> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/nationality> ?T1_nationality . ?T1 <http://valuenet/ontop/id> ?T1_id . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/gender> ?T1_gender . FILTER(?T1_gender = 'male') . } ORDER BY ASC (?T1_name)
What is the maximum length in meters for the bridges and what are the architects' names?,"PREFIX : <http://valuenet/ontop/>
SELECT (max( ?T1_length_meters) as ?aggregation_T1_length_meters_44 ) ?T2_name WHERE { ?T1 a :bridge . ?T2 a :architect . ?T1 :ref-architect ?T2 . ?T1 :length_meters ?T1_length_meters . ?T2 :name ?T2_name . } GROUP BY ?T2_name",SELECT (max( ?T1_length_meters) as ?aggregation_T1_length_meters_44 ) ?T2_name WHERE { ?T1 a <http://valuenet/ontop/bridge> . ?T2 a <http://valuenet/ontop/architect> . ?T1 <http://valuenet/ontop/ref-architect> ?T2 . ?T1 <http://valuenet/ontop/length_meters> ?T1_length_meters . ?T2 <http://valuenet/ontop/name> ?T2_name . } GROUP BY ?T2_name
What is the average length in feet of the bridges?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_length_feet) as ?aggregation_T1_length_feet_38 ) WHERE { ?T1 a :bridge . ?T1 :length_feet ?T1_length_feet . }",SELECT (avg( ?T1_length_feet) as ?aggregation_T1_length_feet_38 ) WHERE { ?T1 a <http://valuenet/ontop/bridge> . ?T1 <http://valuenet/ontop/length_feet> ?T1_length_feet . }
What are the names and year of construction for the mills of 'Grondzeiler' type?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_built_year WHERE { ?T1 a :mill . ?T1 :name ?T1_name . ?T1 :built_year ?T1_built_year . ?T1 :type ?T1_type . FILTER(?T1_type = 'Grondzeiler') . }",SELECT ?T1_name ?T1_built_year WHERE { ?T1 a <http://valuenet/ontop/mill> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/built_year> ?T1_built_year . ?T1 <http://valuenet/ontop/type> ?T1_type . FILTER(?T1_type = 'Grondzeiler') . }
What are the distinct names and nationalities of the architects who have ever built a mill?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_name ?T1_nationality WHERE { ?T1 a :architect . ?T1 :name ?T1_name . ?T1 :nationality ?T1_nationality . }",SELECT DISTINCT ?T1_name ?T1_nationality WHERE { ?T1 a <http://valuenet/ontop/architect> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/nationality> ?T1_nationality . }
What are the names of the mills which are not located in 'Donceel'?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :mill . ?T1 :name ?T1_name . ?T1 :location ?T1_location . FILTER(?T1_location != 'Donceel') . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/mill> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/location> ?T1_location . FILTER(?T1_location != 'Donceel') . }
What are the distinct types of mills that are built by American or Canadian architects?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_type WHERE { ?T1 a :mill . ?T2 a :architect . ?T1 :ref-architect ?T2 . ?T1 :type ?T1_type . ?T2 :nationality ?T2_nationality . ?T2 :nationality ?T2_nationality . FILTER(?T2_nationality = 'American' || ?T2_nationality = 'Canadian') . }",SELECT DISTINCT ?T1_type WHERE { ?T1 a <http://valuenet/ontop/mill> . ?T2 a <http://valuenet/ontop/architect> . ?T1 <http://valuenet/ontop/ref-architect> ?T2 . ?T1 <http://valuenet/ontop/type> ?T1_type . ?T2 <http://valuenet/ontop/nationality> ?T2_nationality . ?T2 <http://valuenet/ontop/nationality> ?T2_nationality . FILTER(?T2_nationality = 'American' || ?T2_nationality = 'Canadian') . }
What are the ids and names of the architects who built at least 3 bridges ?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_id ?T1_name WHERE { ?T1 a :architect . ?T2 a :bridge . ?T2 :ref-architect ?T1 . ?T1 :id ?T1_id . ?T1 :name ?T1_name . } GROUP BY ?T1_id ?T1_name HAVING(count( *) >= 3)",SELECT ?T1_id ?T1_name WHERE { ?T1 a <http://valuenet/ontop/architect> . ?T2 a <http://valuenet/ontop/bridge> . ?T2 <http://valuenet/ontop/ref-architect> ?T1 . ?T1 <http://valuenet/ontop/id> ?T1_id . ?T1 <http://valuenet/ontop/name> ?T1_name . } GROUP BY ?T1_id ?T1_name HAVING(count( *) >= 3)
"What is the id, name and nationality of the architect who built most mills?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_id (count( *) as ?aggregation_all) ?T1_name ?T1_nationality WHERE { ?T1 a :architect . ?T2 a :mill . ?T2 :ref-architect ?T1 . ?T1 :id ?T1_id . ?T1 :name ?T1_name . ?T1 :nationality ?T1_nationality . } GROUP BY ?T1_id ?T1_name ?T1_nationality ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_id (count( *) as ?aggregation_all) ?T1_name ?T1_nationality WHERE { ?T1 a <http://valuenet/ontop/architect> . ?T2 a <http://valuenet/ontop/mill> . ?T2 <http://valuenet/ontop/ref-architect> ?T1 . ?T1 <http://valuenet/ontop/id> ?T1_id . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/nationality> ?T1_nationality . } GROUP BY ?T1_id ?T1_name ?T1_nationality ORDER BY DESC (?aggregation_all) LIMIT 1
