nl_question,sparql_partial_uri,sparql_complete_uri
How many events are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :event . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/event> . }
List all the event names by year from the most recent to the oldest.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :event . ?T1 :name ?T1_name . ?T1 :year ?T1_year . } ORDER BY DESC (?T1_year)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/event> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/year> ?T1_year . } ORDER BY DESC (?T1_year)
What is the name of the event that happened in the most recent year?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :event . ?T1 :name ?T1_name . ?T1 :year ?T1_year . } ORDER BY DESC (?T1_year) LIMIT 1",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/event> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/year> ?T1_year . } ORDER BY DESC (?T1_year) LIMIT 1
How many stadiums are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :stadium . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/stadium> . }
Find the name of the stadium that has the maximum capacity.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :stadium . ?T1 :name ?T1_name . ?T1 :capacity ?T1_capacity . } ORDER BY DESC (?T1_capacity) LIMIT 1",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/stadium> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/capacity> ?T1_capacity . } ORDER BY DESC (?T1_capacity) LIMIT 1
Find the names of stadiums whose capacity is smaller than the average capacity.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :stadium . ?T1 :name ?T1_name . ?T1 :capacity ?T1_capacity . FILTER(?T1_capacity < (?aggregation_T22_capacity_157)) . {SELECT (avg( ?T22_capacity) as ?aggregation_T22_capacity_157 ) WHERE { ?T22 a :stadium . ?T22 :capacity ?T22_capacity . } } }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/stadium> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/capacity> ?T1_capacity . FILTER(?T1_capacity < (?aggregation_T22_capacity_157)) . {SELECT (avg( ?T22_capacity) as ?aggregation_T22_capacity_157 ) WHERE { ?T22 a <http://valuenet/ontop/stadium> . ?T22 <http://valuenet/ontop/capacity> ?T22_capacity . } } }
Find the country that has the most stadiums.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_country (count( *) as ?aggregation_all) WHERE { ?T1 a :stadium . ?T1 :country ?T1_country . } GROUP BY ?T1_country ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_country (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/stadium> . ?T1 <http://valuenet/ontop/country> ?T1_country . } GROUP BY ?T1_country ORDER BY DESC (?aggregation_all) LIMIT 1
Which country has at most 3 stadiums listed?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_country WHERE { ?T1 a :stadium . ?T1 :country ?T1_country . } GROUP BY ?T1_country HAVING(count( *) <= 3)",SELECT ?T1_country WHERE { ?T1 a <http://valuenet/ontop/stadium> . ?T1 <http://valuenet/ontop/country> ?T1_country . } GROUP BY ?T1_country HAVING(count( *) <= 3)
Which country has both stadiums with capacity greater than 60000 and stadiums with capacity less than 50000?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_country WHERE { ?T1 a :stadium . ?T1 :country ?T1_country . ?T1 :capacity ?T1_capacity . FILTER(?T1_capacity > 60000) . FILTER (?T1_country in (?T2_country)) . ?T2 a :stadium . ?T2 :country ?T2_country . ?T2 :capacity ?T2_capacity . FILTER(?T2_capacity < 50000) . }",SELECT DISTINCT ?T1_country WHERE { ?T1 a <http://valuenet/ontop/stadium> . ?T1 <http://valuenet/ontop/country> ?T1_country . ?T1 <http://valuenet/ontop/capacity> ?T1_capacity . FILTER(?T1_capacity > 60000) . FILTER (?T1_country in (?T2_country)) . ?T2 a <http://valuenet/ontop/stadium> . ?T2 <http://valuenet/ontop/country> ?T2_country . ?T2 <http://valuenet/ontop/capacity> ?T2_capacity . FILTER(?T2_capacity < 50000) . }
How many cities have a stadium that was opened before the year of 2006?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_city) as ?aggregation_T1_city_143 ) WHERE { ?T1 a :stadium . ?T1 :city ?T1_city . ?T1 :opening_year ?T1_opening_year . FILTER(?T1_opening_year < 2006) . }",SELECT DISTINCT (count(DISTINCT ?T1_city) as ?aggregation_T1_city_143 ) WHERE { ?T1 a <http://valuenet/ontop/stadium> . ?T1 <http://valuenet/ontop/city> ?T1_city . ?T1 <http://valuenet/ontop/opening_year> ?T1_opening_year . FILTER(?T1_opening_year < 2006) . }
How many stadiums does each country have?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_country (count( *) as ?aggregation_all) WHERE { ?T1 a :stadium . ?T1 :country ?T1_country . } GROUP BY ?T1_country",SELECT ?T1_country (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/stadium> . ?T1 <http://valuenet/ontop/country> ?T1_country . } GROUP BY ?T1_country
