nl_question,sparql_partial_uri,sparql_complete_uri
How many counties are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :county_public_safety . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/county_public_safety> . }
Count the number of countries.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :county_public_safety . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/county_public_safety> . }
List the names of counties in descending order of population.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :county_public_safety . ?T1 :name ?T1_name . ?T1 :population ?T1_population . } ORDER BY DESC (?T1_population)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/county_public_safety> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/population> ?T1_population . } ORDER BY DESC (?T1_population)
"What are the names of the counties of public safety, ordered by population descending?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :county_public_safety . ?T1 :name ?T1_name . ?T1 :population ?T1_population . } ORDER BY DESC (?T1_population)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/county_public_safety> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/population> ?T1_population . } ORDER BY DESC (?T1_population)
List the distinct police forces of counties whose location is not on east side.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_police_force WHERE { ?T1 a :county_public_safety . ?T1 :police_force ?T1_police_force . ?T1 :location ?T1_location . FILTER(?T1_location != 'East') . }",SELECT DISTINCT ?T1_police_force WHERE { ?T1 a <http://valuenet/ontop/county_public_safety> . ?T1 <http://valuenet/ontop/police_force> ?T1_police_force . ?T1 <http://valuenet/ontop/location> ?T1_location . FILTER(?T1_location != 'East') . }
What are the different police forces of counties that are not located in the East?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_police_force WHERE { ?T1 a :county_public_safety . ?T1 :police_force ?T1_police_force . ?T1 :location ?T1_location . FILTER(?T1_location != 'East') . }",SELECT DISTINCT ?T1_police_force WHERE { ?T1 a <http://valuenet/ontop/county_public_safety> . ?T1 <http://valuenet/ontop/police_force> ?T1_police_force . ?T1 <http://valuenet/ontop/location> ?T1_location . FILTER(?T1_location != 'East') . }
What are the minimum and maximum crime rate of counties?,"PREFIX : <http://valuenet/ontop/>
SELECT (min( ?T1_crime_rate) as ?aggregation_T1_crime_rate_37 ) (max( ?T1_crime_rate) as ?aggregation_T1_crime_rate_141 ) WHERE { ?T1 a :county_public_safety . ?T1 :crime_rate ?T1_crime_rate . ?T1 :crime_rate ?T1_crime_rate . }",SELECT (min( ?T1_crime_rate) as ?aggregation_T1_crime_rate_37 ) (max( ?T1_crime_rate) as ?aggregation_T1_crime_rate_141 ) WHERE { ?T1 a <http://valuenet/ontop/county_public_safety> . ?T1 <http://valuenet/ontop/crime_rate> ?T1_crime_rate . ?T1 <http://valuenet/ontop/crime_rate> ?T1_crime_rate . }
Return the minimum and maximum crime rates across all counties.,"PREFIX : <http://valuenet/ontop/>
SELECT (min( ?T1_crime_rate) as ?aggregation_T1_crime_rate_147 ) (max( ?T1_crime_rate) as ?aggregation_T1_crime_rate_11 ) WHERE { ?T1 a :county_public_safety . ?T1 :crime_rate ?T1_crime_rate . ?T1 :crime_rate ?T1_crime_rate . }",SELECT (min( ?T1_crime_rate) as ?aggregation_T1_crime_rate_147 ) (max( ?T1_crime_rate) as ?aggregation_T1_crime_rate_11 ) WHERE { ?T1 a <http://valuenet/ontop/county_public_safety> . ?T1 <http://valuenet/ontop/crime_rate> ?T1_crime_rate . ?T1 <http://valuenet/ontop/crime_rate> ?T1_crime_rate . }
Show the crime rates of counties in ascending order of number of police officers.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_crime_rate WHERE { ?T1 a :county_public_safety . ?T1 :crime_rate ?T1_crime_rate . ?T1 :police_officers ?T1_police_officers . } ORDER BY ASC (?T1_police_officers)",SELECT ?T1_crime_rate WHERE { ?T1 a <http://valuenet/ontop/county_public_safety> . ?T1 <http://valuenet/ontop/crime_rate> ?T1_crime_rate . ?T1 <http://valuenet/ontop/police_officers> ?T1_police_officers . } ORDER BY ASC (?T1_police_officers)
What are the crime rates of counties sorted by number of offices ascending?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_crime_rate WHERE { ?T1 a :county_public_safety . ?T1 :crime_rate ?T1_crime_rate . ?T1 :police_officers ?T1_police_officers . } ORDER BY ASC (?T1_police_officers)",SELECT ?T1_crime_rate WHERE { ?T1 a <http://valuenet/ontop/county_public_safety> . ?T1 <http://valuenet/ontop/crime_rate> ?T1_crime_rate . ?T1 <http://valuenet/ontop/police_officers> ?T1_police_officers . } ORDER BY ASC (?T1_police_officers)
What are the names of cities in ascending alphabetical order?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :city . ?T1 :name ?T1_name . ?T1 :name ?T1_name . } ORDER BY ASC (?T1_name)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/city> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/name> ?T1_name . } ORDER BY ASC (?T1_name)
"Return the names of cities, ordered alphabetically.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :city . ?T1 :name ?T1_name . ?T1 :name ?T1_name . } ORDER BY ASC (?T1_name)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/city> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/name> ?T1_name . } ORDER BY ASC (?T1_name)
What are the percentage of hispanics in cities with the black percentage higher than 10?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_hispanic WHERE { ?T1 a :city . ?T1 :hispanic ?T1_hispanic . ?T1 :black ?T1_black . FILTER(?T1_black > 10) . }",SELECT ?T1_hispanic WHERE { ?T1 a <http://valuenet/ontop/city> . ?T1 <http://valuenet/ontop/hispanic> ?T1_hispanic . ?T1 <http://valuenet/ontop/black> ?T1_black . FILTER(?T1_black > 10) . }
Return the hispanic percentage for cities in which the black percentage is greater than 10.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_hispanic WHERE { ?T1 a :city . ?T1 :hispanic ?T1_hispanic . ?T1 :black ?T1_black . FILTER(?T1_black > 10) . }",SELECT ?T1_hispanic WHERE { ?T1 a <http://valuenet/ontop/city> . ?T1 <http://valuenet/ontop/hispanic> ?T1_hispanic . ?T1 <http://valuenet/ontop/black> ?T1_black . FILTER(?T1_black > 10) . }
List the name of the county with the largest population.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :county_public_safety . ?T1 :name ?T1_name . ?T1 :population ?T1_population . } ORDER BY DESC (?T1_population) LIMIT 1",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/county_public_safety> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/population> ?T1_population . } ORDER BY DESC (?T1_population) LIMIT 1
What is the name of the county with the greatest population?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :county_public_safety . ?T1 :name ?T1_name . ?T1 :population ?T1_population . } ORDER BY DESC (?T1_population) LIMIT 1",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/county_public_safety> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/population> ?T1_population . } ORDER BY DESC (?T1_population) LIMIT 1
List the names of the city with the top 5 white percentages.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :city . ?T1 :name ?T1_name . ?T1 :white ?T1_white . } ORDER BY DESC (?T1_white) LIMIT 1",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/city> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/white> ?T1_white . } ORDER BY DESC (?T1_white) LIMIT 1
What are the names of the five cities with the greatest proportion of white people?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :city . ?T1 :name ?T1_name . ?T1 :white ?T1_white . } ORDER BY DESC (?T1_white) LIMIT 1",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/city> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/white> ?T1_white . } ORDER BY DESC (?T1_white) LIMIT 1
Show names of cities and names of counties they are in.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T2_name WHERE { ?T1 a :city . ?T2 a :county_public_safety . ?T1 :ref-county ?T2 . ?T1 :name ?T1_name . ?T2 :name ?T2_name . }",SELECT ?T1_name ?T2_name WHERE { ?T1 a <http://valuenet/ontop/city> . ?T2 a <http://valuenet/ontop/county_public_safety> . ?T1 <http://valuenet/ontop/ref-county> ?T2 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T2 <http://valuenet/ontop/name> ?T2_name . }
"What are the names of cities, as well as the names of the counties they correspond to?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T2_name WHERE { ?T1 a :city . ?T2 a :county_public_safety . ?T1 :ref-county ?T2 . ?T1 :name ?T1_name . ?T2 :name ?T2_name . }",SELECT ?T1_name ?T2_name WHERE { ?T1 a <http://valuenet/ontop/city> . ?T2 a <http://valuenet/ontop/county_public_safety> . ?T1 <http://valuenet/ontop/ref-county> ?T2 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T2 <http://valuenet/ontop/name> ?T2_name . }
Show white percentages of cities and the crime rates of counties they are in.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_white ?T2_crime_rate WHERE { ?T1 a :city . ?T2 a :county_public_safety . ?T1 :ref-county ?T2 . ?T1 :white ?T1_white . ?T2 :crime_rate ?T2_crime_rate . }",SELECT ?T1_white ?T2_crime_rate WHERE { ?T1 a <http://valuenet/ontop/city> . ?T2 a <http://valuenet/ontop/county_public_safety> . ?T1 <http://valuenet/ontop/ref-county> ?T2 . ?T1 <http://valuenet/ontop/white> ?T1_white . ?T2 <http://valuenet/ontop/crime_rate> ?T2_crime_rate . }
