nl_question,sparql_partial_uri,sparql_complete_uri
Are the customers holding coupons with amount 500 bad or good?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_good_or_bad_customer WHERE { ?T1 a :customers . ?T2 a :discount_coupons . ?T1 :ref-coupon ?T2 . ?T1 :good_or_bad_customer ?T1_good_or_bad_customer . ?T2 :coupon_amount ?T2_coupon_amount . FILTER(?T2_coupon_amount = 500) . }",SELECT ?T1_good_or_bad_customer WHERE { ?T1 a <http://valuenet/ontop/customers> . ?T2 a <http://valuenet/ontop/discount_coupons> . ?T1 <http://valuenet/ontop/ref-coupon> ?T2 . ?T1 <http://valuenet/ontop/good_or_bad_customer> ?T1_good_or_bad_customer . ?T2 <http://valuenet/ontop/coupon_amount> ?T2_coupon_amount . FILTER(?T2_coupon_amount = 500) . }
"How many bookings did each customer make? List the customer id, first name, and the count.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_customer_id ?T1_first_name (count( *) as ?aggregation_all) WHERE { ?T1 a :customers . ?T2 a :bookings . ?T2 :ref-customer ?T1 . ?T1 :customer_id ?T1_customer_id . ?T1 :first_name ?T1_first_name . } GROUP BY ?T1_customer_id ?T1_first_name",SELECT ?T1_customer_id ?T1_first_name (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/customers> . ?T2 a <http://valuenet/ontop/bookings> . ?T2 <http://valuenet/ontop/ref-customer> ?T1 . ?T1 <http://valuenet/ontop/customer_id> ?T1_customer_id . ?T1 <http://valuenet/ontop/first_name> ?T1_first_name . } GROUP BY ?T1_customer_id ?T1_first_name
What is the maximum total amount paid by a customer? List the customer id and amount.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_customer_id (sum( ?T1_amount_paid) as ?aggregation_T1_amount_paid_90 ) WHERE { ?T1 a :payments . ?T1 :customer_id ?T1_customer_id . ?T1 :amount_paid ?T1_amount_paid . ?T1 :amount_paid ?T1_amount_paid . } GROUP BY ?T1_customer_id ORDER BY DESC (sum( ?T1_amount_paid)) LIMIT 1",SELECT ?T1_customer_id (sum( ?T1_amount_paid) as ?aggregation_T1_amount_paid_90 ) WHERE { ?T1 a <http://valuenet/ontop/payments> . ?T1 <http://valuenet/ontop/customer_id> ?T1_customer_id . ?T1 <http://valuenet/ontop/amount_paid> ?T1_amount_paid . ?T1 <http://valuenet/ontop/amount_paid> ?T1_amount_paid . } GROUP BY ?T1_customer_id ORDER BY DESC (sum( ?T1_amount_paid)) LIMIT 1
What are the id and the amount of refund of the booking that incurred the most times of payments?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_booking_id (count( *) as ?aggregation_all) ?T1_amount_of_refund WHERE { ?T1 a :bookings . ?T2 a :payments . ?T2 :ref-booking ?T1 . ?T1 :booking_id ?T1_booking_id . ?T1 :amount_of_refund ?T1_amount_of_refund . } GROUP BY ?T1_booking_id ?T1_amount_of_refund ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_booking_id (count( *) as ?aggregation_all) ?T1_amount_of_refund WHERE { ?T1 a <http://valuenet/ontop/bookings> . ?T2 a <http://valuenet/ontop/payments> . ?T2 <http://valuenet/ontop/ref-booking> ?T1 . ?T1 <http://valuenet/ontop/booking_id> ?T1_booking_id . ?T1 <http://valuenet/ontop/amount_of_refund> ?T1_amount_of_refund . } GROUP BY ?T1_booking_id ?T1_amount_of_refund ORDER BY DESC (?aggregation_all) LIMIT 1
What is the id of the product that is booked for 3 times?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_product_id WHERE { ?T1 a :products_booked . ?T1 :product_id ?T1_product_id . } GROUP BY ?T1_product_id HAVING(count( *) = 3)",SELECT ?T1_product_id WHERE { ?T1 a <http://valuenet/ontop/products_booked> . ?T1 <http://valuenet/ontop/product_id> ?T1_product_id . } GROUP BY ?T1_product_id HAVING(count( *) = 3)
What is the product description of the product booked with an amount of 102.76?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_product_description WHERE { ?T1 a :products_for_hire . ?T2 a :products_booked . ?T2 :ref-product ?T1 . ?T1 :product_description ?T1_product_description . ?T2 :booked_amount ?T2_booked_amount . FILTER(?T2_booked_amount = 102.76) . }",SELECT ?T1_product_description WHERE { ?T1 a <http://valuenet/ontop/products_for_hire> . ?T2 a <http://valuenet/ontop/products_booked> . ?T2 <http://valuenet/ontop/ref-product> ?T1 . ?T1 <http://valuenet/ontop/product_description> ?T1_product_description . ?T2 <http://valuenet/ontop/booked_amount> ?T2_booked_amount . FILTER(?T2_booked_amount = 102.76) . }
What are the start date and end date of the booking that has booked the product named 'Book collection A'?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_booking_start_date ?T1_booking_end_date WHERE { ?T1 a :bookings . ?T13 a :products_booked . ?T13 :ref-booking ?T1 . ?T1 :booking_start_date ?T1_booking_start_date . ?T1 :booking_end_date ?T1_booking_end_date . ?T2 :product_name ?T2_product_name . ?T2 a :products_for_hire . ?T13 :ref-product ?T2 . ?T1 :booking_start_date ?T1_booking_start_date . ?T1 :booking_end_date ?T1_booking_end_date . ?T2 :product_name ?T2_product_name . FILTER(?T2_product_name = 'Book collection A') . }",SELECT ?T1_booking_start_date ?T1_booking_end_date WHERE { ?T1 a <http://valuenet/ontop/bookings> . ?T13 a <http://valuenet/ontop/products_booked> . ?T13 <http://valuenet/ontop/ref-booking> ?T1 . ?T1 <http://valuenet/ontop/booking_start_date> ?T1_booking_start_date . ?T1 <http://valuenet/ontop/booking_end_date> ?T1_booking_end_date . ?T2 <http://valuenet/ontop/product_name> ?T2_product_name . ?T2 a <http://valuenet/ontop/products_for_hire> . ?T13 <http://valuenet/ontop/ref-product> ?T2 . ?T1 <http://valuenet/ontop/booking_start_date> ?T1_booking_start_date . ?T1 <http://valuenet/ontop/booking_end_date> ?T1_booking_end_date . ?T2 <http://valuenet/ontop/product_name> ?T2_product_name . FILTER(?T2_product_name = 'Book collection A') . }
What are the names of products whose availability equals to 1?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_product_name WHERE { ?T1 a :products_for_hire . ?T2 a :view_product_availability . ?T2 :ref-product ?T1 . ?T1 :product_name ?T1_product_name . ?T2 :available_yn ?T2_available_yn . FILTER(?T2_available_yn = 1) . }",SELECT ?T1_product_name WHERE { ?T1 a <http://valuenet/ontop/products_for_hire> . ?T2 a <http://valuenet/ontop/view_product_availability> . ?T2 <http://valuenet/ontop/ref-product> ?T1 . ?T1 <http://valuenet/ontop/product_name> ?T1_product_name . ?T2 <http://valuenet/ontop/available_yn> ?T2_available_yn . FILTER(?T2_available_yn = 1) . }
How many different product types are there?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_product_type_code) as ?aggregation_T1_product_type_code_148 ) WHERE { ?T1 a :products_for_hire . ?T1 :product_type_code ?T1_product_type_code . }",SELECT DISTINCT (count(DISTINCT ?T1_product_type_code) as ?aggregation_T1_product_type_code_148 ) WHERE { ?T1 a <http://valuenet/ontop/products_for_hire> . ?T1 <http://valuenet/ontop/product_type_code> ?T1_product_type_code . }
"What are the first name, last name, and gender of all the good customers? Order by their last name.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_first_name ?T1_last_name ?T1_gender_mf WHERE { ?T1 a :customers . ?T1 :first_name ?T1_first_name . ?T1 :last_name ?T1_last_name . ?T1 :gender_mf ?T1_gender_mf . ?T1 :last_name ?T1_last_name . ?T1 :good_or_bad_customer ?T1_good_or_bad_customer . FILTER(?T1_good_or_bad_customer = 'good') . } ORDER BY ASC (?T1_last_name)",SELECT ?T1_first_name ?T1_last_name ?T1_gender_mf WHERE { ?T1 a <http://valuenet/ontop/customers> . ?T1 <http://valuenet/ontop/first_name> ?T1_first_name . ?T1 <http://valuenet/ontop/last_name> ?T1_last_name . ?T1 <http://valuenet/ontop/gender_mf> ?T1_gender_mf . ?T1 <http://valuenet/ontop/last_name> ?T1_last_name . ?T1 <http://valuenet/ontop/good_or_bad_customer> ?T1_good_or_bad_customer . FILTER(?T1_good_or_bad_customer = 'good') . } ORDER BY ASC (?T1_last_name)
