nl_question,sparql_partial_uri,sparql_complete_uri
How many ships are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :ship . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/ship> . }
What is the number of ships?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :ship . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/ship> . }
List the name of ships in ascending order of tonnage.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :ship . ?T1 :name ?T1_name . ?T1 :tonnage ?T1_tonnage . } ORDER BY ASC (?T1_tonnage)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/ship> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/tonnage> ?T1_tonnage . } ORDER BY ASC (?T1_tonnage)
what are the names of the ships ordered by ascending tonnage?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :ship . ?T1 :name ?T1_name . ?T1 :tonnage ?T1_tonnage . } ORDER BY ASC (?T1_tonnage)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/ship> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/tonnage> ?T1_tonnage . } ORDER BY ASC (?T1_tonnage)
What are the type and nationality of ships?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_type ?T1_nationality WHERE { ?T1 a :ship . ?T1 :type ?T1_type . ?T1 :nationality ?T1_nationality . }",SELECT ?T1_type ?T1_nationality WHERE { ?T1 a <http://valuenet/ontop/ship> . ?T1 <http://valuenet/ontop/type> ?T1_type . ?T1 <http://valuenet/ontop/nationality> ?T1_nationality . }
What are the types and nationalities of every ship?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_type ?T1_nationality WHERE { ?T1 a :ship . ?T1 :type ?T1_type . ?T1 :nationality ?T1_nationality . }",SELECT ?T1_type ?T1_nationality WHERE { ?T1 a <http://valuenet/ontop/ship> . ?T1 <http://valuenet/ontop/type> ?T1_type . ?T1 <http://valuenet/ontop/nationality> ?T1_nationality . }
List the name of ships whose nationality is not 'United States'.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :ship . ?T1 :name ?T1_name . ?T1 :nationality ?T1_nationality . FILTER(?T1_nationality != 'United States') . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/ship> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/nationality> ?T1_nationality . FILTER(?T1_nationality != 'United States') . }
What are the names of the ships that are not from the United States?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :ship . ?T1 :name ?T1_name . ?T1 :nationality ?T1_nationality . FILTER(?T1_nationality != 'United States') . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/ship> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/nationality> ?T1_nationality . FILTER(?T1_nationality != 'United States') . }
Show the name of ships whose nationality is either United States or United Kingdom.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :ship . ?T1 :name ?T1_name . ?T1 :nationality ?T1_nationality . ?T1 :nationality ?T1_nationality . FILTER(?T1_nationality = 'United States' || ?T1_nationality = 'United Kingdom') . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/ship> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/nationality> ?T1_nationality . ?T1 <http://valuenet/ontop/nationality> ?T1_nationality . FILTER(?T1_nationality = 'United States' || ?T1_nationality = 'United Kingdom') . }
What are the names of the ships  that are from either the US or the UK?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :ship . ?T1 :name ?T1_name . ?T1 :nationality ?T1_nationality . ?T1 :nationality ?T1_nationality . FILTER(?T1_nationality = 'United States' || ?T1_nationality = 'United Kingdom') . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/ship> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/nationality> ?T1_nationality . ?T1 <http://valuenet/ontop/nationality> ?T1_nationality . FILTER(?T1_nationality = 'United States' || ?T1_nationality = 'United Kingdom') . }
