nl_question,sparql_partial_uri,sparql_complete_uri
Find the number of investors in total.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :investors . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/investors> . }
Show all investor details.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_investor_details WHERE { ?T1 a :investors . ?T1 :investor_details ?T1_investor_details . }",SELECT ?T1_investor_details WHERE { ?T1 a <http://valuenet/ontop/investors> . ?T1 <http://valuenet/ontop/investor_details> ?T1_investor_details . }
Show all distinct lot details.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_lot_details WHERE { ?T1 a :lots . ?T1 :lot_details ?T1_lot_details . }",SELECT DISTINCT ?T1_lot_details WHERE { ?T1 a <http://valuenet/ontop/lots> . ?T1 <http://valuenet/ontop/lot_details> ?T1_lot_details . }
Show the maximum amount of transaction.,"PREFIX : <http://valuenet/ontop/>
SELECT (max( ?T1_amount_of_transaction) as ?aggregation_T1_amount_of_transaction_118 ) WHERE { ?T1 a :transactions . ?T1 :amount_of_transaction ?T1_amount_of_transaction . }",SELECT (max( ?T1_amount_of_transaction) as ?aggregation_T1_amount_of_transaction_118 ) WHERE { ?T1 a <http://valuenet/ontop/transactions> . ?T1 <http://valuenet/ontop/amount_of_transaction> ?T1_amount_of_transaction . }
Show all date and share count of transactions.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_date_of_transaction ?T1_share_count WHERE { ?T1 a :transactions . ?T1 :date_of_transaction ?T1_date_of_transaction . ?T1 :share_count ?T1_share_count . }",SELECT ?T1_date_of_transaction ?T1_share_count WHERE { ?T1 a <http://valuenet/ontop/transactions> . ?T1 <http://valuenet/ontop/date_of_transaction> ?T1_date_of_transaction . ?T1 <http://valuenet/ontop/share_count> ?T1_share_count . }
What is the total share of transactions?,"PREFIX : <http://valuenet/ontop/>
SELECT (sum( ?T1_share_count) as ?aggregation_T1_share_count_95 ) WHERE { ?T1 a :transactions . ?T1 :share_count ?T1_share_count . }",SELECT (sum( ?T1_share_count) as ?aggregation_T1_share_count_95 ) WHERE { ?T1 a <http://valuenet/ontop/transactions> . ?T1 <http://valuenet/ontop/share_count> ?T1_share_count . }
Show all transaction ids with transaction code 'PUR'.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_transaction_id WHERE { ?T1 a :transactions . ?T1 :transaction_id ?T1_transaction_id . ?T1 :transaction_type_code ?T1_transaction_type_code . FILTER(?T1_transaction_type_code = 'PUR') . }",SELECT ?T1_transaction_id WHERE { ?T1 a <http://valuenet/ontop/transactions> . ?T1 <http://valuenet/ontop/transaction_id> ?T1_transaction_id . ?T1 <http://valuenet/ontop/transaction_type_code> ?T1_transaction_type_code . FILTER(?T1_transaction_type_code = 'PUR') . }
Show all dates of transactions whose type code is 'SALE'.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_date_of_transaction WHERE { ?T1 a :transactions . ?T1 :date_of_transaction ?T1_date_of_transaction . ?T1 :transaction_type_code ?T1_transaction_type_code . FILTER(?T1_transaction_type_code = 'SALE') . }",SELECT ?T1_date_of_transaction WHERE { ?T1 a <http://valuenet/ontop/transactions> . ?T1 <http://valuenet/ontop/date_of_transaction> ?T1_date_of_transaction . ?T1 <http://valuenet/ontop/transaction_type_code> ?T1_transaction_type_code . FILTER(?T1_transaction_type_code = 'SALE') . }
Show the average amount of transactions with type code 'SALE'.,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_amount_of_transaction) as ?aggregation_T1_amount_of_transaction_26 ) WHERE { ?T1 a :transactions . ?T1 :amount_of_transaction ?T1_amount_of_transaction . ?T1 :transaction_type_code ?T1_transaction_type_code . FILTER(?T1_transaction_type_code = 'SALE') . }",SELECT (avg( ?T1_amount_of_transaction) as ?aggregation_T1_amount_of_transaction_26 ) WHERE { ?T1 a <http://valuenet/ontop/transactions> . ?T1 <http://valuenet/ontop/amount_of_transaction> ?T1_amount_of_transaction . ?T1 <http://valuenet/ontop/transaction_type_code> ?T1_transaction_type_code . FILTER(?T1_transaction_type_code = 'SALE') . }
Show the description of transaction type with code 'PUR'.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_transaction_type_description WHERE { ?T1 a :ref_transaction_types . ?T1 :transaction_type_description ?T1_transaction_type_description . ?T1 :transaction_type_code ?T1_transaction_type_code . FILTER(?T1_transaction_type_code = 'PUR') . }",SELECT ?T1_transaction_type_description WHERE { ?T1 a <http://valuenet/ontop/ref_transaction_types> . ?T1 <http://valuenet/ontop/transaction_type_description> ?T1_transaction_type_description . ?T1 <http://valuenet/ontop/transaction_type_code> ?T1_transaction_type_code . FILTER(?T1_transaction_type_code = 'PUR') . }
