nl_question,sparql_partial_uri,sparql_complete_uri
How many artworks are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :artwork . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/artwork> . }
List the name of artworks in ascending alphabetical order.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :artwork . ?T1 :name ?T1_name . ?T1 :name ?T1_name . } ORDER BY ASC (?T1_name)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/artwork> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/name> ?T1_name . } ORDER BY ASC (?T1_name)
List the name of artworks whose type is not 'Program Talent Show'.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :artwork . ?T1 :name ?T1_name . ?T1 :type ?T1_type . FILTER(?T1_type != 'Program Talent Show') . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/artwork> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/type> ?T1_type . FILTER(?T1_type != 'Program Talent Show') . }
What are the names and locations of festivals?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_festival_name ?T1_location WHERE { ?T1 a :festival_detail . ?T1 :festival_name ?T1_festival_name . ?T1 :location ?T1_location . }",SELECT ?T1_festival_name ?T1_location WHERE { ?T1 a <http://valuenet/ontop/festival_detail> . ?T1 <http://valuenet/ontop/festival_name> ?T1_festival_name . ?T1 <http://valuenet/ontop/location> ?T1_location . }
"What are the names of the chairs of festivals, sorted in ascending order of the year held?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_chair_name WHERE { ?T1 a :festival_detail . ?T1 :chair_name ?T1_chair_name . ?T1 :year ?T1_year . } ORDER BY ASC (?T1_year)",SELECT ?T1_chair_name WHERE { ?T1 a <http://valuenet/ontop/festival_detail> . ?T1 <http://valuenet/ontop/chair_name> ?T1_chair_name . ?T1 <http://valuenet/ontop/year> ?T1_year . } ORDER BY ASC (?T1_year)
What is the location of the festival with the largest number of audience?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_location WHERE { ?T1 a :festival_detail . ?T1 :location ?T1_location . ?T1 :num_of_audience ?T1_num_of_audience . } ORDER BY DESC (?T1_num_of_audience) LIMIT 1",SELECT ?T1_location WHERE { ?T1 a <http://valuenet/ontop/festival_detail> . ?T1 <http://valuenet/ontop/location> ?T1_location . ?T1 <http://valuenet/ontop/num_of_audience> ?T1_num_of_audience . } ORDER BY DESC (?T1_num_of_audience) LIMIT 1
What are the names of festivals held in year 2007?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_festival_name WHERE { ?T1 a :festival_detail . ?T1 :festival_name ?T1_festival_name . ?T1 :year ?T1_year . FILTER(?T1_year = 2007) . }",SELECT ?T1_festival_name WHERE { ?T1 a <http://valuenet/ontop/festival_detail> . ?T1 <http://valuenet/ontop/festival_name> ?T1_festival_name . ?T1 <http://valuenet/ontop/year> ?T1_year . FILTER(?T1_year = 2007) . }
What is the average number of audience for festivals?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_num_of_audience) as ?aggregation_T1_num_of_audience_76 ) WHERE { ?T1 a :festival_detail . ?T1 :num_of_audience ?T1_num_of_audience . }",SELECT (avg( ?T1_num_of_audience) as ?aggregation_T1_num_of_audience_76 ) WHERE { ?T1 a <http://valuenet/ontop/festival_detail> . ?T1 <http://valuenet/ontop/num_of_audience> ?T1_num_of_audience . }
Show the names of the three most recent festivals.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_festival_name WHERE { ?T1 a :festival_detail . ?T1 :festival_name ?T1_festival_name . ?T1 :year ?T1_year . } ORDER BY DESC (?T1_year) LIMIT 1",SELECT ?T1_festival_name WHERE { ?T1 a <http://valuenet/ontop/festival_detail> . ?T1 <http://valuenet/ontop/festival_name> ?T1_festival_name . ?T1 <http://valuenet/ontop/year> ?T1_year . } ORDER BY DESC (?T1_year) LIMIT 1
"For each nomination, show the name of the artwork and name of the festival where it is nominated.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T2_festival_name WHERE { ?T1 a :artwork . ?T13 a :nomination . ?T13 :ref-artwork ?T1 . ?T1 :name ?T1_name . ?T2 :festival_name ?T2_festival_name . ?T2 a :festival_detail . ?T13 :ref-festival ?T2 . ?T1 :name ?T1_name . ?T2 :festival_name ?T2_festival_name . }",SELECT ?T1_name ?T2_festival_name WHERE { ?T1 a <http://valuenet/ontop/artwork> . ?T13 a <http://valuenet/ontop/nomination> . ?T13 <http://valuenet/ontop/ref-artwork> ?T1 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T2 <http://valuenet/ontop/festival_name> ?T2_festival_name . ?T2 a <http://valuenet/ontop/festival_detail> . ?T13 <http://valuenet/ontop/ref-festival> ?T2 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T2 <http://valuenet/ontop/festival_name> ?T2_festival_name . }
