nl_question,sparql_partial_uri,sparql_complete_uri
How many wrestlers are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :wrestler . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/wrestler> . }
Count the number of wrestlers.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :wrestler . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/wrestler> . }
List the names of wrestlers in descending order of days held.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :wrestler . ?T1 :name ?T1_name . ?T1 :days_held ?T1_days_held . } ORDER BY DESC (?T1_days_held)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/wrestler> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/days_held> ?T1_days_held . } ORDER BY DESC (?T1_days_held)
"What are the names of the wrestlers, ordered descending by days held?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :wrestler . ?T1 :name ?T1_name . ?T1 :days_held ?T1_days_held . } ORDER BY DESC (?T1_days_held)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/wrestler> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/days_held> ?T1_days_held . } ORDER BY DESC (?T1_days_held)
What is the name of the wrestler with the fewest days held?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :wrestler . ?T1 :name ?T1_name . ?T1 :days_held ?T1_days_held . } ORDER BY ASC (?T1_days_held) LIMIT 1",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/wrestler> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/days_held> ?T1_days_held . } ORDER BY ASC (?T1_days_held) LIMIT 1
Return the name of the wrestler who had the lowest number of days held.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :wrestler . ?T1 :name ?T1_name . ?T1 :days_held ?T1_days_held . } ORDER BY ASC (?T1_days_held) LIMIT 1",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/wrestler> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/days_held> ?T1_days_held . } ORDER BY ASC (?T1_days_held) LIMIT 1
"What are the distinct reigns of wrestlers whose location is not 'Tokyo,Japan' ?","PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_reign WHERE { ?T1 a :wrestler . ?T1 :reign ?T1_reign . ?T1 :location ?T1_location . FILTER(?T1_location != 'Tokyo , Japan') . }","SELECT DISTINCT ?T1_reign WHERE { ?T1 a <http://valuenet/ontop/wrestler> . ?T1 <http://valuenet/ontop/reign> ?T1_reign . ?T1 <http://valuenet/ontop/location> ?T1_location . FILTER(?T1_location != 'Tokyo , Japan') . }"
"Give the different reigns of wrestlers who are not located in Tokyo, Japan.","PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_reign WHERE { ?T1 a :wrestler . ?T1 :reign ?T1_reign . ?T1 :location ?T1_location . FILTER(?T1_location != 'Tokyo , Japan') . }","SELECT DISTINCT ?T1_reign WHERE { ?T1 a <http://valuenet/ontop/wrestler> . ?T1 <http://valuenet/ontop/reign> ?T1_reign . ?T1 <http://valuenet/ontop/location> ?T1_location . FILTER(?T1_location != 'Tokyo , Japan') . }"
What are the names and location of the wrestlers?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_location WHERE { ?T1 a :wrestler . ?T1 :name ?T1_name . ?T1 :location ?T1_location . }",SELECT ?T1_name ?T1_location WHERE { ?T1 a <http://valuenet/ontop/wrestler> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/location> ?T1_location . }
Give the names and locations of all wrestlers.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_location WHERE { ?T1 a :wrestler . ?T1 :name ?T1_name . ?T1 :location ?T1_location . }",SELECT ?T1_name ?T1_location WHERE { ?T1 a <http://valuenet/ontop/wrestler> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/location> ?T1_location . }
What are the elimination moves of wrestlers whose team is 'Team Orton'?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_elimination_move WHERE { ?T1 a :elimination . ?T1 :elimination_move ?T1_elimination_move . ?T1 :team ?T1_team . FILTER(?T1_team = 'Team Orton') . }",SELECT ?T1_elimination_move WHERE { ?T1 a <http://valuenet/ontop/elimination> . ?T1 <http://valuenet/ontop/elimination_move> ?T1_elimination_move . ?T1 <http://valuenet/ontop/team> ?T1_team . FILTER(?T1_team = 'Team Orton') . }
