nl_question,sparql_partial_uri,sparql_complete_uri
How many courses are there in total?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :courses . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/courses> . }
Find the total number of courses offered.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :courses . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/courses> . }
What are the descriptions of the courses with name 'database'?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_course_description WHERE { ?T1 a :courses . ?T1 :course_description ?T1_course_description . ?T1 :course_name ?T1_course_name . FILTER(?T1_course_name = 'database') . }",SELECT ?T1_course_description WHERE { ?T1 a <http://valuenet/ontop/courses> . ?T1 <http://valuenet/ontop/course_description> ?T1_course_description . ?T1 <http://valuenet/ontop/course_name> ?T1_course_name . FILTER(?T1_course_name = 'database') . }
Return the description for the courses named 'database'.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_course_description WHERE { ?T1 a :courses . ?T1 :course_description ?T1_course_description . ?T1 :course_name ?T1_course_name . FILTER(?T1_course_name = 'database') . }",SELECT ?T1_course_description WHERE { ?T1 a <http://valuenet/ontop/courses> . ?T1 <http://valuenet/ontop/course_description> ?T1_course_description . ?T1 <http://valuenet/ontop/course_name> ?T1_course_name . FILTER(?T1_course_name = 'database') . }
What are the addresses of the course authors or tutors with personal name 'Cathrine',"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_address_line_1 WHERE { ?T1 a :course_authors_and_tutors . ?T1 :address_line_1 ?T1_address_line_1 . ?T1 :personal_name ?T1_personal_name . FILTER(?T1_personal_name = 'Cathrine') . }",SELECT ?T1_address_line_1 WHERE { ?T1 a <http://valuenet/ontop/course_authors_and_tutors> . ?T1 <http://valuenet/ontop/address_line_1> ?T1_address_line_1 . ?T1 <http://valuenet/ontop/personal_name> ?T1_personal_name . FILTER(?T1_personal_name = 'Cathrine') . }
Return the addresses of the course authors or tutors whose personal name is 'Cathrine'.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_address_line_1 WHERE { ?T1 a :course_authors_and_tutors . ?T1 :address_line_1 ?T1_address_line_1 . ?T1 :personal_name ?T1_personal_name . FILTER(?T1_personal_name = 'Cathrine') . }",SELECT ?T1_address_line_1 WHERE { ?T1 a <http://valuenet/ontop/course_authors_and_tutors> . ?T1 <http://valuenet/ontop/address_line_1> ?T1_address_line_1 . ?T1 <http://valuenet/ontop/personal_name> ?T1_personal_name . FILTER(?T1_personal_name = 'Cathrine') . }
List the addresses of all the course authors or tutors.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_address_line_1 WHERE { ?T1 a :course_authors_and_tutors . ?T1 :address_line_1 ?T1_address_line_1 . }",SELECT ?T1_address_line_1 WHERE { ?T1 a <http://valuenet/ontop/course_authors_and_tutors> . ?T1 <http://valuenet/ontop/address_line_1> ?T1_address_line_1 . }
What is the address of each course author or tutor?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_address_line_1 WHERE { ?T1 a :course_authors_and_tutors . ?T1 :address_line_1 ?T1_address_line_1 . }",SELECT ?T1_address_line_1 WHERE { ?T1 a <http://valuenet/ontop/course_authors_and_tutors> . ?T1 <http://valuenet/ontop/address_line_1> ?T1_address_line_1 . }
List all the login names and family names of course author and tutors.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_login_name ?T1_family_name WHERE { ?T1 a :course_authors_and_tutors . ?T1 :login_name ?T1_login_name . ?T1 :family_name ?T1_family_name . }",SELECT ?T1_login_name ?T1_family_name WHERE { ?T1 a <http://valuenet/ontop/course_authors_and_tutors> . ?T1 <http://valuenet/ontop/login_name> ?T1_login_name . ?T1 <http://valuenet/ontop/family_name> ?T1_family_name . }
What are the login names and family names of course author and tutors?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_login_name ?T1_family_name WHERE { ?T1 a :course_authors_and_tutors . ?T1 :login_name ?T1_login_name . ?T1 :family_name ?T1_family_name . }",SELECT ?T1_login_name ?T1_family_name WHERE { ?T1 a <http://valuenet/ontop/course_authors_and_tutors> . ?T1 <http://valuenet/ontop/login_name> ?T1_login_name . ?T1 <http://valuenet/ontop/family_name> ?T1_family_name . }
