nl_question,sparql_partial_uri,sparql_complete_uri
How many devices are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :device . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/device> . }
Count the number of devices.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :device . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/device> . }
List the carriers of devices in ascending alphabetical order.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_carrier WHERE { ?T1 a :device . ?T1 :carrier ?T1_carrier . ?T1 :carrier ?T1_carrier . } ORDER BY ASC (?T1_carrier)",SELECT ?T1_carrier WHERE { ?T1 a <http://valuenet/ontop/device> . ?T1 <http://valuenet/ontop/carrier> ?T1_carrier . ?T1 <http://valuenet/ontop/carrier> ?T1_carrier . } ORDER BY ASC (?T1_carrier)
"What are the different carriers for devices, listed in alphabetical order?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_carrier WHERE { ?T1 a :device . ?T1 :carrier ?T1_carrier . ?T1 :carrier ?T1_carrier . } ORDER BY ASC (?T1_carrier)",SELECT ?T1_carrier WHERE { ?T1 a <http://valuenet/ontop/device> . ?T1 <http://valuenet/ontop/carrier> ?T1_carrier . ?T1 <http://valuenet/ontop/carrier> ?T1_carrier . } ORDER BY ASC (?T1_carrier)
What are the carriers of devices whose software platforms are not 'Android'?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_carrier WHERE { ?T1 a :device . ?T1 :carrier ?T1_carrier . ?T1 :software_platform ?T1_software_platform . FILTER(?T1_software_platform != 'Android') . }",SELECT ?T1_carrier WHERE { ?T1 a <http://valuenet/ontop/device> . ?T1 <http://valuenet/ontop/carrier> ?T1_carrier . ?T1 <http://valuenet/ontop/software_platform> ?T1_software_platform . FILTER(?T1_software_platform != 'Android') . }
Return the device carriers that do not have Android as their software platform.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_carrier WHERE { ?T1 a :device . ?T1 :carrier ?T1_carrier . ?T1 :software_platform ?T1_software_platform . FILTER(?T1_software_platform != 'Android') . }",SELECT ?T1_carrier WHERE { ?T1 a <http://valuenet/ontop/device> . ?T1 <http://valuenet/ontop/carrier> ?T1_carrier . ?T1 <http://valuenet/ontop/software_platform> ?T1_software_platform . FILTER(?T1_software_platform != 'Android') . }
What are the names of shops in ascending order of open year?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_shop_name WHERE { ?T1 a :shop . ?T1 :shop_name ?T1_shop_name . ?T1 :open_year ?T1_open_year . } ORDER BY ASC (?T1_open_year)",SELECT ?T1_shop_name WHERE { ?T1 a <http://valuenet/ontop/shop> . ?T1 <http://valuenet/ontop/shop_name> ?T1_shop_name . ?T1 <http://valuenet/ontop/open_year> ?T1_open_year . } ORDER BY ASC (?T1_open_year)
"Return the names of shops, ordered by year of opening ascending.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_shop_name WHERE { ?T1 a :shop . ?T1 :shop_name ?T1_shop_name . ?T1 :open_year ?T1_open_year . } ORDER BY ASC (?T1_open_year)",SELECT ?T1_shop_name WHERE { ?T1 a <http://valuenet/ontop/shop> . ?T1 <http://valuenet/ontop/shop_name> ?T1_shop_name . ?T1 <http://valuenet/ontop/open_year> ?T1_open_year . } ORDER BY ASC (?T1_open_year)
What is the average quantity of stocks?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_quantity) as ?aggregation_T1_quantity_134 ) WHERE { ?T1 a :stock . ?T1 :quantity ?T1_quantity . }",SELECT (avg( ?T1_quantity) as ?aggregation_T1_quantity_134 ) WHERE { ?T1 a <http://valuenet/ontop/stock> . ?T1 <http://valuenet/ontop/quantity> ?T1_quantity . }
Give the average quantity of stocks.,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_quantity) as ?aggregation_T1_quantity_51 ) WHERE { ?T1 a :stock . ?T1 :quantity ?T1_quantity . }",SELECT (avg( ?T1_quantity) as ?aggregation_T1_quantity_51 ) WHERE { ?T1 a <http://valuenet/ontop/stock> . ?T1 <http://valuenet/ontop/quantity> ?T1_quantity . }
What are the names and location of the shops in ascending alphabetical order of name.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_shop_name ?T1_location WHERE { ?T1 a :shop . ?T1 :shop_name ?T1_shop_name . ?T1 :location ?T1_location . ?T1 :shop_name ?T1_shop_name . } ORDER BY ASC (?T1_shop_name)",SELECT ?T1_shop_name ?T1_location WHERE { ?T1 a <http://valuenet/ontop/shop> . ?T1 <http://valuenet/ontop/shop_name> ?T1_shop_name . ?T1 <http://valuenet/ontop/location> ?T1_location . ?T1 <http://valuenet/ontop/shop_name> ?T1_shop_name . } ORDER BY ASC (?T1_shop_name)
"Return the names and locations of shops, ordered by name in alphabetical order.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_shop_name ?T1_location WHERE { ?T1 a :shop . ?T1 :shop_name ?T1_shop_name . ?T1 :location ?T1_location . ?T1 :shop_name ?T1_shop_name . } ORDER BY ASC (?T1_shop_name)",SELECT ?T1_shop_name ?T1_location WHERE { ?T1 a <http://valuenet/ontop/shop> . ?T1 <http://valuenet/ontop/shop_name> ?T1_shop_name . ?T1 <http://valuenet/ontop/location> ?T1_location . ?T1 <http://valuenet/ontop/shop_name> ?T1_shop_name . } ORDER BY ASC (?T1_shop_name)
How many different software platforms are there for devices?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_software_platform) as ?aggregation_T1_software_platform_166 ) WHERE { ?T1 a :device . ?T1 :software_platform ?T1_software_platform . }",SELECT DISTINCT (count(DISTINCT ?T1_software_platform) as ?aggregation_T1_software_platform_166 ) WHERE { ?T1 a <http://valuenet/ontop/device> . ?T1 <http://valuenet/ontop/software_platform> ?T1_software_platform . }
Count the number of different software platforms.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_software_platform) as ?aggregation_T1_software_platform_48 ) WHERE { ?T1 a :device . ?T1 :software_platform ?T1_software_platform . }",SELECT DISTINCT (count(DISTINCT ?T1_software_platform) as ?aggregation_T1_software_platform_48 ) WHERE { ?T1 a <http://valuenet/ontop/device> . ?T1 <http://valuenet/ontop/software_platform> ?T1_software_platform . }
List the open date of open year of the shop named 'Apple'.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_open_date ?T1_open_year WHERE { ?T1 a :shop . ?T1 :open_date ?T1_open_date . ?T1 :open_year ?T1_open_year . ?T1 :shop_name ?T1_shop_name . FILTER(?T1_shop_name = 'Apple') . }",SELECT ?T1_open_date ?T1_open_year WHERE { ?T1 a <http://valuenet/ontop/shop> . ?T1 <http://valuenet/ontop/open_date> ?T1_open_date . ?T1 <http://valuenet/ontop/open_year> ?T1_open_year . ?T1 <http://valuenet/ontop/shop_name> ?T1_shop_name . FILTER(?T1_shop_name = 'Apple') . }
What are the open dates and years for the shop named Apple?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_open_date ?T1_open_year WHERE { ?T1 a :shop . ?T1 :open_date ?T1_open_date . ?T1 :open_year ?T1_open_year . ?T1 :shop_name ?T1_shop_name . FILTER(?T1_shop_name = 'Apple') . }",SELECT ?T1_open_date ?T1_open_year WHERE { ?T1 a <http://valuenet/ontop/shop> . ?T1 <http://valuenet/ontop/open_date> ?T1_open_date . ?T1 <http://valuenet/ontop/open_year> ?T1_open_year . ?T1 <http://valuenet/ontop/shop_name> ?T1_shop_name . FILTER(?T1_shop_name = 'Apple') . }
