nl_question,sparql_partial_uri,sparql_complete_uri
How many artists do we have?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :artist . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/artist> . }
Count the number of artists.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :artist . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/artist> . }
"Show all artist name, age, and country ordered by the yeared they joined.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_age ?T1_country WHERE { ?T1 a :artist . ?T1 :name ?T1_name . ?T1 :age ?T1_age . ?T1 :country ?T1_country . ?T1 :year_join ?T1_year_join . } ORDER BY ASC (?T1_year_join)",SELECT ?T1_name ?T1_age ?T1_country WHERE { ?T1 a <http://valuenet/ontop/artist> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/age> ?T1_age . ?T1 <http://valuenet/ontop/country> ?T1_country . ?T1 <http://valuenet/ontop/year_join> ?T1_year_join . } ORDER BY ASC (?T1_year_join)
"What are the names, ages, and countries of artists, sorted by the year they joined?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_age ?T1_country WHERE { ?T1 a :artist . ?T1 :name ?T1_name . ?T1 :age ?T1_age . ?T1 :country ?T1_country . ?T1 :year_join ?T1_year_join . } ORDER BY ASC (?T1_year_join)",SELECT ?T1_name ?T1_age ?T1_country WHERE { ?T1 a <http://valuenet/ontop/artist> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/age> ?T1_age . ?T1 <http://valuenet/ontop/country> ?T1_country . ?T1 <http://valuenet/ontop/year_join> ?T1_year_join . } ORDER BY ASC (?T1_year_join)
What are all distinct country for artists?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_country WHERE { ?T1 a :artist . ?T1 :country ?T1_country . }",SELECT DISTINCT ?T1_country WHERE { ?T1 a <http://valuenet/ontop/artist> . ?T1 <http://valuenet/ontop/country> ?T1_country . }
Return the different countries for artists.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_country WHERE { ?T1 a :artist . ?T1 :country ?T1_country . }",SELECT DISTINCT ?T1_country WHERE { ?T1 a <http://valuenet/ontop/artist> . ?T1 <http://valuenet/ontop/country> ?T1_country . }
Show all artist names and the year joined who are not from United States.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_year_join WHERE { ?T1 a :artist . ?T1 :name ?T1_name . ?T1 :year_join ?T1_year_join . ?T1 :country ?T1_country . FILTER(?T1_country != 'United States') . }",SELECT ?T1_name ?T1_year_join WHERE { ?T1 a <http://valuenet/ontop/artist> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/year_join> ?T1_year_join . ?T1 <http://valuenet/ontop/country> ?T1_country . FILTER(?T1_country != 'United States') . }
What are the names and year of joining for artists that do not have the country 'United States'?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_year_join WHERE { ?T1 a :artist . ?T1 :name ?T1_name . ?T1 :year_join ?T1_year_join . ?T1 :country ?T1_country . FILTER(?T1_country != 'United States') . }",SELECT ?T1_name ?T1_year_join WHERE { ?T1 a <http://valuenet/ontop/artist> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/year_join> ?T1_year_join . ?T1 <http://valuenet/ontop/country> ?T1_country . FILTER(?T1_country != 'United States') . }
How many artists are above age 46 and joined after 1990?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :artist . ?T1 :age ?T1_age . ?T1 :year_join ?T1_year_join . FILTER(?T1_age > 46 && ?T1_year_join > 1990) . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/artist> . ?T1 <http://valuenet/ontop/age> ?T1_age . ?T1 <http://valuenet/ontop/year_join> ?T1_year_join . FILTER(?T1_age > 46 && ?T1_year_join > 1990) . }
Count the number of artists who are older than 46 and joined after 1990.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :artist . ?T1 :age ?T1_age . ?T1 :year_join ?T1_year_join . FILTER(?T1_age > 46 && ?T1_year_join > 1990) . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/artist> . ?T1 <http://valuenet/ontop/age> ?T1_age . ?T1 <http://valuenet/ontop/year_join> ?T1_year_join . FILTER(?T1_age > 46 && ?T1_year_join > 1990) . }
What is the average and minimum age of all artists from United States.,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_age) as ?aggregation_T1_age_93 ) (min( ?T1_age) as ?aggregation_T1_age_161 ) WHERE { ?T1 a :artist . ?T1 :age ?T1_age . ?T1 :age ?T1_age . ?T1 :country ?T1_country . FILTER(?T1_country = 'United States') . }",SELECT (avg( ?T1_age) as ?aggregation_T1_age_93 ) (min( ?T1_age) as ?aggregation_T1_age_161 ) WHERE { ?T1 a <http://valuenet/ontop/artist> . ?T1 <http://valuenet/ontop/age> ?T1_age . ?T1 <http://valuenet/ontop/age> ?T1_age . ?T1 <http://valuenet/ontop/country> ?T1_country . FILTER(?T1_country = 'United States') . }
Return the average and minimum ages across artists from the United States.,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_age) as ?aggregation_T1_age_31 ) (min( ?T1_age) as ?aggregation_T1_age_91 ) WHERE { ?T1 a :artist . ?T1 :age ?T1_age . ?T1 :age ?T1_age . ?T1 :country ?T1_country . FILTER(?T1_country = 'United States') . }",SELECT (avg( ?T1_age) as ?aggregation_T1_age_31 ) (min( ?T1_age) as ?aggregation_T1_age_91 ) WHERE { ?T1 a <http://valuenet/ontop/artist> . ?T1 <http://valuenet/ontop/age> ?T1_age . ?T1 <http://valuenet/ontop/age> ?T1_age . ?T1 <http://valuenet/ontop/country> ?T1_country . FILTER(?T1_country = 'United States') . }
What is the name of the artist who joined latest?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :artist . ?T1 :name ?T1_name . ?T1 :year_join ?T1_year_join . } ORDER BY DESC (?T1_year_join) LIMIT 1",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/artist> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/year_join> ?T1_year_join . } ORDER BY DESC (?T1_year_join) LIMIT 1
Return the name of the artist who has the latest join year.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :artist . ?T1 :name ?T1_name . ?T1 :year_join ?T1_year_join . } ORDER BY DESC (?T1_year_join) LIMIT 1",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/artist> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/year_join> ?T1_year_join . } ORDER BY DESC (?T1_year_join) LIMIT 1
How many exhibition are there in year 2005 or after?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :exhibition . ?T1 :year ?T1_year . FILTER(?T1_year >= 2005) . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/exhibition> . ?T1 <http://valuenet/ontop/year> ?T1_year . FILTER(?T1_year >= 2005) . }
Count the number of exhibitions that happened in or after 2005.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :exhibition . ?T1 :year ?T1_year . FILTER(?T1_year >= 2005) . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/exhibition> . ?T1 <http://valuenet/ontop/year> ?T1_year . FILTER(?T1_year >= 2005) . }
