nl_question,sparql_partial_uri,sparql_complete_uri
Find the total savings balance of all accounts except the account with name ‘Brown’.,"PREFIX : <http://valuenet/ontop/>
SELECT (sum( ?T1_balance) as ?aggregation_T1_balance_80 ) WHERE { ?T1 a :savings . ?T2 a :accounts . ?T1 :ref-cust ?T2 . ?T1 :balance ?T1_balance . ?T2 :name ?T2_name . FILTER(?T2_name != 'Brown') . }",SELECT (sum( ?T1_balance) as ?aggregation_T1_balance_80 ) WHERE { ?T1 a <http://valuenet/ontop/savings> . ?T2 a <http://valuenet/ontop/accounts> . ?T1 <http://valuenet/ontop/ref-cust> ?T2 . ?T1 <http://valuenet/ontop/balance> ?T1_balance . ?T2 <http://valuenet/ontop/name> ?T2_name . FILTER(?T2_name != 'Brown') . }
What is the total balance of savings accounts not belonging to someone with the name Brown?,"PREFIX : <http://valuenet/ontop/>
SELECT (sum( ?T1_balance) as ?aggregation_T1_balance_106 ) WHERE { ?T1 a :savings . ?T2 a :accounts . ?T1 :ref-cust ?T2 . ?T1 :balance ?T1_balance . ?T2 :name ?T2_name . FILTER(?T2_name != 'Brown') . }",SELECT (sum( ?T1_balance) as ?aggregation_T1_balance_106 ) WHERE { ?T1 a <http://valuenet/ontop/savings> . ?T2 a <http://valuenet/ontop/accounts> . ?T1 <http://valuenet/ontop/ref-cust> ?T2 . ?T1 <http://valuenet/ontop/balance> ?T1_balance . ?T2 <http://valuenet/ontop/name> ?T2_name . FILTER(?T2_name != 'Brown') . }
How many accounts are there in total?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :accounts . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/accounts> . }
Count the number of accounts.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :accounts . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/accounts> . }
What is the total checking balance in all accounts?,"PREFIX : <http://valuenet/ontop/>
SELECT (sum( ?T1_balance) as ?aggregation_T1_balance_161 ) WHERE { ?T1 a :checking . ?T1 :balance ?T1_balance . }",SELECT (sum( ?T1_balance) as ?aggregation_T1_balance_161 ) WHERE { ?T1 a <http://valuenet/ontop/checking> . ?T1 <http://valuenet/ontop/balance> ?T1_balance . }
Find the total balance across checking accounts.,"PREFIX : <http://valuenet/ontop/>
SELECT (sum( ?T1_balance) as ?aggregation_T1_balance_157 ) WHERE { ?T1 a :checking . ?T1 :balance ?T1_balance . }",SELECT (sum( ?T1_balance) as ?aggregation_T1_balance_157 ) WHERE { ?T1 a <http://valuenet/ontop/checking> . ?T1 <http://valuenet/ontop/balance> ?T1_balance . }
Find the average checking balance.,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_balance) as ?aggregation_T1_balance_114 ) WHERE { ?T1 a :checking . ?T1 :balance ?T1_balance . }",SELECT (avg( ?T1_balance) as ?aggregation_T1_balance_114 ) WHERE { ?T1 a <http://valuenet/ontop/checking> . ?T1 <http://valuenet/ontop/balance> ?T1_balance . }
What is the average balance in checking accounts?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_balance) as ?aggregation_T1_balance_185 ) WHERE { ?T1 a :checking . ?T1 :balance ?T1_balance . }",SELECT (avg( ?T1_balance) as ?aggregation_T1_balance_185 ) WHERE { ?T1 a <http://valuenet/ontop/checking> . ?T1 <http://valuenet/ontop/balance> ?T1_balance . }
How many accounts have a savings balance above the average savings balance?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :savings . ?T1 :balance ?T1_balance . FILTER(?T1_balance > (?aggregation_T22_balance_184)) . {SELECT (avg( ?T22_balance) as ?aggregation_T22_balance_184 ) WHERE { ?T22 a :savings . ?T22 :balance ?T22_balance . } } }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/savings> . ?T1 <http://valuenet/ontop/balance> ?T1_balance . FILTER(?T1_balance > (?aggregation_T22_balance_184)) . {SELECT (avg( ?T22_balance) as ?aggregation_T22_balance_184 ) WHERE { ?T22 a <http://valuenet/ontop/savings> . ?T22 <http://valuenet/ontop/balance> ?T22_balance . } } }
Find the number of accounts with a savings balance that is higher than the average savings balance.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :savings . ?T1 :balance ?T1_balance . FILTER(?T1_balance > (?aggregation_T22_balance_128)) . {SELECT (avg( ?T22_balance) as ?aggregation_T22_balance_128 ) WHERE { ?T22 a :savings . ?T22 :balance ?T22_balance . } } }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/savings> . ?T1 <http://valuenet/ontop/balance> ?T1_balance . FILTER(?T1_balance > (?aggregation_T22_balance_128)) . {SELECT (avg( ?T22_balance) as ?aggregation_T22_balance_128 ) WHERE { ?T22 a <http://valuenet/ontop/savings> . ?T22 <http://valuenet/ontop/balance> ?T22_balance . } } }
