nl_question,sparql_partial_uri,sparql_complete_uri
How many submissions are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :submission . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/submission> . }
Count the number of submissions.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :submission . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/submission> . }
List the authors of submissions in ascending order of scores.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_author WHERE { ?T1 a :submission . ?T1 :author ?T1_author . ?T1 :scores ?T1_scores . } ORDER BY ASC (?T1_scores)",SELECT ?T1_author WHERE { ?T1 a <http://valuenet/ontop/submission> . ?T1 <http://valuenet/ontop/author> ?T1_author . ?T1 <http://valuenet/ontop/scores> ?T1_scores . } ORDER BY ASC (?T1_scores)
Find the author for each submission and list them in ascending order of submission score.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_author WHERE { ?T1 a :submission . ?T1 :author ?T1_author . ?T1 :scores ?T1_scores . } ORDER BY ASC (?T1_scores)",SELECT ?T1_author WHERE { ?T1 a <http://valuenet/ontop/submission> . ?T1 <http://valuenet/ontop/author> ?T1_author . ?T1 <http://valuenet/ontop/scores> ?T1_scores . } ORDER BY ASC (?T1_scores)
What are the authors of submissions and their colleges?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_author ?T1_college WHERE { ?T1 a :submission . ?T1 :author ?T1_author . ?T1 :college ?T1_college . }",SELECT ?T1_author ?T1_college WHERE { ?T1 a <http://valuenet/ontop/submission> . ?T1 <http://valuenet/ontop/author> ?T1_author . ?T1 <http://valuenet/ontop/college> ?T1_college . }
"For each submission, show the author and their affiliated college.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_author ?T1_college WHERE { ?T1 a :submission . ?T1 :author ?T1_author . ?T1 :college ?T1_college . }",SELECT ?T1_author ?T1_college WHERE { ?T1 a <http://valuenet/ontop/submission> . ?T1 <http://valuenet/ontop/author> ?T1_author . ?T1 <http://valuenet/ontop/college> ?T1_college . }
Show the names of authors from college 'Florida' or 'Temple',"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_author WHERE { ?T1 a :submission . ?T1 :author ?T1_author . ?T1 :college ?T1_college . ?T1 :college ?T1_college . FILTER(?T1_college = 'Florida' || ?T1_college = 'Temple') . }",SELECT ?T1_author WHERE { ?T1 a <http://valuenet/ontop/submission> . ?T1 <http://valuenet/ontop/author> ?T1_author . ?T1 <http://valuenet/ontop/college> ?T1_college . ?T1 <http://valuenet/ontop/college> ?T1_college . FILTER(?T1_college = 'Florida' || ?T1_college = 'Temple') . }
Which authors with submissions are from college 'Florida' or 'Temple'?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_author WHERE { ?T1 a :submission . ?T1 :author ?T1_author . ?T1 :college ?T1_college . ?T1 :college ?T1_college . FILTER(?T1_college = 'Florida' || ?T1_college = 'Temple') . }",SELECT ?T1_author WHERE { ?T1 a <http://valuenet/ontop/submission> . ?T1 <http://valuenet/ontop/author> ?T1_author . ?T1 <http://valuenet/ontop/college> ?T1_college . ?T1 <http://valuenet/ontop/college> ?T1_college . FILTER(?T1_college = 'Florida' || ?T1_college = 'Temple') . }
What is the average score of submissions?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_scores) as ?aggregation_T1_scores_186 ) WHERE { ?T1 a :submission . ?T1 :scores ?T1_scores . }",SELECT (avg( ?T1_scores) as ?aggregation_T1_scores_186 ) WHERE { ?T1 a <http://valuenet/ontop/submission> . ?T1 <http://valuenet/ontop/scores> ?T1_scores . }
Compute the average score of submissions.,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_scores) as ?aggregation_T1_scores_167 ) WHERE { ?T1 a :submission . ?T1 :scores ?T1_scores . }",SELECT (avg( ?T1_scores) as ?aggregation_T1_scores_167 ) WHERE { ?T1 a <http://valuenet/ontop/submission> . ?T1 <http://valuenet/ontop/scores> ?T1_scores . }
What is the author of the submission with the highest score?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_author WHERE { ?T1 a :submission . ?T1 :author ?T1_author . ?T1 :scores ?T1_scores . } ORDER BY DESC (?T1_scores) LIMIT 1",SELECT ?T1_author WHERE { ?T1 a <http://valuenet/ontop/submission> . ?T1 <http://valuenet/ontop/author> ?T1_author . ?T1 <http://valuenet/ontop/scores> ?T1_scores . } ORDER BY DESC (?T1_scores) LIMIT 1
