nl_question,sparql_partial_uri,sparql_complete_uri
How many climbers are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :climber . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/climber> . }
Count the number of climbers.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :climber . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/climber> . }
List the names of climbers in descending order of points.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :climber . ?T1 :name ?T1_name . ?T1 :points ?T1_points . } ORDER BY DESC (?T1_points)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/climber> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/points> ?T1_points . } ORDER BY DESC (?T1_points)
"What are the names of the climbers, ordered by points descending?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :climber . ?T1 :name ?T1_name . ?T1 :points ?T1_points . } ORDER BY DESC (?T1_points)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/climber> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/points> ?T1_points . } ORDER BY DESC (?T1_points)
List the names of climbers whose country is not Switzerland.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :climber . ?T1 :name ?T1_name . ?T1 :country ?T1_country . FILTER(?T1_country != 'Switzerland') . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/climber> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/country> ?T1_country . FILTER(?T1_country != 'Switzerland') . }
What are the names of climbers who are not from the country of Switzerland?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :climber . ?T1 :name ?T1_name . ?T1 :country ?T1_country . FILTER(?T1_country != 'Switzerland') . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/climber> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/country> ?T1_country . FILTER(?T1_country != 'Switzerland') . }
What is the maximum point for climbers whose country is United Kingdom?,"PREFIX : <http://valuenet/ontop/>
SELECT (max( ?T1_points) as ?aggregation_T1_points_21 ) WHERE { ?T1 a :climber . ?T1 :points ?T1_points . ?T1 :country ?T1_country . FILTER(?T1_country = 'United Kingdom') . }",SELECT (max( ?T1_points) as ?aggregation_T1_points_21 ) WHERE { ?T1 a <http://valuenet/ontop/climber> . ?T1 <http://valuenet/ontop/points> ?T1_points . ?T1 <http://valuenet/ontop/country> ?T1_country . FILTER(?T1_country = 'United Kingdom') . }
Return the maximum number of points for climbers from the United Kingdom.,"PREFIX : <http://valuenet/ontop/>
SELECT (max( ?T1_points) as ?aggregation_T1_points_136 ) WHERE { ?T1 a :climber . ?T1 :points ?T1_points . ?T1 :country ?T1_country . FILTER(?T1_country = 'United Kingdom') . }",SELECT (max( ?T1_points) as ?aggregation_T1_points_136 ) WHERE { ?T1 a <http://valuenet/ontop/climber> . ?T1 <http://valuenet/ontop/points> ?T1_points . ?T1 <http://valuenet/ontop/country> ?T1_country . FILTER(?T1_country = 'United Kingdom') . }
How many distinct countries are the climbers from?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_country) as ?aggregation_T1_country_11 ) WHERE { ?T1 a :climber . ?T1 :country ?T1_country . }",SELECT DISTINCT (count(DISTINCT ?T1_country) as ?aggregation_T1_country_11 ) WHERE { ?T1 a <http://valuenet/ontop/climber> . ?T1 <http://valuenet/ontop/country> ?T1_country . }
Count the number of different countries that climbers are from.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_country) as ?aggregation_T1_country_127 ) WHERE { ?T1 a :climber . ?T1 :country ?T1_country . }",SELECT DISTINCT (count(DISTINCT ?T1_country) as ?aggregation_T1_country_127 ) WHERE { ?T1 a <http://valuenet/ontop/climber> . ?T1 <http://valuenet/ontop/country> ?T1_country . }
