nl_question,sparql_partial_uri,sparql_complete_uri
How many farms are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :farm . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/farm> . }
Count the number of farms.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :farm . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/farm> . }
List the total number of horses on farms in ascending order.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_total_horses WHERE { ?T1 a :farm . ?T1 :total_horses ?T1_total_horses . ?T1 :total_horses ?T1_total_horses . } ORDER BY ASC (?T1_total_horses)",SELECT ?T1_total_horses WHERE { ?T1 a <http://valuenet/ontop/farm> . ?T1 <http://valuenet/ontop/total_horses> ?T1_total_horses . ?T1 <http://valuenet/ontop/total_horses> ?T1_total_horses . } ORDER BY ASC (?T1_total_horses)
"What is the total horses record for each farm, sorted ascending?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_total_horses WHERE { ?T1 a :farm . ?T1 :total_horses ?T1_total_horses . ?T1 :total_horses ?T1_total_horses . } ORDER BY ASC (?T1_total_horses)",SELECT ?T1_total_horses WHERE { ?T1 a <http://valuenet/ontop/farm> . ?T1 <http://valuenet/ontop/total_horses> ?T1_total_horses . ?T1 <http://valuenet/ontop/total_horses> ?T1_total_horses . } ORDER BY ASC (?T1_total_horses)
What are the hosts of competitions whose theme is not 'Aliens'?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_hosts WHERE { ?T1 a :farm_competition . ?T1 :hosts ?T1_hosts . ?T1 :theme ?T1_theme . FILTER(?T1_theme != 'Aliens') . }",SELECT ?T1_hosts WHERE { ?T1 a <http://valuenet/ontop/farm_competition> . ?T1 <http://valuenet/ontop/hosts> ?T1_hosts . ?T1 <http://valuenet/ontop/theme> ?T1_theme . FILTER(?T1_theme != 'Aliens') . }
Return the hosts of competitions for which the theme is not Aliens?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_hosts WHERE { ?T1 a :farm_competition . ?T1 :hosts ?T1_hosts . ?T1 :theme ?T1_theme . FILTER(?T1_theme != 'Aliens') . }",SELECT ?T1_hosts WHERE { ?T1 a <http://valuenet/ontop/farm_competition> . ?T1 <http://valuenet/ontop/hosts> ?T1_hosts . ?T1 <http://valuenet/ontop/theme> ?T1_theme . FILTER(?T1_theme != 'Aliens') . }
What are the themes of farm competitions sorted by year in ascending order?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_theme WHERE { ?T1 a :farm_competition . ?T1 :theme ?T1_theme . ?T1 :year ?T1_year . } ORDER BY ASC (?T1_year)",SELECT ?T1_theme WHERE { ?T1 a <http://valuenet/ontop/farm_competition> . ?T1 <http://valuenet/ontop/theme> ?T1_theme . ?T1 <http://valuenet/ontop/year> ?T1_year . } ORDER BY ASC (?T1_year)
"Return the themes of farm competitions, sorted by year ascending.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_theme WHERE { ?T1 a :farm_competition . ?T1 :theme ?T1_theme . ?T1 :year ?T1_year . } ORDER BY ASC (?T1_year)",SELECT ?T1_theme WHERE { ?T1 a <http://valuenet/ontop/farm_competition> . ?T1 <http://valuenet/ontop/theme> ?T1_theme . ?T1 <http://valuenet/ontop/year> ?T1_year . } ORDER BY ASC (?T1_year)
What is the average number of working horses of farms with more than 5000 total number of horses?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_working_horses) as ?aggregation_T1_working_horses_11 ) WHERE { ?T1 a :farm . ?T1 :working_horses ?T1_working_horses . ?T1 :total_horses ?T1_total_horses . FILTER(?T1_total_horses > 5000) . }",SELECT (avg( ?T1_working_horses) as ?aggregation_T1_working_horses_11 ) WHERE { ?T1 a <http://valuenet/ontop/farm> . ?T1 <http://valuenet/ontop/working_horses> ?T1_working_horses . ?T1 <http://valuenet/ontop/total_horses> ?T1_total_horses . FILTER(?T1_total_horses > 5000) . }
Give the average number of working horses on farms with more than 5000 total horses.,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_working_horses) as ?aggregation_T1_working_horses_45 ) WHERE { ?T1 a :farm . ?T1 :working_horses ?T1_working_horses . ?T1 :total_horses ?T1_total_horses . FILTER(?T1_total_horses > 5000) . }",SELECT (avg( ?T1_working_horses) as ?aggregation_T1_working_horses_45 ) WHERE { ?T1 a <http://valuenet/ontop/farm> . ?T1 <http://valuenet/ontop/working_horses> ?T1_working_horses . ?T1 <http://valuenet/ontop/total_horses> ?T1_total_horses . FILTER(?T1_total_horses > 5000) . }
What are the maximum and minimum number of cows across all farms.,"PREFIX : <http://valuenet/ontop/>
SELECT (max( ?T1_cows) as ?aggregation_T1_cows_56 ) (min( ?T1_cows) as ?aggregation_T1_cows_140 ) WHERE { ?T1 a :farm . ?T1 :cows ?T1_cows . ?T1 :cows ?T1_cows . }",SELECT (max( ?T1_cows) as ?aggregation_T1_cows_56 ) (min( ?T1_cows) as ?aggregation_T1_cows_140 ) WHERE { ?T1 a <http://valuenet/ontop/farm> . ?T1 <http://valuenet/ontop/cows> ?T1_cows . ?T1 <http://valuenet/ontop/cows> ?T1_cows . }
Return the maximum and minimum number of cows across all farms.,"PREFIX : <http://valuenet/ontop/>
SELECT (max( ?T1_cows) as ?aggregation_T1_cows_1 ) (min( ?T1_cows) as ?aggregation_T1_cows_143 ) WHERE { ?T1 a :farm . ?T1 :cows ?T1_cows . ?T1 :cows ?T1_cows . }",SELECT (max( ?T1_cows) as ?aggregation_T1_cows_1 ) (min( ?T1_cows) as ?aggregation_T1_cows_143 ) WHERE { ?T1 a <http://valuenet/ontop/farm> . ?T1 <http://valuenet/ontop/cows> ?T1_cows . ?T1 <http://valuenet/ontop/cows> ?T1_cows . }
How many different statuses do cities have?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_status) as ?aggregation_T1_status_91 ) WHERE { ?T1 a :city . ?T1 :status ?T1_status . }",SELECT DISTINCT (count(DISTINCT ?T1_status) as ?aggregation_T1_status_91 ) WHERE { ?T1 a <http://valuenet/ontop/city> . ?T1 <http://valuenet/ontop/status> ?T1_status . }
