nl_question,sparql_partial_uri,sparql_complete_uri
How many camera lenses have a focal length longer than 15 mm?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :camera_lens . ?T1 :focal_length_mm ?T1_focal_length_mm . FILTER(?T1_focal_length_mm > 15) . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/camera_lens> . ?T1 <http://valuenet/ontop/focal_length_mm> ?T1_focal_length_mm . FILTER(?T1_focal_length_mm > 15) . }
"Find the brand and name for each camera lens, and sort in descending order of maximum aperture.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_brand ?T1_name WHERE { ?T1 a :camera_lens . ?T1 :brand ?T1_brand . ?T1 :name ?T1_name . ?T1 :max_aperture ?T1_max_aperture . } ORDER BY DESC (?T1_max_aperture)",SELECT ?T1_brand ?T1_name WHERE { ?T1 a <http://valuenet/ontop/camera_lens> . ?T1 <http://valuenet/ontop/brand> ?T1_brand . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/max_aperture> ?T1_max_aperture . } ORDER BY DESC (?T1_max_aperture)
"List the id, color scheme, and name for all the photos.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_id ?T1_color ?T1_name WHERE { ?T1 a :photos . ?T1 :id ?T1_id . ?T1 :color ?T1_color . ?T1 :name ?T1_name . }",SELECT ?T1_id ?T1_color ?T1_name WHERE { ?T1 a <http://valuenet/ontop/photos> . ?T1 <http://valuenet/ontop/id> ?T1_id . ?T1 <http://valuenet/ontop/color> ?T1_color . ?T1 <http://valuenet/ontop/name> ?T1_name . }
What are the average prominence of the mountains in country 'Morocco'?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_prominence) as ?aggregation_T1_prominence_114 ) WHERE { ?T1 a :mountain . ?T1 :prominence ?T1_prominence . ?T1 :country ?T1_country . FILTER(?T1_country = 'Morocco') . }",SELECT (avg( ?T1_prominence) as ?aggregation_T1_prominence_114 ) WHERE { ?T1 a <http://valuenet/ontop/mountain> . ?T1 <http://valuenet/ontop/prominence> ?T1_prominence . ?T1 <http://valuenet/ontop/country> ?T1_country . FILTER(?T1_country = 'Morocco') . }
"What are the name, height and prominence of mountains which do not belong to the range 'Aberdare Range'?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_height ?T1_prominence WHERE { ?T1 a :mountain . ?T1 :name ?T1_name . ?T1 :height ?T1_height . ?T1 :prominence ?T1_prominence . ?T1 :range ?T1_range . FILTER(?T1_range != 'Aberdare Range') . }",SELECT ?T1_name ?T1_height ?T1_prominence WHERE { ?T1 a <http://valuenet/ontop/mountain> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/height> ?T1_height . ?T1 <http://valuenet/ontop/prominence> ?T1_prominence . ?T1 <http://valuenet/ontop/range> ?T1_range . FILTER(?T1_range != 'Aberdare Range') . }
What are the id and name of the photos for mountains?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_id ?T1_name WHERE { ?T1 a :mountain . ?T1 :id ?T1_id . ?T1 :name ?T1_name . ?T1 :height ?T1_height . FILTER(?T1_height > 4000) . }",SELECT ?T1_id ?T1_name WHERE { ?T1 a <http://valuenet/ontop/mountain> . ?T1 <http://valuenet/ontop/id> ?T1_id . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/height> ?T1_height . FILTER(?T1_height > 4000) . }
What are the id and name of the mountains that have at least 2 photos?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_id ?T1_name WHERE { ?T1 a :mountain . ?T2 a :photos . ?T2 :ref-mountain ?T1 . ?T1 :id ?T1_id . ?T1 :name ?T1_name . } GROUP BY ?T1_id ?T1_name HAVING(count( *) >= 2)",SELECT ?T1_id ?T1_name WHERE { ?T1 a <http://valuenet/ontop/mountain> . ?T2 a <http://valuenet/ontop/photos> . ?T2 <http://valuenet/ontop/ref-mountain> ?T1 . ?T1 <http://valuenet/ontop/id> ?T1_id . ?T1 <http://valuenet/ontop/name> ?T1_name . } GROUP BY ?T1_id ?T1_name HAVING(count( *) >= 2)
What are the names of the cameras that have taken picture of the most mountains?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name (count( *) as ?aggregation_all) WHERE { ?T1 a :camera_lens . ?T2 a :photos . ?T2 :ref-camera_lens ?T1 . ?T1 :name ?T1_name . } GROUP BY ?T1_name ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_name (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/camera_lens> . ?T2 a <http://valuenet/ontop/photos> . ?T2 <http://valuenet/ontop/ref-camera_lens> ?T1 . ?T1 <http://valuenet/ontop/name> ?T1_name . } GROUP BY ?T1_name ORDER BY DESC (?aggregation_all) LIMIT 1
What are the names of photos taken with the lens brand 'Sigma' or 'Olympus'?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :camera_lens . ?T1 :name ?T1_name . ?T1 :brand ?T1_brand . ?T1 :brand ?T1_brand . FILTER(?T1_brand = 'Sigma' || ?T1_brand = 'Olympus') . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/camera_lens> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/brand> ?T1_brand . ?T1 <http://valuenet/ontop/brand> ?T1_brand . FILTER(?T1_brand = 'Sigma' || ?T1_brand = 'Olympus') . }
How many different kinds of lens brands are there?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_brand) as ?aggregation_T1_brand_165 ) WHERE { ?T1 a :camera_lens . ?T1 :brand ?T1_brand . }",SELECT DISTINCT (count(DISTINCT ?T1_brand) as ?aggregation_T1_brand_165 ) WHERE { ?T1 a <http://valuenet/ontop/camera_lens> . ?T1 <http://valuenet/ontop/brand> ?T1_brand . }
How many camera lenses are not used in taking any photos?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :camera_lens . ?T1 :id ?T1_id . FILTER(?T1_id not in (?T22_camera_lens_id)) . {SELECT ?T22_camera_lens_id WHERE { ?T22 a :photos . ?T22 :camera_lens_id ?T22_camera_lens_id . } } }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/camera_lens> . ?T1 <http://valuenet/ontop/id> ?T1_id . FILTER(?T1_id not in (?T22_camera_lens_id)) . {SELECT ?T22_camera_lens_id WHERE { ?T22 a <http://valuenet/ontop/photos> . ?T22 <http://valuenet/ontop/camera_lens_id> ?T22_camera_lens_id . } } }
How many distinct kinds of camera lenses are used to take photos of mountains in the country 'Ethiopia'?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_camera_lens_id) as ?aggregation_T1_camera_lens_id_128 ) WHERE { ?T1 a :photos . ?T2 a :mountain . ?T1 :ref-mountain ?T2 . ?T1 :camera_lens_id ?T1_camera_lens_id . ?T2 :country ?T2_country . FILTER(?T2_country = 'Ethiopia') . }",SELECT DISTINCT (count(DISTINCT ?T1_camera_lens_id) as ?aggregation_T1_camera_lens_id_128 ) WHERE { ?T1 a <http://valuenet/ontop/photos> . ?T2 a <http://valuenet/ontop/mountain> . ?T1 <http://valuenet/ontop/ref-mountain> ?T2 . ?T1 <http://valuenet/ontop/camera_lens_id> ?T1_camera_lens_id . ?T2 <http://valuenet/ontop/country> ?T2_country . FILTER(?T2_country = 'Ethiopia') . }
