nl_question,sparql_partial_uri,sparql_complete_uri
How many candidates are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :candidate . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/candidate> . }
Count the number of candidates.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :candidate . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/candidate> . }
Which poll resource provided the most number of candidate information?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_poll_source (count( *) as ?aggregation_all) WHERE { ?T1 a :candidate . ?T1 :poll_source ?T1_poll_source . } GROUP BY ?T1_poll_source ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_poll_source (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/candidate> . ?T1 <http://valuenet/ontop/poll_source> ?T1_poll_source . } GROUP BY ?T1_poll_source ORDER BY DESC (?aggregation_all) LIMIT 1
Return the poll resource associated with the most candidates.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_poll_source (count( *) as ?aggregation_all) WHERE { ?T1 a :candidate . ?T1 :poll_source ?T1_poll_source . } GROUP BY ?T1_poll_source ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_poll_source (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/candidate> . ?T1 <http://valuenet/ontop/poll_source> ?T1_poll_source . } GROUP BY ?T1_poll_source ORDER BY DESC (?aggregation_all) LIMIT 1
what are the top 3 highest support rates?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_support_rate WHERE { ?T1 a :candidate . ?T1 :support_rate ?T1_support_rate . ?T1 :support_rate ?T1_support_rate . } ORDER BY DESC (?T1_support_rate) LIMIT 1",SELECT ?T1_support_rate WHERE { ?T1 a <http://valuenet/ontop/candidate> . ?T1 <http://valuenet/ontop/support_rate> ?T1_support_rate . ?T1 <http://valuenet/ontop/support_rate> ?T1_support_rate . } ORDER BY DESC (?T1_support_rate) LIMIT 1
Return the top 3 greatest support rates.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_support_rate WHERE { ?T1 a :candidate . ?T1 :support_rate ?T1_support_rate . ?T1 :support_rate ?T1_support_rate . } ORDER BY DESC (?T1_support_rate) LIMIT 1",SELECT ?T1_support_rate WHERE { ?T1 a <http://valuenet/ontop/candidate> . ?T1 <http://valuenet/ontop/support_rate> ?T1_support_rate . ?T1 <http://valuenet/ontop/support_rate> ?T1_support_rate . } ORDER BY DESC (?T1_support_rate) LIMIT 1
Find the id of the candidate who got the lowest oppose rate.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_candidate_id WHERE { ?T1 a :candidate . ?T1 :candidate_id ?T1_candidate_id . ?T1 :oppose_rate ?T1_oppose_rate . } ORDER BY ASC (?T1_oppose_rate) LIMIT 1",SELECT ?T1_candidate_id WHERE { ?T1 a <http://valuenet/ontop/candidate> . ?T1 <http://valuenet/ontop/candidate_id> ?T1_candidate_id . ?T1 <http://valuenet/ontop/oppose_rate> ?T1_oppose_rate . } ORDER BY ASC (?T1_oppose_rate) LIMIT 1
What is the id of the candidate with the lowest oppose rate?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_candidate_id WHERE { ?T1 a :candidate . ?T1 :candidate_id ?T1_candidate_id . ?T1 :oppose_rate ?T1_oppose_rate . } ORDER BY ASC (?T1_oppose_rate) LIMIT 1",SELECT ?T1_candidate_id WHERE { ?T1 a <http://valuenet/ontop/candidate> . ?T1 <http://valuenet/ontop/candidate_id> ?T1_candidate_id . ?T1 <http://valuenet/ontop/oppose_rate> ?T1_oppose_rate . } ORDER BY ASC (?T1_oppose_rate) LIMIT 1
"Please list support, consider, and oppose rates for each candidate in ascending order by unsure rate.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_support_rate ?T1_consider_rate ?T1_oppose_rate WHERE { ?T1 a :candidate . ?T1 :support_rate ?T1_support_rate . ?T1 :consider_rate ?T1_consider_rate . ?T1 :oppose_rate ?T1_oppose_rate . ?T1 :unsure_rate ?T1_unsure_rate . } ORDER BY ASC (?T1_unsure_rate)",SELECT ?T1_support_rate ?T1_consider_rate ?T1_oppose_rate WHERE { ?T1 a <http://valuenet/ontop/candidate> . ?T1 <http://valuenet/ontop/support_rate> ?T1_support_rate . ?T1 <http://valuenet/ontop/consider_rate> ?T1_consider_rate . ?T1 <http://valuenet/ontop/oppose_rate> ?T1_oppose_rate . ?T1 <http://valuenet/ontop/unsure_rate> ?T1_unsure_rate . } ORDER BY ASC (?T1_unsure_rate)
"What are the support, consider, and oppose rates of each candidate, ordered ascending by their unsure rate?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_support_rate ?T1_consider_rate ?T1_oppose_rate WHERE { ?T1 a :candidate . ?T1 :support_rate ?T1_support_rate . ?T1 :consider_rate ?T1_consider_rate . ?T1 :oppose_rate ?T1_oppose_rate . ?T1 :unsure_rate ?T1_unsure_rate . } ORDER BY ASC (?T1_unsure_rate)",SELECT ?T1_support_rate ?T1_consider_rate ?T1_oppose_rate WHERE { ?T1 a <http://valuenet/ontop/candidate> . ?T1 <http://valuenet/ontop/support_rate> ?T1_support_rate . ?T1 <http://valuenet/ontop/consider_rate> ?T1_consider_rate . ?T1 <http://valuenet/ontop/oppose_rate> ?T1_oppose_rate . ?T1 <http://valuenet/ontop/unsure_rate> ?T1_unsure_rate . } ORDER BY ASC (?T1_unsure_rate)
which poll source does the highest oppose rate come from?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_poll_source WHERE { ?T1 a :candidate . ?T1 :poll_source ?T1_poll_source . ?T1 :oppose_rate ?T1_oppose_rate . } ORDER BY DESC (?T1_oppose_rate) LIMIT 1",SELECT ?T1_poll_source WHERE { ?T1 a <http://valuenet/ontop/candidate> . ?T1 <http://valuenet/ontop/poll_source> ?T1_poll_source . ?T1 <http://valuenet/ontop/oppose_rate> ?T1_oppose_rate . } ORDER BY DESC (?T1_oppose_rate) LIMIT 1
Return the poll source corresponding to the candidate who has the oppose rate.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_poll_source WHERE { ?T1 a :candidate . ?T1 :poll_source ?T1_poll_source . ?T1 :oppose_rate ?T1_oppose_rate . } ORDER BY DESC (?T1_oppose_rate) LIMIT 1",SELECT ?T1_poll_source WHERE { ?T1 a <http://valuenet/ontop/candidate> . ?T1 <http://valuenet/ontop/poll_source> ?T1_poll_source . ?T1 <http://valuenet/ontop/oppose_rate> ?T1_oppose_rate . } ORDER BY DESC (?T1_oppose_rate) LIMIT 1
List all people names in the order of their date of birth from old to young.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :people . ?T1 :name ?T1_name . ?T1 :date_of_birth ?T1_date_of_birth . } ORDER BY ASC (?T1_date_of_birth)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/people> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/date_of_birth> ?T1_date_of_birth . } ORDER BY ASC (?T1_date_of_birth)
"What are the names of all people, ordered by their date of birth?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :people . ?T1 :name ?T1_name . ?T1 :date_of_birth ?T1_date_of_birth . } ORDER BY ASC (?T1_date_of_birth)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/people> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/date_of_birth> ?T1_date_of_birth . } ORDER BY ASC (?T1_date_of_birth)
