nl_question,sparql_partial_uri,sparql_complete_uri
Find the total number of scientists.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :scientists . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/scientists> . }
How many scientists are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :scientists . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/scientists> . }
Find the total hours of all projects.,"PREFIX : <http://valuenet/ontop/>
SELECT (sum( ?T1_hours) as ?aggregation_T1_hours_174 ) WHERE { ?T1 a :projects . ?T1 :hours ?T1_hours . }",SELECT (sum( ?T1_hours) as ?aggregation_T1_hours_174 ) WHERE { ?T1 a <http://valuenet/ontop/projects> . ?T1 <http://valuenet/ontop/hours> ?T1_hours . }
What is the total number of hours for all projects?,"PREFIX : <http://valuenet/ontop/>
SELECT (sum( ?T1_hours) as ?aggregation_T1_hours_53 ) WHERE { ?T1 a :projects . ?T1 :hours ?T1_hours . }",SELECT (sum( ?T1_hours) as ?aggregation_T1_hours_53 ) WHERE { ?T1 a <http://valuenet/ontop/projects> . ?T1 <http://valuenet/ontop/hours> ?T1_hours . }
How many different scientists are assigned to any project?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_scientist) as ?aggregation_T1_scientist_52 ) WHERE { ?T1 a :assignedto . ?T1 :scientist ?T1_scientist . }",SELECT DISTINCT (count(DISTINCT ?T1_scientist) as ?aggregation_T1_scientist_52 ) WHERE { ?T1 a <http://valuenet/ontop/assignedto> . ?T1 <http://valuenet/ontop/scientist> ?T1_scientist . }
Count the number of different scientists assigned to any project.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_scientist) as ?aggregation_T1_scientist_155 ) WHERE { ?T1 a :assignedto . ?T1 :scientist ?T1_scientist . }",SELECT DISTINCT (count(DISTINCT ?T1_scientist) as ?aggregation_T1_scientist_155 ) WHERE { ?T1 a <http://valuenet/ontop/assignedto> . ?T1 <http://valuenet/ontop/scientist> ?T1_scientist . }
Find the number of distinct projects.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_name) as ?aggregation_T1_name_136 ) WHERE { ?T1 a :projects . ?T1 :name ?T1_name . }",SELECT DISTINCT (count(DISTINCT ?T1_name) as ?aggregation_T1_name_136 ) WHERE { ?T1 a <http://valuenet/ontop/projects> . ?T1 <http://valuenet/ontop/name> ?T1_name . }
How many different projects are there?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_name) as ?aggregation_T1_name_18 ) WHERE { ?T1 a :projects . ?T1 :name ?T1_name . }",SELECT DISTINCT (count(DISTINCT ?T1_name) as ?aggregation_T1_name_18 ) WHERE { ?T1 a <http://valuenet/ontop/projects> . ?T1 <http://valuenet/ontop/name> ?T1_name . }
Find the average hours of all projects.,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_hours) as ?aggregation_T1_hours_100 ) WHERE { ?T1 a :projects . ?T1 :hours ?T1_hours . }",SELECT (avg( ?T1_hours) as ?aggregation_T1_hours_100 ) WHERE { ?T1 a <http://valuenet/ontop/projects> . ?T1 <http://valuenet/ontop/hours> ?T1_hours . }
What is the average hours across all projects?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_hours) as ?aggregation_T1_hours_110 ) WHERE { ?T1 a :projects . ?T1 :hours ?T1_hours . }",SELECT (avg( ?T1_hours) as ?aggregation_T1_hours_110 ) WHERE { ?T1 a <http://valuenet/ontop/projects> . ?T1 <http://valuenet/ontop/hours> ?T1_hours . }
