nl_question,sparql_partial_uri,sparql_complete_uri
How many products are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :products . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/products> . }
Count the number of products.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :products . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/products> . }
How many colors are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :ref_colors . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/ref_colors> . }
Count the number of colors.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :ref_colors . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/ref_colors> . }
How many characteristics are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :characteristics . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/characteristics> . }
Count the number of characteristics.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :characteristics . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/characteristics> . }
What are the names and buying prices of all the products?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_product_name ?T1_typical_buying_price WHERE { ?T1 a :products . ?T1 :product_name ?T1_product_name . ?T1 :typical_buying_price ?T1_typical_buying_price . }",SELECT ?T1_product_name ?T1_typical_buying_price WHERE { ?T1 a <http://valuenet/ontop/products> . ?T1 <http://valuenet/ontop/product_name> ?T1_product_name . ?T1 <http://valuenet/ontop/typical_buying_price> ?T1_typical_buying_price . }
Return the names and typical buying prices for all products.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_product_name ?T1_typical_buying_price WHERE { ?T1 a :products . ?T1 :product_name ?T1_product_name . ?T1 :typical_buying_price ?T1_typical_buying_price . }",SELECT ?T1_product_name ?T1_typical_buying_price WHERE { ?T1 a <http://valuenet/ontop/products> . ?T1 <http://valuenet/ontop/product_name> ?T1_product_name . ?T1 <http://valuenet/ontop/typical_buying_price> ?T1_typical_buying_price . }
List the description of all the colors.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_color_description WHERE { ?T1 a :ref_colors . ?T1 :color_description ?T1_color_description . }",SELECT ?T1_color_description WHERE { ?T1 a <http://valuenet/ontop/ref_colors> . ?T1 <http://valuenet/ontop/color_description> ?T1_color_description . }
What are the descriptions for each color?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_color_description WHERE { ?T1 a :ref_colors . ?T1 :color_description ?T1_color_description . }",SELECT ?T1_color_description WHERE { ?T1 a <http://valuenet/ontop/ref_colors> . ?T1 <http://valuenet/ontop/color_description> ?T1_color_description . }
Find the names of all the product characteristics.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_characteristic_name WHERE { ?T1 a :characteristics . ?T1 :characteristic_name ?T1_characteristic_name . }",SELECT DISTINCT ?T1_characteristic_name WHERE { ?T1 a <http://valuenet/ontop/characteristics> . ?T1 <http://valuenet/ontop/characteristic_name> ?T1_characteristic_name . }
