nl_question,sparql_partial_uri,sparql_complete_uri
Which department has the largest number of employees?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name (count( *) as ?aggregation_all) WHERE { ?T1 a :department . ?T1 :name ?T1_name . ?T1 :departmentid ?T1_departmentid . } GROUP BY ?T1_name ORDER BY DESC (count( ?T1_departmentid)) LIMIT 1",SELECT ?T1_name (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/department> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/departmentid> ?T1_departmentid . } GROUP BY ?T1_name ORDER BY DESC (count( ?T1_departmentid)) LIMIT 1
Find the department with the most employees.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name (count( *) as ?aggregation_all) WHERE { ?T1 a :department . ?T1 :name ?T1_name . ?T1 :departmentid ?T1_departmentid . } GROUP BY ?T1_name ORDER BY DESC (count( ?T1_departmentid)) LIMIT 1",SELECT ?T1_name (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/department> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/departmentid> ?T1_departmentid . } GROUP BY ?T1_name ORDER BY DESC (count( ?T1_departmentid)) LIMIT 1
What is the employee id of the head whose department has the least number of employees?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_head (count( *) as ?aggregation_all) WHERE { ?T1 a :department . ?T1 :head ?T1_head . ?T1 :departmentid ?T1_departmentid . } GROUP BY ?T1_head ORDER BY ASC (count( ?T1_departmentid)) LIMIT 1",SELECT ?T1_head (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/department> . ?T1 <http://valuenet/ontop/head> ?T1_head . ?T1 <http://valuenet/ontop/departmentid> ?T1_departmentid . } GROUP BY ?T1_head ORDER BY ASC (count( ?T1_departmentid)) LIMIT 1
Tell me the employee id of the head of the department with the least employees.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_head (count( *) as ?aggregation_all) WHERE { ?T1 a :department . ?T1 :head ?T1_head . ?T1 :departmentid ?T1_departmentid . } GROUP BY ?T1_head ORDER BY ASC (count( ?T1_departmentid)) LIMIT 1",SELECT ?T1_head (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/department> . ?T1 <http://valuenet/ontop/head> ?T1_head . ?T1 <http://valuenet/ontop/departmentid> ?T1_departmentid . } GROUP BY ?T1_head ORDER BY ASC (count( ?T1_departmentid)) LIMIT 1
what is the name and position of the head whose department has least number of employees?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name (count( *) as ?aggregation_all) ?T1_position WHERE { ?T1 a :physician . ?T2 a :department . ?T2 :ref-head ?T1 . ?T1 :name ?T1_name . ?T1 :position ?T1_position . ?T2 :departmentid ?T2_departmentid . } GROUP BY ?T1_name ?T1_position ORDER BY ASC (count( ?T2_departmentid)) LIMIT 1",SELECT ?T1_name (count( *) as ?aggregation_all) ?T1_position WHERE { ?T1 a <http://valuenet/ontop/physician> . ?T2 a <http://valuenet/ontop/department> . ?T2 <http://valuenet/ontop/ref-head> ?T1 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/position> ?T1_position . ?T2 <http://valuenet/ontop/departmentid> ?T2_departmentid . } GROUP BY ?T1_name ?T1_position ORDER BY ASC (count( ?T2_departmentid)) LIMIT 1
Find the name and position of the head of the department with the least employees.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name (count( *) as ?aggregation_all) ?T1_position WHERE { ?T1 a :physician . ?T2 a :department . ?T2 :ref-head ?T1 . ?T1 :name ?T1_name . ?T1 :position ?T1_position . ?T2 :departmentid ?T2_departmentid . } GROUP BY ?T1_name ?T1_position ORDER BY ASC (count( ?T2_departmentid)) LIMIT 1",SELECT ?T1_name (count( *) as ?aggregation_all) ?T1_position WHERE { ?T1 a <http://valuenet/ontop/physician> . ?T2 a <http://valuenet/ontop/department> . ?T2 <http://valuenet/ontop/ref-head> ?T1 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/position> ?T1_position . ?T2 <http://valuenet/ontop/departmentid> ?T2_departmentid . } GROUP BY ?T1_name ?T1_position ORDER BY ASC (count( ?T2_departmentid)) LIMIT 1
What are names of patients who made an appointment?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :patient . ?T1 :name ?T1_name . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/patient> . ?T1 <http://valuenet/ontop/name> ?T1_name . }
List the names of patients who have made appointments.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :patient . ?T1 :name ?T1_name . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/patient> . ?T1 <http://valuenet/ontop/name> ?T1_name . }
what are name and phone number of patients who had more than one appointment?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_phone WHERE { ?T1 a :patient . ?T2 a :appointment . ?T2 :ref-patient ?T1 . ?T1 :name ?T1_name . ?T1 :phone ?T1_phone . } GROUP BY ?T1_name ?T1_phone HAVING(count( *) > 1)",SELECT ?T1_name ?T1_phone WHERE { ?T1 a <http://valuenet/ontop/patient> . ?T2 a <http://valuenet/ontop/appointment> . ?T2 <http://valuenet/ontop/ref-patient> ?T1 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/phone> ?T1_phone . } GROUP BY ?T1_name ?T1_phone HAVING(count( *) > 1)
Which patients made more than one appointment? Tell me the name and phone number of these patients.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_phone WHERE { ?T1 a :patient . ?T2 a :appointment . ?T2 :ref-patient ?T1 . ?T1 :name ?T1_name . ?T1 :phone ?T1_phone . } GROUP BY ?T1_name ?T1_phone HAVING(count( *) > 1)",SELECT ?T1_name ?T1_phone WHERE { ?T1 a <http://valuenet/ontop/patient> . ?T2 a <http://valuenet/ontop/appointment> . ?T2 <http://valuenet/ontop/ref-patient> ?T1 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/phone> ?T1_phone . } GROUP BY ?T1_name ?T1_phone HAVING(count( *) > 1)
Find the id of the appointment with the most recent start date?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_appointmentid WHERE { ?T1 a :appointment . ?T1 :appointmentid ?T1_appointmentid . ?T1 :start ?T1_start . } ORDER BY DESC (?T1_start) LIMIT 1",SELECT ?T1_appointmentid WHERE { ?T1 a <http://valuenet/ontop/appointment> . ?T1 <http://valuenet/ontop/appointmentid> ?T1_appointmentid . ?T1 <http://valuenet/ontop/start> ?T1_start . } ORDER BY DESC (?T1_start) LIMIT 1
What is the id of the appointment that started most recently?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_appointmentid WHERE { ?T1 a :appointment . ?T1 :appointmentid ?T1_appointmentid . ?T1 :start ?T1_start . } ORDER BY DESC (?T1_start) LIMIT 1",SELECT ?T1_appointmentid WHERE { ?T1 a <http://valuenet/ontop/appointment> . ?T1 <http://valuenet/ontop/appointmentid> ?T1_appointmentid . ?T1 <http://valuenet/ontop/start> ?T1_start . } ORDER BY DESC (?T1_start) LIMIT 1
List the name of physicians who took some appointment.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :physician . ?T1 :name ?T1_name . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/physician> . ?T1 <http://valuenet/ontop/name> ?T1_name . }
What are the names of all the physicians who took appointments.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :physician . ?T1 :name ?T1_name . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/physician> . ?T1 <http://valuenet/ontop/name> ?T1_name . }
List the name of physicians who never took any appointment.,"PREFIX : <http://valuenet/ontop/>
SELECT distinct?col1 WHERE { { SELECT (?T1_name as ?col1) WHERE { ?T1 a :physician . ?T1 :name ?T1_name . }} MINUS {SELECT (?T2_name as ?col1) WHERE { ?T2 a :physician . ?T2 :name ?T2_name . } } }",SELECT distinct?col1 WHERE { { SELECT (?T1_name as ?col1) WHERE { ?T1 a <http://valuenet/ontop/physician> . ?T1 <http://valuenet/ontop/name> ?T1_name . }} MINUS {SELECT (?T2_name as ?col1) WHERE { ?T2 a <http://valuenet/ontop/physician> . ?T2 <http://valuenet/ontop/name> ?T2_name . } } }
Which physicians have never taken any appointment? Find their names.,"PREFIX : <http://valuenet/ontop/>
SELECT distinct?col1 WHERE { { SELECT (?T1_name as ?col1) WHERE { ?T1 a :physician . ?T1 :name ?T1_name . }} MINUS {SELECT (?T2_name as ?col1) WHERE { ?T2 a :physician . ?T2 :name ?T2_name . } } }",SELECT distinct?col1 WHERE { { SELECT (?T1_name as ?col1) WHERE { ?T1 a <http://valuenet/ontop/physician> . ?T1 <http://valuenet/ontop/name> ?T1_name . }} MINUS {SELECT (?T2_name as ?col1) WHERE { ?T2 a <http://valuenet/ontop/physician> . ?T2 <http://valuenet/ontop/name> ?T2_name . } } }
What is the name of the patient who made the most recent appointment?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :patient . ?T2 a :appointment . ?T2 :ref-patient ?T1 . ?T1 :name ?T1_name . ?T2 :start ?T2_start . } ORDER BY DESC (?T2_start) LIMIT 1",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/patient> . ?T2 a <http://valuenet/ontop/appointment> . ?T2 <http://valuenet/ontop/ref-patient> ?T1 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T2 <http://valuenet/ontop/start> ?T2_start . } ORDER BY DESC (?T2_start) LIMIT 1
Find the name of the patient who made the appointment with the most recent start date.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :patient . ?T2 a :appointment . ?T2 :ref-patient ?T1 . ?T1 :name ?T1_name . ?T2 :start ?T2_start . } ORDER BY DESC (?T2_start) LIMIT 1",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/patient> . ?T2 a <http://valuenet/ontop/appointment> . ?T2 <http://valuenet/ontop/ref-patient> ?T1 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T2 <http://valuenet/ontop/start> ?T2_start . } ORDER BY DESC (?T2_start) LIMIT 1
How many patients stay in room 112?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( ?T1_patient) as ?aggregation_T1_patient_32 ) WHERE { ?T1 a :stay . ?T1 :patient ?T1_patient . ?T1 :room ?T1_room . FILTER(?T1_room = 112) . }",SELECT (count( ?T1_patient) as ?aggregation_T1_patient_32 ) WHERE { ?T1 a <http://valuenet/ontop/stay> . ?T1 <http://valuenet/ontop/patient> ?T1_patient . ?T1 <http://valuenet/ontop/room> ?T1_room . FILTER(?T1_room = 112) . }
Count the number of patients who stayed in room 112.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( ?T1_patient) as ?aggregation_T1_patient_114 ) WHERE { ?T1 a :stay . ?T1 :patient ?T1_patient . ?T1 :room ?T1_room . FILTER(?T1_room = 112) . }",SELECT (count( ?T1_patient) as ?aggregation_T1_patient_114 ) WHERE { ?T1 a <http://valuenet/ontop/stay> . ?T1 <http://valuenet/ontop/patient> ?T1_patient . ?T1 <http://valuenet/ontop/room> ?T1_room . FILTER(?T1_room = 112) . }
How many patients' prescriptions are made by physician John Dorian?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( ?T1_ssn) as ?aggregation_T1_ssn_162 ) WHERE { ?T1 a :patient . ?T2 a :physician . ?T1 :ref-pcp ?T2 . ?T1 :ssn ?T1_ssn . ?T2 :name ?T2_name . FILTER(?T2_name = 'John Dorian') . }",SELECT (count( ?T1_ssn) as ?aggregation_T1_ssn_162 ) WHERE { ?T1 a <http://valuenet/ontop/patient> . ?T2 a <http://valuenet/ontop/physician> . ?T1 <http://valuenet/ontop/ref-pcp> ?T2 . ?T1 <http://valuenet/ontop/ssn> ?T1_ssn . ?T2 <http://valuenet/ontop/name> ?T2_name . FILTER(?T2_name = 'John Dorian') . }
Find the number of patients' prescriptions physician John Dorian made.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( ?T1_ssn) as ?aggregation_T1_ssn_199 ) WHERE { ?T1 a :patient . ?T2 a :physician . ?T1 :ref-pcp ?T2 . ?T1 :ssn ?T1_ssn . ?T2 :name ?T2_name . FILTER(?T2_name = 'John Dorian') . }",SELECT (count( ?T1_ssn) as ?aggregation_T1_ssn_199 ) WHERE { ?T1 a <http://valuenet/ontop/patient> . ?T2 a <http://valuenet/ontop/physician> . ?T1 <http://valuenet/ontop/ref-pcp> ?T2 . ?T1 <http://valuenet/ontop/ssn> ?T1_ssn . ?T2 <http://valuenet/ontop/name> ?T2_name . FILTER(?T2_name = 'John Dorian') . }
Find the name of medication used on the patient who stays in room 111?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :medication . ?T13 a :prescribes . ?T13 :ref-medication ?T1 . ?T1 :name ?T1_name . ?T2 :room ?T2_room . ?T14 a :patient . ?T13 :ref-patient ?T14 . ?T1 :name ?T1_name . ?T2 :room ?T2_room . ?T2 a :stay . ?T2 :ref-patient ?T14 . ?T1 :name ?T1_name . ?T2 :room ?T2_room . FILTER(?T2_room = 111) . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/medication> . ?T13 a <http://valuenet/ontop/prescribes> . ?T13 <http://valuenet/ontop/ref-medication> ?T1 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T2 <http://valuenet/ontop/room> ?T2_room . ?T14 a <http://valuenet/ontop/patient> . ?T13 <http://valuenet/ontop/ref-patient> ?T14 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T2 <http://valuenet/ontop/room> ?T2_room . ?T2 a <http://valuenet/ontop/stay> . ?T2 <http://valuenet/ontop/ref-patient> ?T14 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T2 <http://valuenet/ontop/room> ?T2_room . FILTER(?T2_room = 111) . }
What is the name of the medication used for the patient staying in room 111?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :medication . ?T13 a :prescribes . ?T13 :ref-medication ?T1 . ?T1 :name ?T1_name . ?T2 :room ?T2_room . ?T14 a :patient . ?T13 :ref-patient ?T14 . ?T1 :name ?T1_name . ?T2 :room ?T2_room . ?T2 a :stay . ?T2 :ref-patient ?T14 . ?T1 :name ?T1_name . ?T2 :room ?T2_room . FILTER(?T2_room = 111) . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/medication> . ?T13 a <http://valuenet/ontop/prescribes> . ?T13 <http://valuenet/ontop/ref-medication> ?T1 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T2 <http://valuenet/ontop/room> ?T2_room . ?T14 a <http://valuenet/ontop/patient> . ?T13 <http://valuenet/ontop/ref-patient> ?T14 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T2 <http://valuenet/ontop/room> ?T2_room . ?T2 a <http://valuenet/ontop/stay> . ?T2 <http://valuenet/ontop/ref-patient> ?T14 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T2 <http://valuenet/ontop/room> ?T2_room . FILTER(?T2_room = 111) . }
