nl_question,sparql_partial_uri,sparql_complete_uri
What are the ids of the top three products that were purchased in the largest amount?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_product_id WHERE { ?T1 a :product_suppliers . ?T1 :product_id ?T1_product_id . ?T1 :total_amount_purchased ?T1_total_amount_purchased . } ORDER BY DESC (?T1_total_amount_purchased) LIMIT 1",SELECT ?T1_product_id WHERE { ?T1 a <http://valuenet/ontop/product_suppliers> . ?T1 <http://valuenet/ontop/product_id> ?T1_product_id . ?T1 <http://valuenet/ontop/total_amount_purchased> ?T1_total_amount_purchased . } ORDER BY DESC (?T1_total_amount_purchased) LIMIT 1
Give the ids of the three products purchased in the largest amounts.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_product_id WHERE { ?T1 a :product_suppliers . ?T1 :product_id ?T1_product_id . ?T1 :total_amount_purchased ?T1_total_amount_purchased . } ORDER BY DESC (?T1_total_amount_purchased) LIMIT 1",SELECT ?T1_product_id WHERE { ?T1 a <http://valuenet/ontop/product_suppliers> . ?T1 <http://valuenet/ontop/product_id> ?T1_product_id . ?T1 <http://valuenet/ontop/total_amount_purchased> ?T1_total_amount_purchased . } ORDER BY DESC (?T1_total_amount_purchased) LIMIT 1
What are the product id and product type of the cheapest product?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_product_id ?T1_product_type_code WHERE { ?T1 a :products . ?T1 :product_id ?T1_product_id . ?T1 :product_type_code ?T1_product_type_code . ?T1 :product_price ?T1_product_price . } ORDER BY ASC (?T1_product_price) LIMIT 1",SELECT ?T1_product_id ?T1_product_type_code WHERE { ?T1 a <http://valuenet/ontop/products> . ?T1 <http://valuenet/ontop/product_id> ?T1_product_id . ?T1 <http://valuenet/ontop/product_type_code> ?T1_product_type_code . ?T1 <http://valuenet/ontop/product_price> ?T1_product_price . } ORDER BY ASC (?T1_product_price) LIMIT 1
Give the id and product type of the product with the lowest price.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_product_id ?T1_product_type_code WHERE { ?T1 a :products . ?T1 :product_id ?T1_product_id . ?T1 :product_type_code ?T1_product_type_code . ?T1 :product_price ?T1_product_price . } ORDER BY ASC (?T1_product_price) LIMIT 1",SELECT ?T1_product_id ?T1_product_type_code WHERE { ?T1 a <http://valuenet/ontop/products> . ?T1 <http://valuenet/ontop/product_id> ?T1_product_id . ?T1 <http://valuenet/ontop/product_type_code> ?T1_product_type_code . ?T1 <http://valuenet/ontop/product_price> ?T1_product_price . } ORDER BY ASC (?T1_product_price) LIMIT 1
Find the number of different product types.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_product_type_code) as ?aggregation_T1_product_type_code_138 ) WHERE { ?T1 a :products . ?T1 :product_type_code ?T1_product_type_code . }",SELECT DISTINCT (count(DISTINCT ?T1_product_type_code) as ?aggregation_T1_product_type_code_138 ) WHERE { ?T1 a <http://valuenet/ontop/products> . ?T1 <http://valuenet/ontop/product_type_code> ?T1_product_type_code . }
Count the number of distinct product types.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_product_type_code) as ?aggregation_T1_product_type_code_149 ) WHERE { ?T1 a :products . ?T1 :product_type_code ?T1_product_type_code . }",SELECT DISTINCT (count(DISTINCT ?T1_product_type_code) as ?aggregation_T1_product_type_code_149 ) WHERE { ?T1 a <http://valuenet/ontop/products> . ?T1 <http://valuenet/ontop/product_type_code> ?T1_product_type_code . }
Return the address of customer 10.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_address_details WHERE { ?T1 a :addresses . ?T2 a :customer_addresses . ?T2 :ref-address ?T1 . ?T1 :address_details ?T1_address_details . ?T2 :customer_id ?T2_customer_id . FILTER(?T2_customer_id = 10) . }",SELECT ?T1_address_details WHERE { ?T1 a <http://valuenet/ontop/addresses> . ?T2 a <http://valuenet/ontop/customer_addresses> . ?T2 <http://valuenet/ontop/ref-address> ?T1 . ?T1 <http://valuenet/ontop/address_details> ?T1_address_details . ?T2 <http://valuenet/ontop/customer_id> ?T2_customer_id . FILTER(?T2_customer_id = 10) . }
What is the address for the customer with id 10?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_address_details WHERE { ?T1 a :addresses . ?T2 a :customer_addresses . ?T2 :ref-address ?T1 . ?T1 :address_details ?T1_address_details . ?T2 :customer_id ?T2_customer_id . FILTER(?T2_customer_id = 10) . }",SELECT ?T1_address_details WHERE { ?T1 a <http://valuenet/ontop/addresses> . ?T2 a <http://valuenet/ontop/customer_addresses> . ?T2 <http://valuenet/ontop/ref-address> ?T1 . ?T1 <http://valuenet/ontop/address_details> ?T1_address_details . ?T2 <http://valuenet/ontop/customer_id> ?T2_customer_id . FILTER(?T2_customer_id = 10) . }
What are the staff ids and genders of all staffs whose job title is Department Manager?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_staff_id ?T1_staff_gender WHERE { ?T1 a :staff . ?T2 a :staff_department_assignments . ?T2 :ref-staff ?T1 . ?T1 :staff_id ?T1_staff_id . ?T1 :staff_gender ?T1_staff_gender . ?T2 :job_title_code ?T2_job_title_code . FILTER(?T2_job_title_code = 'Department Manager') . }",SELECT ?T1_staff_id ?T1_staff_gender WHERE { ?T1 a <http://valuenet/ontop/staff> . ?T2 a <http://valuenet/ontop/staff_department_assignments> . ?T2 <http://valuenet/ontop/ref-staff> ?T1 . ?T1 <http://valuenet/ontop/staff_id> ?T1_staff_id . ?T1 <http://valuenet/ontop/staff_gender> ?T1_staff_gender . ?T2 <http://valuenet/ontop/job_title_code> ?T2_job_title_code . FILTER(?T2_job_title_code = 'Department Manager') . }
Return the staff ids and genders for any staff with the title Department Manager.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_staff_id ?T1_staff_gender WHERE { ?T1 a :staff . ?T2 a :staff_department_assignments . ?T2 :ref-staff ?T1 . ?T1 :staff_id ?T1_staff_id . ?T1 :staff_gender ?T1_staff_gender . ?T2 :job_title_code ?T2_job_title_code . FILTER(?T2_job_title_code = 'Department Manager') . }",SELECT ?T1_staff_id ?T1_staff_gender WHERE { ?T1 a <http://valuenet/ontop/staff> . ?T2 a <http://valuenet/ontop/staff_department_assignments> . ?T2 <http://valuenet/ontop/ref-staff> ?T1 . ?T1 <http://valuenet/ontop/staff_id> ?T1_staff_id . ?T1 <http://valuenet/ontop/staff_gender> ?T1_staff_gender . ?T2 <http://valuenet/ontop/job_title_code> ?T2_job_title_code . FILTER(?T2_job_title_code = 'Department Manager') . }
"For each payment method, return how many customers use it.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_payment_method_code (count( *) as ?aggregation_all) WHERE { ?T1 a :customers . ?T1 :payment_method_code ?T1_payment_method_code . } GROUP BY ?T1_payment_method_code",SELECT ?T1_payment_method_code (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/customers> . ?T1 <http://valuenet/ontop/payment_method_code> ?T1_payment_method_code . } GROUP BY ?T1_payment_method_code
How many customers use each payment method?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_payment_method_code (count( *) as ?aggregation_all) WHERE { ?T1 a :customers . ?T1 :payment_method_code ?T1_payment_method_code . } GROUP BY ?T1_payment_method_code",SELECT ?T1_payment_method_code (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/customers> . ?T1 <http://valuenet/ontop/payment_method_code> ?T1_payment_method_code . } GROUP BY ?T1_payment_method_code
What is the id of the product that was ordered the most often?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_product_id (count( *) as ?aggregation_all) WHERE { ?T1 a :order_items . ?T1 :product_id ?T1_product_id . } GROUP BY ?T1_product_id ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_product_id (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/order_items> . ?T1 <http://valuenet/ontop/product_id> ?T1_product_id . } GROUP BY ?T1_product_id ORDER BY DESC (?aggregation_all) LIMIT 1
Give the product id for the product that was ordered most frequently.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_product_id (count( *) as ?aggregation_all) WHERE { ?T1 a :order_items . ?T1 :product_id ?T1_product_id . } GROUP BY ?T1_product_id ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_product_id (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/order_items> . ?T1 <http://valuenet/ontop/product_id> ?T1_product_id . } GROUP BY ?T1_product_id ORDER BY DESC (?aggregation_all) LIMIT 1
"What are the name, phone number and email address of the customer who made the largest number of orders?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_customer_name (count( *) as ?aggregation_all) ?T1_customer_phone ?T1_customer_email WHERE { ?T1 a :customers . ?T2 a :customer_orders . ?T2 :ref-customer ?T1 . ?T1 :customer_name ?T1_customer_name . ?T1 :customer_phone ?T1_customer_phone . ?T1 :customer_email ?T1_customer_email . } GROUP BY ?T1_customer_name ?T1_customer_phone ?T1_customer_email ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_customer_name (count( *) as ?aggregation_all) ?T1_customer_phone ?T1_customer_email WHERE { ?T1 a <http://valuenet/ontop/customers> . ?T2 a <http://valuenet/ontop/customer_orders> . ?T2 <http://valuenet/ontop/ref-customer> ?T1 . ?T1 <http://valuenet/ontop/customer_name> ?T1_customer_name . ?T1 <http://valuenet/ontop/customer_phone> ?T1_customer_phone . ?T1 <http://valuenet/ontop/customer_email> ?T1_customer_email . } GROUP BY ?T1_customer_name ?T1_customer_phone ?T1_customer_email ORDER BY DESC (?aggregation_all) LIMIT 1
