nl_question,sparql_partial_uri,sparql_complete_uri
Find the names of channels that are not owned by CCTV.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :channel . ?T1 :name ?T1_name . ?T1 :owner ?T1_owner . FILTER(?T1_owner != 'CCTV') . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/channel> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/owner> ?T1_owner . FILTER(?T1_owner != 'CCTV') . }
Which channels are not owned by CCTV? Give me the channel names.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :channel . ?T1 :name ?T1_name . ?T1 :owner ?T1_owner . FILTER(?T1_owner != 'CCTV') . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/channel> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/owner> ?T1_owner . FILTER(?T1_owner != 'CCTV') . }
List all channel names ordered by their rating in percent from big to small.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :channel . ?T1 :name ?T1_name . ?T1 :rating_in_percent ?T1_rating_in_percent . } ORDER BY DESC (?T1_rating_in_percent)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/channel> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/rating_in_percent> ?T1_rating_in_percent . } ORDER BY DESC (?T1_rating_in_percent)
Give me a list of all the channel names sorted by the channel rating in descending order.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :channel . ?T1 :name ?T1_name . ?T1 :rating_in_percent ?T1_rating_in_percent . } ORDER BY DESC (?T1_rating_in_percent)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/channel> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/rating_in_percent> ?T1_rating_in_percent . } ORDER BY DESC (?T1_rating_in_percent)
What is the owner of the channel that has the highest rating ratio?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_owner WHERE { ?T1 a :channel . ?T1 :owner ?T1_owner . ?T1 :rating_in_percent ?T1_rating_in_percent . } ORDER BY DESC (?T1_rating_in_percent) LIMIT 1",SELECT ?T1_owner WHERE { ?T1 a <http://valuenet/ontop/channel> . ?T1 <http://valuenet/ontop/owner> ?T1_owner . ?T1 <http://valuenet/ontop/rating_in_percent> ?T1_rating_in_percent . } ORDER BY DESC (?T1_rating_in_percent) LIMIT 1
Show me the owner of the channel with the highest rating.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_owner WHERE { ?T1 a :channel . ?T1 :owner ?T1_owner . ?T1 :rating_in_percent ?T1_rating_in_percent . } ORDER BY DESC (?T1_rating_in_percent) LIMIT 1",SELECT ?T1_owner WHERE { ?T1 a <http://valuenet/ontop/channel> . ?T1 <http://valuenet/ontop/owner> ?T1_owner . ?T1 <http://valuenet/ontop/rating_in_percent> ?T1_rating_in_percent . } ORDER BY DESC (?T1_rating_in_percent) LIMIT 1
how many programs are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :program . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/program> . }
Count the number of programs.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :program . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/program> . }
"list all the names of programs, ordering by launch time.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :program . ?T1 :name ?T1_name . ?T1 :launch ?T1_launch . } ORDER BY ASC (?T1_launch)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/program> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/launch> ?T1_launch . } ORDER BY ASC (?T1_launch)
"What is the list of program names, sorted by the order of launch date?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :program . ?T1 :name ?T1_name . ?T1 :launch ?T1_launch . } ORDER BY ASC (?T1_launch)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/program> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/launch> ?T1_launch . } ORDER BY ASC (?T1_launch)
