nl_question,sparql_partial_uri,sparql_complete_uri
Find the name of dorms only for female (F gender).,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_dorm_name WHERE { ?T1 a :dorm . ?T1 :dorm_name ?T1_dorm_name . ?T1 :gender ?T1_gender . FILTER(?T1_gender = 'F') . }",SELECT ?T1_dorm_name WHERE { ?T1 a <http://valuenet/ontop/dorm> . ?T1 <http://valuenet/ontop/dorm_name> ?T1_dorm_name . ?T1 <http://valuenet/ontop/gender> ?T1_gender . FILTER(?T1_gender = 'F') . }
What are the names of the all-female dorms?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_dorm_name WHERE { ?T1 a :dorm . ?T1 :dorm_name ?T1_dorm_name . ?T1 :gender ?T1_gender . FILTER(?T1_gender = 'F') . }",SELECT ?T1_dorm_name WHERE { ?T1 a <http://valuenet/ontop/dorm> . ?T1 <http://valuenet/ontop/dorm_name> ?T1_dorm_name . ?T1 <http://valuenet/ontop/gender> ?T1_gender . FILTER(?T1_gender = 'F') . }
Find the name of dorms that can accommodate more than 300 students.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_dorm_name WHERE { ?T1 a :dorm . ?T1 :dorm_name ?T1_dorm_name . ?T1 :student_capacity ?T1_student_capacity . FILTER(?T1_student_capacity > 300) . }",SELECT ?T1_dorm_name WHERE { ?T1 a <http://valuenet/ontop/dorm> . ?T1 <http://valuenet/ontop/dorm_name> ?T1_dorm_name . ?T1 <http://valuenet/ontop/student_capacity> ?T1_student_capacity . FILTER(?T1_student_capacity > 300) . }
What are the names of all the dorms that can accomdate more than 300 students?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_dorm_name WHERE { ?T1 a :dorm . ?T1 :dorm_name ?T1_dorm_name . ?T1 :student_capacity ?T1_student_capacity . FILTER(?T1_student_capacity > 300) . }",SELECT ?T1_dorm_name WHERE { ?T1 a <http://valuenet/ontop/dorm> . ?T1 <http://valuenet/ontop/dorm_name> ?T1_dorm_name . ?T1 <http://valuenet/ontop/student_capacity> ?T1_student_capacity . FILTER(?T1_student_capacity > 300) . }
How many female students (sex is F) whose age is below 25?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :student . ?T1 :sex ?T1_sex . ?T1 :age ?T1_age . FILTER(?T1_sex = 'F' && ?T1_age < 25) . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/student> . ?T1 <http://valuenet/ontop/sex> ?T1_sex . ?T1 <http://valuenet/ontop/age> ?T1_age . FILTER(?T1_sex = 'F' && ?T1_age < 25) . }
How many girl students who are younger than 25?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :student . ?T1 :sex ?T1_sex . ?T1 :age ?T1_age . FILTER(?T1_sex = 'F' && ?T1_age < 25) . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/student> . ?T1 <http://valuenet/ontop/sex> ?T1_sex . ?T1 <http://valuenet/ontop/age> ?T1_age . FILTER(?T1_sex = 'F' && ?T1_age < 25) . }
Find the first name of students who is older than 20.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_fname WHERE { ?T1 a :student . ?T1 :fname ?T1_fname . ?T1 :age ?T1_age . FILTER(?T1_age > 20) . }",SELECT ?T1_fname WHERE { ?T1 a <http://valuenet/ontop/student> . ?T1 <http://valuenet/ontop/fname> ?T1_fname . ?T1 <http://valuenet/ontop/age> ?T1_age . FILTER(?T1_age > 20) . }
What are the first names of all students who are older than 20?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_fname WHERE { ?T1 a :student . ?T1 :fname ?T1_fname . ?T1 :age ?T1_age . FILTER(?T1_age > 20) . }",SELECT ?T1_fname WHERE { ?T1 a <http://valuenet/ontop/student> . ?T1 <http://valuenet/ontop/fname> ?T1_fname . ?T1 <http://valuenet/ontop/age> ?T1_age . FILTER(?T1_age > 20) . }
Find the first name of students living in city PHL whose age is between 20 and 25.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_fname WHERE { ?T1 a :student . ?T1 :fname ?T1_fname . ?T1 :city_code ?T1_city_code . ?T1 :age ?T1_age . FILTER(?T1_city_code = 'PHL' && ?T1_age >= 20 && ?T1_age <= 25) . }",SELECT ?T1_fname WHERE { ?T1 a <http://valuenet/ontop/student> . ?T1 <http://valuenet/ontop/fname> ?T1_fname . ?T1 <http://valuenet/ontop/city_code> ?T1_city_code . ?T1 <http://valuenet/ontop/age> ?T1_age . FILTER(?T1_city_code = 'PHL' && ?T1_age >= 20 && ?T1_age <= 25) . }
What is the first name of the students who are in age 20 to 25 and living in PHL city?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_fname WHERE { ?T1 a :student . ?T1 :fname ?T1_fname . ?T1 :city_code ?T1_city_code . ?T1 :age ?T1_age . FILTER(?T1_city_code = 'PHL' && ?T1_age >= 20 && ?T1_age <= 25) . }",SELECT ?T1_fname WHERE { ?T1 a <http://valuenet/ontop/student> . ?T1 <http://valuenet/ontop/fname> ?T1_fname . ?T1 <http://valuenet/ontop/city_code> ?T1_city_code . ?T1 <http://valuenet/ontop/age> ?T1_age . FILTER(?T1_city_code = 'PHL' && ?T1_age >= 20 && ?T1_age <= 25) . }
