nl_question,sparql_partial_uri,sparql_complete_uri
How many schools are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :school . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/school> . }
Count the number of schools.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :school . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/school> . }
List the locations of schools in ascending order of enrollment.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_location WHERE { ?T1 a :school . ?T1 :location ?T1_location . ?T1 :enrollment ?T1_enrollment . } ORDER BY ASC (?T1_enrollment)",SELECT ?T1_location WHERE { ?T1 a <http://valuenet/ontop/school> . ?T1 <http://valuenet/ontop/location> ?T1_location . ?T1 <http://valuenet/ontop/enrollment> ?T1_enrollment . } ORDER BY ASC (?T1_enrollment)
What is the list of school locations sorted in ascending order of school enrollment?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_location WHERE { ?T1 a :school . ?T1 :location ?T1_location . ?T1 :enrollment ?T1_enrollment . } ORDER BY ASC (?T1_enrollment)",SELECT ?T1_location WHERE { ?T1 a <http://valuenet/ontop/school> . ?T1 <http://valuenet/ontop/location> ?T1_location . ?T1 <http://valuenet/ontop/enrollment> ?T1_enrollment . } ORDER BY ASC (?T1_enrollment)
List the locations of schools in descending order of founded year.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_location WHERE { ?T1 a :school . ?T1 :location ?T1_location . ?T1 :founded ?T1_founded . } ORDER BY DESC (?T1_founded)",SELECT ?T1_location WHERE { ?T1 a <http://valuenet/ontop/school> . ?T1 <http://valuenet/ontop/location> ?T1_location . ?T1 <http://valuenet/ontop/founded> ?T1_founded . } ORDER BY DESC (?T1_founded)
What is the list of school locations sorted in descending order of school foundation year?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_location WHERE { ?T1 a :school . ?T1 :location ?T1_location . ?T1 :founded ?T1_founded . } ORDER BY DESC (?T1_founded)",SELECT ?T1_location WHERE { ?T1 a <http://valuenet/ontop/school> . ?T1 <http://valuenet/ontop/location> ?T1_location . ?T1 <http://valuenet/ontop/founded> ?T1_founded . } ORDER BY DESC (?T1_founded)
What are the enrollments of schools whose denomination is not 'Catholic'?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_enrollment WHERE { ?T1 a :school . ?T1 :enrollment ?T1_enrollment . ?T1 :denomination ?T1_denomination . FILTER(?T1_denomination != 'Catholic') . }",SELECT ?T1_enrollment WHERE { ?T1 a <http://valuenet/ontop/school> . ?T1 <http://valuenet/ontop/enrollment> ?T1_enrollment . ?T1 <http://valuenet/ontop/denomination> ?T1_denomination . FILTER(?T1_denomination != 'Catholic') . }
List the enrollment for each school that does not have 'Catholic' as denomination.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_enrollment WHERE { ?T1 a :school . ?T1 :enrollment ?T1_enrollment . ?T1 :denomination ?T1_denomination . FILTER(?T1_denomination != 'Catholic') . }",SELECT ?T1_enrollment WHERE { ?T1 a <http://valuenet/ontop/school> . ?T1 <http://valuenet/ontop/enrollment> ?T1_enrollment . ?T1 <http://valuenet/ontop/denomination> ?T1_denomination . FILTER(?T1_denomination != 'Catholic') . }
What is the average enrollment of schools?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_enrollment) as ?aggregation_T1_enrollment_2 ) WHERE { ?T1 a :school . ?T1 :enrollment ?T1_enrollment . }",SELECT (avg( ?T1_enrollment) as ?aggregation_T1_enrollment_2 ) WHERE { ?T1 a <http://valuenet/ontop/school> . ?T1 <http://valuenet/ontop/enrollment> ?T1_enrollment . }
Take the average of the school enrollment.,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_enrollment) as ?aggregation_T1_enrollment_148 ) WHERE { ?T1 a :school . ?T1 :enrollment ?T1_enrollment . }",SELECT (avg( ?T1_enrollment) as ?aggregation_T1_enrollment_148 ) WHERE { ?T1 a <http://valuenet/ontop/school> . ?T1 <http://valuenet/ontop/enrollment> ?T1_enrollment . }
