nl_question,sparql_partial_uri,sparql_complete_uri
which course has most number of registered students?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_course_name (count( *) as ?aggregation_all) WHERE { ?T1 a :courses . ?T2 a :student_course_registrations . ?T2 :ref-course ?T1 . ?T1 :course_name ?T1_course_name . } GROUP BY ?T1_course_name ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_course_name (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/courses> . ?T2 a <http://valuenet/ontop/student_course_registrations> . ?T2 <http://valuenet/ontop/ref-course> ?T1 . ?T1 <http://valuenet/ontop/course_name> ?T1_course_name . } GROUP BY ?T1_course_name ORDER BY DESC (?aggregation_all) LIMIT 1
What is the name of the course with the most registered students?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_course_name (count( *) as ?aggregation_all) WHERE { ?T1 a :courses . ?T2 a :student_course_registrations . ?T2 :ref-course ?T1 . ?T1 :course_name ?T1_course_name . } GROUP BY ?T1_course_name ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_course_name (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/courses> . ?T2 a <http://valuenet/ontop/student_course_registrations> . ?T2 <http://valuenet/ontop/ref-course> ?T1 . ?T1 <http://valuenet/ontop/course_name> ?T1_course_name . } GROUP BY ?T1_course_name ORDER BY DESC (?aggregation_all) LIMIT 1
what is id of students who registered some courses but the least number of courses in these students?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_student_id (count( *) as ?aggregation_all) WHERE { ?T1 a :student_course_registrations . ?T1 :student_id ?T1_student_id . } GROUP BY ?T1_student_id ORDER BY ASC (?aggregation_all) LIMIT 1",SELECT ?T1_student_id (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/student_course_registrations> . ?T1 <http://valuenet/ontop/student_id> ?T1_student_id . } GROUP BY ?T1_student_id ORDER BY ASC (?aggregation_all) LIMIT 1
What are the ids of the students who registered for some courses but had the least number of courses for all students?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_student_id (count( *) as ?aggregation_all) WHERE { ?T1 a :student_course_registrations . ?T1 :student_id ?T1_student_id . } GROUP BY ?T1_student_id ORDER BY ASC (?aggregation_all) LIMIT 1",SELECT ?T1_student_id (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/student_course_registrations> . ?T1 <http://valuenet/ontop/student_id> ?T1_student_id . } GROUP BY ?T1_student_id ORDER BY ASC (?aggregation_all) LIMIT 1
what are the first name and last name of all candidates?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_first_name ?T1_last_name WHERE { ?T1 a :people . ?T1 :first_name ?T1_first_name . ?T1 :last_name ?T1_last_name . }",SELECT ?T1_first_name ?T1_last_name WHERE { ?T1 a <http://valuenet/ontop/people> . ?T1 <http://valuenet/ontop/first_name> ?T1_first_name . ?T1 <http://valuenet/ontop/last_name> ?T1_last_name . }
What are the first and last names of all the candidates?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_first_name ?T1_last_name WHERE { ?T1 a :people . ?T1 :first_name ?T1_first_name . ?T1 :last_name ?T1_last_name . }",SELECT ?T1_first_name ?T1_last_name WHERE { ?T1 a <http://valuenet/ontop/people> . ?T1 <http://valuenet/ontop/first_name> ?T1_first_name . ?T1 <http://valuenet/ontop/last_name> ?T1_last_name . }
List the id of students who never attends courses?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_student_id WHERE { ?T1 a :students . ?T1 :student_id ?T1_student_id . ?T1 :student_id ?T1_student_id . FILTER(?T1_student_id not in (?T22_student_id)) . {SELECT ?T22_student_id WHERE { ?T22 a :student_course_attendance . ?T22 :student_id ?T22_student_id . } } }",SELECT ?T1_student_id WHERE { ?T1 a <http://valuenet/ontop/students> . ?T1 <http://valuenet/ontop/student_id> ?T1_student_id . ?T1 <http://valuenet/ontop/student_id> ?T1_student_id . FILTER(?T1_student_id not in (?T22_student_id)) . {SELECT ?T22_student_id WHERE { ?T22 a <http://valuenet/ontop/student_course_attendance> . ?T22 <http://valuenet/ontop/student_id> ?T22_student_id . } } }
What are the  ids of every student who has never attended a course?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_student_id WHERE { ?T1 a :students . ?T1 :student_id ?T1_student_id . ?T1 :student_id ?T1_student_id . FILTER(?T1_student_id not in (?T22_student_id)) . {SELECT ?T22_student_id WHERE { ?T22 a :student_course_attendance . ?T22 :student_id ?T22_student_id . } } }",SELECT ?T1_student_id WHERE { ?T1 a <http://valuenet/ontop/students> . ?T1 <http://valuenet/ontop/student_id> ?T1_student_id . ?T1 <http://valuenet/ontop/student_id> ?T1_student_id . FILTER(?T1_student_id not in (?T22_student_id)) . {SELECT ?T22_student_id WHERE { ?T22 a <http://valuenet/ontop/student_course_attendance> . ?T22 <http://valuenet/ontop/student_id> ?T22_student_id . } } }
List the id of students who attended some courses?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_student_id WHERE { ?T1 a :student_course_attendance . ?T1 :student_id ?T1_student_id . }",SELECT ?T1_student_id WHERE { ?T1 a <http://valuenet/ontop/student_course_attendance> . ?T1 <http://valuenet/ontop/student_id> ?T1_student_id . }
What are the ids of all students who have attended at least one course?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_student_id WHERE { ?T1 a :student_course_attendance . ?T1 :student_id ?T1_student_id . }",SELECT ?T1_student_id WHERE { ?T1 a <http://valuenet/ontop/student_course_attendance> . ?T1 <http://valuenet/ontop/student_id> ?T1_student_id . }
