nl_question,sparql_partial_uri,sparql_complete_uri
How many churches opened before 1850 are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :church . ?T1 :open_date ?T1_open_date . FILTER(?T1_open_date < 1850) . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/church> . ?T1 <http://valuenet/ontop/open_date> ?T1_open_date . FILTER(?T1_open_date < 1850) . }
"Show the name, open date, and organizer for all churches.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_open_date ?T1_organized_by WHERE { ?T1 a :church . ?T1 :name ?T1_name . ?T1 :open_date ?T1_open_date . ?T1 :organized_by ?T1_organized_by . }",SELECT ?T1_name ?T1_open_date ?T1_organized_by WHERE { ?T1 a <http://valuenet/ontop/church> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/open_date> ?T1_open_date . ?T1 <http://valuenet/ontop/organized_by> ?T1_organized_by . }
List all church names in descending order of opening date.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :church . ?T1 :name ?T1_name . ?T1 :open_date ?T1_open_date . } ORDER BY DESC (?T1_open_date)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/church> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/open_date> ?T1_open_date . } ORDER BY DESC (?T1_open_date)
Show the opening year in whcih at least two churches opened.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_open_date WHERE { ?T1 a :church . ?T1 :open_date ?T1_open_date . } GROUP BY ?T1_open_date HAVING(count( *) >= 2)",SELECT ?T1_open_date WHERE { ?T1 a <http://valuenet/ontop/church> . ?T1 <http://valuenet/ontop/open_date> ?T1_open_date . } GROUP BY ?T1_open_date HAVING(count( *) >= 2)
Show the organizer and name for churches that opened between 1830 and 1840.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_organized_by ?T1_name WHERE { ?T1 a :church . ?T1 :organized_by ?T1_organized_by . ?T1 :name ?T1_name . ?T1 :open_date ?T1_open_date . FILTER(?T1_open_date >= 1830 && ?T1_open_date <= 1840) . }",SELECT ?T1_organized_by ?T1_name WHERE { ?T1 a <http://valuenet/ontop/church> . ?T1 <http://valuenet/ontop/organized_by> ?T1_organized_by . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/open_date> ?T1_open_date . FILTER(?T1_open_date >= 1830 && ?T1_open_date <= 1840) . }
Show all opening years and the number of churches that opened in that year.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_open_date (count( *) as ?aggregation_all) WHERE { ?T1 a :church . ?T1 :open_date ?T1_open_date . } GROUP BY ?T1_open_date",SELECT ?T1_open_date (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/church> . ?T1 <http://valuenet/ontop/open_date> ?T1_open_date . } GROUP BY ?T1_open_date
Show the name and opening year for three churches that opened most recently.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_open_date WHERE { ?T1 a :church . ?T1 :name ?T1_name . ?T1 :open_date ?T1_open_date . ?T1 :open_date ?T1_open_date . } ORDER BY DESC (?T1_open_date) LIMIT 1",SELECT ?T1_name ?T1_open_date WHERE { ?T1 a <http://valuenet/ontop/church> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/open_date> ?T1_open_date . ?T1 <http://valuenet/ontop/open_date> ?T1_open_date . } ORDER BY DESC (?T1_open_date) LIMIT 1
How many female people are older than 30 in our record?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :people . ?T1 :is_male ?T1_is_male . ?T1 :age ?T1_age . FILTER(?T1_is_male = 'F' && ?T1_age > 30) . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/people> . ?T1 <http://valuenet/ontop/is_male> ?T1_is_male . ?T1 <http://valuenet/ontop/age> ?T1_age . FILTER(?T1_is_male = 'F' && ?T1_age > 30) . }
Show the country where people older than 30 and younger than 25 are from.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_country WHERE { ?T1 a :people . ?T1 :country ?T1_country . ?T1 :age ?T1_age . FILTER(?T1_age < 25) . FILTER (?T1_country in (?T2_country)) . ?T2 a :people . ?T2 :country ?T2_country . ?T2 :age ?T2_age . FILTER(?T2_age > 30) . }",SELECT DISTINCT ?T1_country WHERE { ?T1 a <http://valuenet/ontop/people> . ?T1 <http://valuenet/ontop/country> ?T1_country . ?T1 <http://valuenet/ontop/age> ?T1_age . FILTER(?T1_age < 25) . FILTER (?T1_country in (?T2_country)) . ?T2 a <http://valuenet/ontop/people> . ?T2 <http://valuenet/ontop/country> ?T2_country . ?T2 <http://valuenet/ontop/age> ?T2_age . FILTER(?T2_age > 30) . }
"Show the minimum, maximum, and average age for all people.","PREFIX : <http://valuenet/ontop/>
SELECT (min( ?T1_age) as ?aggregation_T1_age_121 ) (max( ?T1_age) as ?aggregation_T1_age_13 ) (avg( ?T1_age) as ?aggregation_T1_age_30 ) WHERE { ?T1 a :people . ?T1 :age ?T1_age . ?T1 :age ?T1_age . ?T1 :age ?T1_age . }",SELECT (min( ?T1_age) as ?aggregation_T1_age_121 ) (max( ?T1_age) as ?aggregation_T1_age_13 ) (avg( ?T1_age) as ?aggregation_T1_age_30 ) WHERE { ?T1 a <http://valuenet/ontop/people> . ?T1 <http://valuenet/ontop/age> ?T1_age . ?T1 <http://valuenet/ontop/age> ?T1_age . ?T1 <http://valuenet/ontop/age> ?T1_age . }
