nl_question,sparql_partial_uri,sparql_complete_uri
How many countries are there in total?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :country . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/country> . }
Count the number of countries.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :country . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/country> . }
Show the country name and capital of all countries.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_country_name ?T1_capital WHERE { ?T1 a :country . ?T1 :country_name ?T1_country_name . ?T1 :capital ?T1_capital . }",SELECT ?T1_country_name ?T1_capital WHERE { ?T1 a <http://valuenet/ontop/country> . ?T1 <http://valuenet/ontop/country_name> ?T1_country_name . ?T1 <http://valuenet/ontop/capital> ?T1_capital . }
What are the names and capitals of each country?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_country_name ?T1_capital WHERE { ?T1 a :country . ?T1 :country_name ?T1_country_name . ?T1 :capital ?T1_capital . }",SELECT ?T1_country_name ?T1_capital WHERE { ?T1 a <http://valuenet/ontop/country> . ?T1 <http://valuenet/ontop/country_name> ?T1_country_name . ?T1 <http://valuenet/ontop/capital> ?T1_capital . }
Show all official native languages that contain the word 'English'.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_official_native_language WHERE { ?T1 a :country . ?T1 :official_native_language ?T1_official_native_language . ?T1 :official_native_language ?T1_official_native_language . FILTER(contains (?T1_official_native_language, 'English')) . }","SELECT ?T1_official_native_language WHERE { ?T1 a <http://valuenet/ontop/country> . ?T1 <http://valuenet/ontop/official_native_language> ?T1_official_native_language . ?T1 <http://valuenet/ontop/official_native_language> ?T1_official_native_language . FILTER(contains (?T1_official_native_language, 'English')) . }"
What are the official native languages that contain the string 'English'.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_official_native_language WHERE { ?T1 a :country . ?T1 :official_native_language ?T1_official_native_language . ?T1 :official_native_language ?T1_official_native_language . FILTER(contains (?T1_official_native_language, 'English')) . }","SELECT ?T1_official_native_language WHERE { ?T1 a <http://valuenet/ontop/country> . ?T1 <http://valuenet/ontop/official_native_language> ?T1_official_native_language . ?T1 <http://valuenet/ontop/official_native_language> ?T1_official_native_language . FILTER(contains (?T1_official_native_language, 'English')) . }"
Show all distinct positions of matches.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_position WHERE { ?T1 a :match_season . ?T1 :position ?T1_position . }",SELECT DISTINCT ?T1_position WHERE { ?T1 a <http://valuenet/ontop/match_season> . ?T1 <http://valuenet/ontop/position> ?T1_position . }
What are the different positions for match season?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_position WHERE { ?T1 a :match_season . ?T1 :position ?T1_position . }",SELECT DISTINCT ?T1_position WHERE { ?T1 a <http://valuenet/ontop/match_season> . ?T1 <http://valuenet/ontop/position> ?T1_position . }
Show the players from college UCLA.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_player WHERE { ?T1 a :match_season . ?T1 :player ?T1_player . ?T1 :college ?T1_college . FILTER(?T1_college = 'UCLA') . }",SELECT ?T1_player WHERE { ?T1 a <http://valuenet/ontop/match_season> . ?T1 <http://valuenet/ontop/player> ?T1_player . ?T1 <http://valuenet/ontop/college> ?T1_college . FILTER(?T1_college = 'UCLA') . }
Who are the players from UCLA?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_player WHERE { ?T1 a :match_season . ?T1 :player ?T1_player . ?T1 :college ?T1_college . FILTER(?T1_college = 'UCLA') . }",SELECT ?T1_player WHERE { ?T1 a <http://valuenet/ontop/match_season> . ?T1 <http://valuenet/ontop/player> ?T1_player . ?T1 <http://valuenet/ontop/college> ?T1_college . FILTER(?T1_college = 'UCLA') . }
Show the distinct position of players from college UCLA or Duke.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_position WHERE { ?T1 a :match_season . ?T1 :position ?T1_position . ?T1 :college ?T1_college . ?T1 :college ?T1_college . FILTER(?T1_college = 'UCLA' || ?T1_college = 'Duke') . }",SELECT DISTINCT ?T1_position WHERE { ?T1 a <http://valuenet/ontop/match_season> . ?T1 <http://valuenet/ontop/position> ?T1_position . ?T1 <http://valuenet/ontop/college> ?T1_college . ?T1 <http://valuenet/ontop/college> ?T1_college . FILTER(?T1_college = 'UCLA' || ?T1_college = 'Duke') . }
What are the different positions of players from UCLA or Duke colleges?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_position WHERE { ?T1 a :match_season . ?T1 :position ?T1_position . ?T1 :college ?T1_college . ?T1 :college ?T1_college . FILTER(?T1_college = 'UCLA' || ?T1_college = 'Duke') . }",SELECT DISTINCT ?T1_position WHERE { ?T1 a <http://valuenet/ontop/match_season> . ?T1 <http://valuenet/ontop/position> ?T1_position . ?T1 <http://valuenet/ontop/college> ?T1_college . ?T1 <http://valuenet/ontop/college> ?T1_college . FILTER(?T1_college = 'UCLA' || ?T1_college = 'Duke') . }
Show the draft pick numbers and draft classes of players whose positions are defenders.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_draft_pick_number ?T1_draft_class WHERE { ?T1 a :match_season . ?T1 :draft_pick_number ?T1_draft_pick_number . ?T1 :draft_class ?T1_draft_class . ?T1 :position ?T1_position . FILTER(?T1_position = 'Defender') . }",SELECT ?T1_draft_pick_number ?T1_draft_class WHERE { ?T1 a <http://valuenet/ontop/match_season> . ?T1 <http://valuenet/ontop/draft_pick_number> ?T1_draft_pick_number . ?T1 <http://valuenet/ontop/draft_class> ?T1_draft_class . ?T1 <http://valuenet/ontop/position> ?T1_position . FILTER(?T1_position = 'Defender') . }
What are the draft pick numbers and draft classes for players who play the Defender position?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_draft_pick_number ?T1_draft_class WHERE { ?T1 a :match_season . ?T1 :draft_pick_number ?T1_draft_pick_number . ?T1 :draft_class ?T1_draft_class . ?T1 :position ?T1_position . FILTER(?T1_position = 'Defender') . }",SELECT ?T1_draft_pick_number ?T1_draft_class WHERE { ?T1 a <http://valuenet/ontop/match_season> . ?T1 <http://valuenet/ontop/draft_pick_number> ?T1_draft_pick_number . ?T1 <http://valuenet/ontop/draft_class> ?T1_draft_class . ?T1 <http://valuenet/ontop/position> ?T1_position . FILTER(?T1_position = 'Defender') . }
How many distinct teams are involved in match seasons?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_team) as ?aggregation_T1_team_134 ) WHERE { ?T1 a :match_season . ?T1 :team ?T1_team . }",SELECT DISTINCT (count(DISTINCT ?T1_team) as ?aggregation_T1_team_134 ) WHERE { ?T1 a <http://valuenet/ontop/match_season> . ?T1 <http://valuenet/ontop/team> ?T1_team . }
Count the number of different teams involved in match season.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_team) as ?aggregation_T1_team_199 ) WHERE { ?T1 a :match_season . ?T1 :team ?T1_team . }",SELECT DISTINCT (count(DISTINCT ?T1_team) as ?aggregation_T1_team_199 ) WHERE { ?T1 a <http://valuenet/ontop/match_season> . ?T1 <http://valuenet/ontop/team> ?T1_team . }
Show the players and the years played.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_player ?T1_years_played WHERE { ?T1 a :player . ?T1 :player ?T1_player . ?T1 :years_played ?T1_years_played . }",SELECT ?T1_player ?T1_years_played WHERE { ?T1 a <http://valuenet/ontop/player> . ?T1 <http://valuenet/ontop/player> ?T1_player . ?T1 <http://valuenet/ontop/years_played> ?T1_years_played . }
Who are the different players and how many years has each played?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_player ?T1_years_played WHERE { ?T1 a :player . ?T1 :player ?T1_player . ?T1 :years_played ?T1_years_played . }",SELECT ?T1_player ?T1_years_played WHERE { ?T1 a <http://valuenet/ontop/player> . ?T1 <http://valuenet/ontop/player> ?T1_player . ?T1 <http://valuenet/ontop/years_played> ?T1_years_played . }
Show all team names.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :team . ?T1 :name ?T1_name . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/team> . ?T1 <http://valuenet/ontop/name> ?T1_name . }
What are the names of all teams?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :team . ?T1 :name ?T1_name . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/team> . ?T1 <http://valuenet/ontop/name> ?T1_name . }
