nl_question,sparql_partial_uri,sparql_complete_uri
How many video games exist?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :video_games . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/video_games> . }
How many video games do you have?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :video_games . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/video_games> . }
How many video game types exist?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_gtype) as ?aggregation_T1_gtype_15 ) WHERE { ?T1 a :video_games . ?T1 :gtype ?T1_gtype . }",SELECT DISTINCT (count(DISTINCT ?T1_gtype) as ?aggregation_T1_gtype_15 ) WHERE { ?T1 a <http://valuenet/ontop/video_games> . ?T1 <http://valuenet/ontop/gtype> ?T1_gtype . }
What is the count of different game types?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_gtype) as ?aggregation_T1_gtype_108 ) WHERE { ?T1 a :video_games . ?T1 :gtype ?T1_gtype . }",SELECT DISTINCT (count(DISTINCT ?T1_gtype) as ?aggregation_T1_gtype_108 ) WHERE { ?T1 a <http://valuenet/ontop/video_games> . ?T1 <http://valuenet/ontop/gtype> ?T1_gtype . }
Show all video game types.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_gtype WHERE { ?T1 a :video_games . ?T1 :gtype ?T1_gtype . }",SELECT DISTINCT ?T1_gtype WHERE { ?T1 a <http://valuenet/ontop/video_games> . ?T1 <http://valuenet/ontop/gtype> ?T1_gtype . }
What are the different types of video games?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_gtype WHERE { ?T1 a :video_games . ?T1 :gtype ?T1_gtype . }",SELECT DISTINCT ?T1_gtype WHERE { ?T1 a <http://valuenet/ontop/video_games> . ?T1 <http://valuenet/ontop/gtype> ?T1_gtype . }
Show all video games and their types in the order of their names.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_gname ?T1_gtype WHERE { ?T1 a :video_games . ?T1 :gname ?T1_gname . ?T1 :gtype ?T1_gtype . ?T1 :gname ?T1_gname . } ORDER BY ASC (?T1_gname)",SELECT ?T1_gname ?T1_gtype WHERE { ?T1 a <http://valuenet/ontop/video_games> . ?T1 <http://valuenet/ontop/gname> ?T1_gname . ?T1 <http://valuenet/ontop/gtype> ?T1_gtype . ?T1 <http://valuenet/ontop/gname> ?T1_gname . } ORDER BY ASC (?T1_gname)
What are the names of all the video games and their types in alphabetical order?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_gname ?T1_gtype WHERE { ?T1 a :video_games . ?T1 :gname ?T1_gname . ?T1 :gtype ?T1_gtype . ?T1 :gname ?T1_gname . } ORDER BY ASC (?T1_gname)",SELECT ?T1_gname ?T1_gtype WHERE { ?T1 a <http://valuenet/ontop/video_games> . ?T1 <http://valuenet/ontop/gname> ?T1_gname . ?T1 <http://valuenet/ontop/gtype> ?T1_gtype . ?T1 <http://valuenet/ontop/gname> ?T1_gname . } ORDER BY ASC (?T1_gname)
Show all video games with type Collectible card game.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_gname WHERE { ?T1 a :video_games . ?T1 :gname ?T1_gname . ?T1 :gtype ?T1_gtype . FILTER(?T1_gtype = 'Collectible card game') . }",SELECT ?T1_gname WHERE { ?T1 a <http://valuenet/ontop/video_games> . ?T1 <http://valuenet/ontop/gname> ?T1_gname . ?T1 <http://valuenet/ontop/gtype> ?T1_gtype . FILTER(?T1_gtype = 'Collectible card game') . }
What are the names of all video games that are collectible cards?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_gname WHERE { ?T1 a :video_games . ?T1 :gname ?T1_gname . ?T1 :gtype ?T1_gtype . FILTER(?T1_gtype = 'Collectible card game') . }",SELECT ?T1_gname WHERE { ?T1 a <http://valuenet/ontop/video_games> . ?T1 <http://valuenet/ontop/gname> ?T1_gname . ?T1 <http://valuenet/ontop/gtype> ?T1_gtype . FILTER(?T1_gtype = 'Collectible card game') . }
