,gpt-3.5-turbo,gpt-4o-mini,gpt-4o,llama-3.1-8b,llama-3.3-70b,phi-4-14b,c4ai-command-r-7b,c4ai-command-r-32b,codestral-v0.1-22b,mistral-small-24b,qwen-2.5-32b,qwen-2.5-coder-32b,deepseek-v2-coder-16b,deepseek-r1-qwen-32b
spider4sparql-basic,0.4029,0.4458,0.5734,0.1603,0.2043,0.3781,0.0824,0.1998,0.3149,0.3691,0.3363,0.465,0.0192,0.3521
spider4sparql-detailed,0.4921,0.5056,0.6682,0.1027,0.4594,0.2528,0.0169,0.3657,0.4797,0.421,0.4515,0.5553,0.0,0.421
spider4sparql-cot,0.4334,0.5869,0.7088,0.2178,0.4921,0.4199,0.0,0.3713,0.4718,0.4808,0.5282,0.5158,0.0102,0.4176
spider4sparql-ensemble,0.5993227990970654,0.6884875846501128,0.7866817155756207,0.3013544018058691,0.6106094808126411,0.5665914221218962,0.09480812641083522,0.5011286681715575,0.6354401805869074,0.608352144469526,0.654627539503386,0.7054176072234764,0.028216704288939052,0.6128668171557562
bestiary-basic,0.2935,0.3696,0.3261,0.0109,0.0109,0.0978,0.0109,0.1304,0.1739,0.1957,0.0217,0.3587,0.0217,0.1196
bestiary-detailed,0.2283,0.3913,0.3261,0.0,0.1957,0.0978,0.0,0.1413,0.2283,0.1522,0.0109,0.0326,0.0,0.1739
bestiary-cot,0.1304,0.2065,0.2935,0.0326,0.1522,0.0978,0.0,0.1413,0.2174,0.0435,0.0761,0.2283,0.0,0.1087
bestiary-ensemble,0.33695652173913043,0.5434782608695652,0.5,0.03260869565217391,0.2717391304347826,0.1956521739130435,0.010869565217391304,0.30434782608695654,0.41304347826086957,0.2717391304347826,0.08695652173913043,0.44565217391304346,0.021739130434782608,0.29347826086956524
lcquad-basic,0.4467,0.5351,0.6463,0.0544,0.0658,0.3175,0.1474,0.2925,0.4263,0.3605,0.4535,0.3288,0.1497,0.483
lcquad-detailed,0.517,0.4807,0.6667,0.0454,0.1202,0.2313,0.0635,0.2585,0.3696,0.4512,0.4308,0.5057,0.0227,0.4898
lcquad-cot,0.4286,0.39,0.7098,0.0703,0.1746,0.2336,0.0726,0.2993,0.5442,0.3265,0.5147,0.4739,0.034,0.4082
lcquad-ensemble,0.6099773242630385,0.6893424036281179,0.7845804988662132,0.1292517006802721,0.21541950113378686,0.4421768707482993,0.22675736961451248,0.546485260770975,0.673469387755102,0.5736961451247166,0.7052154195011338,0.6507936507936508,0.18140589569160998,0.6643990929705216
