nl_question,sparql_partial_uri,sparql_complete_uri
List all vehicle id,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_vehicle_id WHERE { ?T1 a :vehicles . ?T1 :vehicle_id ?T1_vehicle_id . }",SELECT ?T1_vehicle_id WHERE { ?T1 a <http://valuenet/ontop/vehicles> . ?T1 <http://valuenet/ontop/vehicle_id> ?T1_vehicle_id . }
What are the ids of all vehicles?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_vehicle_id WHERE { ?T1 a :vehicles . ?T1 :vehicle_id ?T1_vehicle_id . }",SELECT ?T1_vehicle_id WHERE { ?T1 a <http://valuenet/ontop/vehicles> . ?T1 <http://valuenet/ontop/vehicle_id> ?T1_vehicle_id . }
How many vehicle in total?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :vehicles . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/vehicles> . }
How many vehicles exist?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :vehicles . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/vehicles> . }
Show the detail of vehicle with id 1.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_vehicle_details WHERE { ?T1 a :vehicles . ?T1 :vehicle_details ?T1_vehicle_details . ?T1 :vehicle_id ?T1_vehicle_id . FILTER(?T1_vehicle_id = 1) . }",SELECT ?T1_vehicle_details WHERE { ?T1 a <http://valuenet/ontop/vehicles> . ?T1 <http://valuenet/ontop/vehicle_details> ?T1_vehicle_details . ?T1 <http://valuenet/ontop/vehicle_id> ?T1_vehicle_id . FILTER(?T1_vehicle_id = 1) . }
What are the details of the car with id 1?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_vehicle_details WHERE { ?T1 a :vehicles . ?T1 :vehicle_details ?T1_vehicle_details . ?T1 :vehicle_id ?T1_vehicle_id . FILTER(?T1_vehicle_id = 1) . }",SELECT ?T1_vehicle_details WHERE { ?T1 a <http://valuenet/ontop/vehicles> . ?T1 <http://valuenet/ontop/vehicle_details> ?T1_vehicle_details . ?T1 <http://valuenet/ontop/vehicle_id> ?T1_vehicle_id . FILTER(?T1_vehicle_id = 1) . }
List the first name middle name and last name of all staff.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_first_name ?T1_middle_name ?T1_last_name WHERE { ?T1 a :staff . ?T1 :first_name ?T1_first_name . ?T1 :middle_name ?T1_middle_name . ?T1 :last_name ?T1_last_name . }",SELECT ?T1_first_name ?T1_middle_name ?T1_last_name WHERE { ?T1 a <http://valuenet/ontop/staff> . ?T1 <http://valuenet/ontop/first_name> ?T1_first_name . ?T1 <http://valuenet/ontop/middle_name> ?T1_middle_name . ?T1 <http://valuenet/ontop/last_name> ?T1_last_name . }
"What are the first, middle, and last names of all staff?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_first_name ?T1_middle_name ?T1_last_name WHERE { ?T1 a :staff . ?T1 :first_name ?T1_first_name . ?T1 :middle_name ?T1_middle_name . ?T1 :last_name ?T1_last_name . }",SELECT ?T1_first_name ?T1_middle_name ?T1_last_name WHERE { ?T1 a <http://valuenet/ontop/staff> . ?T1 <http://valuenet/ontop/first_name> ?T1_first_name . ?T1 <http://valuenet/ontop/middle_name> ?T1_middle_name . ?T1 <http://valuenet/ontop/last_name> ?T1_last_name . }
What is the birthday of the staff member with first name as Janessa and last name as Sawayn?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_date_of_birth WHERE { ?T1 a :staff . ?T1 :date_of_birth ?T1_date_of_birth . ?T1 :first_name ?T1_first_name . ?T1 :last_name ?T1_last_name . FILTER(?T1_first_name = 'Janessa' && ?T1_last_name = 'Sawayn') . }",SELECT ?T1_date_of_birth WHERE { ?T1 a <http://valuenet/ontop/staff> . ?T1 <http://valuenet/ontop/date_of_birth> ?T1_date_of_birth . ?T1 <http://valuenet/ontop/first_name> ?T1_first_name . ?T1 <http://valuenet/ontop/last_name> ?T1_last_name . FILTER(?T1_first_name = 'Janessa' && ?T1_last_name = 'Sawayn') . }
What is the date of birth for the staff member named Janessa Sawayn?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_date_of_birth WHERE { ?T1 a :staff . ?T1 :date_of_birth ?T1_date_of_birth . ?T1 :first_name ?T1_first_name . ?T1 :last_name ?T1_last_name . FILTER(?T1_first_name = 'Janessa' && ?T1_last_name = 'Sawayn') . }",SELECT ?T1_date_of_birth WHERE { ?T1 a <http://valuenet/ontop/staff> . ?T1 <http://valuenet/ontop/date_of_birth> ?T1_date_of_birth . ?T1 <http://valuenet/ontop/first_name> ?T1_first_name . ?T1 <http://valuenet/ontop/last_name> ?T1_last_name . FILTER(?T1_first_name = 'Janessa' && ?T1_last_name = 'Sawayn') . }
