nl_question,sparql_partial_uri,sparql_complete_uri
Find the number of professors in accounting department.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :professor . ?T2 a :department . ?T1 :ref-dept_code ?T2 . ?T2 :dept_name ?T2_dept_name . FILTER(?T2_dept_name = 'Accounting') . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/professor> . ?T2 a <http://valuenet/ontop/department> . ?T1 <http://valuenet/ontop/ref-dept_code> ?T2 . ?T2 <http://valuenet/ontop/dept_name> ?T2_dept_name . FILTER(?T2_dept_name = 'Accounting') . }
How many professors are in the accounting dept?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :professor . ?T2 a :department . ?T1 :ref-dept_code ?T2 . ?T2 :dept_name ?T2_dept_name . FILTER(?T2_dept_name = 'Accounting') . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/professor> . ?T2 a <http://valuenet/ontop/department> . ?T1 <http://valuenet/ontop/ref-dept_code> ?T2 . ?T2 <http://valuenet/ontop/dept_name> ?T2_dept_name . FILTER(?T2_dept_name = 'Accounting') . }
How many professors are teaching class with code ACCT-211?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_prof_num) as ?aggregation_T1_prof_num_21 ) WHERE { ?T1 a :class . ?T1 :prof_num ?T1_prof_num . ?T1 :crs_code ?T1_crs_code . FILTER(?T1_crs_code = 'ACCT-211') . }",SELECT DISTINCT (count(DISTINCT ?T1_prof_num) as ?aggregation_T1_prof_num_21 ) WHERE { ?T1 a <http://valuenet/ontop/class> . ?T1 <http://valuenet/ontop/prof_num> ?T1_prof_num . ?T1 <http://valuenet/ontop/crs_code> ?T1_crs_code . FILTER(?T1_crs_code = 'ACCT-211') . }
How many professors teach a class with the code ACCT-211?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_prof_num) as ?aggregation_T1_prof_num_49 ) WHERE { ?T1 a :class . ?T1 :prof_num ?T1_prof_num . ?T1 :crs_code ?T1_crs_code . FILTER(?T1_crs_code = 'ACCT-211') . }",SELECT DISTINCT (count(DISTINCT ?T1_prof_num) as ?aggregation_T1_prof_num_49 ) WHERE { ?T1 a <http://valuenet/ontop/class> . ?T1 <http://valuenet/ontop/prof_num> ?T1_prof_num . ?T1 <http://valuenet/ontop/crs_code> ?T1_crs_code . FILTER(?T1_crs_code = 'ACCT-211') . }
What is the first and last name of the professor in biology department?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_emp_fname ?T1_emp_lname WHERE { ?T1 a :employee . ?T2 a :department . ?T2 :ref-emp_num ?T1 . ?T1 :emp_fname ?T1_emp_fname . ?T1 :emp_lname ?T1_emp_lname . ?T2 :dept_name ?T2_dept_name . FILTER(?T2_dept_name = 'Biology') . }",SELECT ?T1_emp_fname ?T1_emp_lname WHERE { ?T1 a <http://valuenet/ontop/employee> . ?T2 a <http://valuenet/ontop/department> . ?T2 <http://valuenet/ontop/ref-emp_num> ?T1 . ?T1 <http://valuenet/ontop/emp_fname> ?T1_emp_fname . ?T1 <http://valuenet/ontop/emp_lname> ?T1_emp_lname . ?T2 <http://valuenet/ontop/dept_name> ?T2_dept_name . FILTER(?T2_dept_name = 'Biology') . }
What are the first and last name of all biology professors?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_emp_fname ?T1_emp_lname WHERE { ?T1 a :employee . ?T2 a :department . ?T2 :ref-emp_num ?T1 . ?T1 :emp_fname ?T1_emp_fname . ?T1 :emp_lname ?T1_emp_lname . ?T2 :dept_name ?T2_dept_name . FILTER(?T2_dept_name = 'Biology') . }",SELECT ?T1_emp_fname ?T1_emp_lname WHERE { ?T1 a <http://valuenet/ontop/employee> . ?T2 a <http://valuenet/ontop/department> . ?T2 <http://valuenet/ontop/ref-emp_num> ?T1 . ?T1 <http://valuenet/ontop/emp_fname> ?T1_emp_fname . ?T1 <http://valuenet/ontop/emp_lname> ?T1_emp_lname . ?T2 <http://valuenet/ontop/dept_name> ?T2_dept_name . FILTER(?T2_dept_name = 'Biology') . }
What are the first names and date of birth of professors teaching course ACCT-211?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_emp_fname ?T1_emp_dob WHERE { ?T1 a :employee . ?T2 a :class . ?T2 :ref-prof_num ?T1 . ?T1 :emp_fname ?T1_emp_fname . ?T1 :emp_dob ?T1_emp_dob . ?T2 :crs_code ?T2_crs_code . FILTER(?T2_crs_code = 'ACCT-211') . }",SELECT DISTINCT ?T1_emp_fname ?T1_emp_dob WHERE { ?T1 a <http://valuenet/ontop/employee> . ?T2 a <http://valuenet/ontop/class> . ?T2 <http://valuenet/ontop/ref-prof_num> ?T1 . ?T1 <http://valuenet/ontop/emp_fname> ?T1_emp_fname . ?T1 <http://valuenet/ontop/emp_dob> ?T1_emp_dob . ?T2 <http://valuenet/ontop/crs_code> ?T2_crs_code . FILTER(?T2_crs_code = 'ACCT-211') . }
What are the first names and birthdates of the professors in charge of ACCT-211?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_emp_fname ?T1_emp_dob WHERE { ?T1 a :employee . ?T2 a :class . ?T2 :ref-prof_num ?T1 . ?T1 :emp_fname ?T1_emp_fname . ?T1 :emp_dob ?T1_emp_dob . ?T2 :crs_code ?T2_crs_code . FILTER(?T2_crs_code = 'ACCT-211') . }",SELECT DISTINCT ?T1_emp_fname ?T1_emp_dob WHERE { ?T1 a <http://valuenet/ontop/employee> . ?T2 a <http://valuenet/ontop/class> . ?T2 <http://valuenet/ontop/ref-prof_num> ?T1 . ?T1 <http://valuenet/ontop/emp_fname> ?T1_emp_fname . ?T1 <http://valuenet/ontop/emp_dob> ?T1_emp_dob . ?T2 <http://valuenet/ontop/crs_code> ?T2_crs_code . FILTER(?T2_crs_code = 'ACCT-211') . }
How many classes are professor whose last name is Graztevski has?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :class . ?T2 a :employee . ?T1 :ref-prof_num ?T2 . ?T2 :emp_lname ?T2_emp_lname . FILTER(?T2_emp_lname = 'Graztevski') . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/class> . ?T2 a <http://valuenet/ontop/employee> . ?T1 <http://valuenet/ontop/ref-prof_num> ?T2 . ?T2 <http://valuenet/ontop/emp_lname> ?T2_emp_lname . FILTER(?T2_emp_lname = 'Graztevski') . }
How many classes does the professor whose last name is Graztevski teach?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :class . ?T2 a :employee . ?T1 :ref-prof_num ?T2 . ?T2 :emp_lname ?T2_emp_lname . FILTER(?T2_emp_lname = 'Graztevski') . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/class> . ?T2 a <http://valuenet/ontop/employee> . ?T1 <http://valuenet/ontop/ref-prof_num> ?T2 . ?T2 <http://valuenet/ontop/emp_lname> ?T2_emp_lname . FILTER(?T2_emp_lname = 'Graztevski') . }
