nl_question,sparql_partial_uri,sparql_complete_uri
"Find the name and access counts of all documents, in alphabetic order of the document name.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_document_name ?T1_access_count WHERE { ?T1 a :documents . ?T1 :document_name ?T1_document_name . ?T1 :access_count ?T1_access_count . ?T1 :document_name ?T1_document_name . } ORDER BY ASC (?T1_document_name)",SELECT ?T1_document_name ?T1_access_count WHERE { ?T1 a <http://valuenet/ontop/documents> . ?T1 <http://valuenet/ontop/document_name> ?T1_document_name . ?T1 <http://valuenet/ontop/access_count> ?T1_access_count . ?T1 <http://valuenet/ontop/document_name> ?T1_document_name . } ORDER BY ASC (?T1_document_name)
"What are the names of all the documents, as well as the access counts of each, ordered alphabetically?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_document_name ?T1_access_count WHERE { ?T1 a :documents . ?T1 :document_name ?T1_document_name . ?T1 :access_count ?T1_access_count . ?T1 :document_name ?T1_document_name . } ORDER BY ASC (?T1_document_name)",SELECT ?T1_document_name ?T1_access_count WHERE { ?T1 a <http://valuenet/ontop/documents> . ?T1 <http://valuenet/ontop/document_name> ?T1_document_name . ?T1 <http://valuenet/ontop/access_count> ?T1_access_count . ?T1 <http://valuenet/ontop/document_name> ?T1_document_name . } ORDER BY ASC (?T1_document_name)
"Find the name of the document that has been accessed the greatest number of times, as well as the count of how many times it has been accessed?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_document_name ?T1_access_count WHERE { ?T1 a :documents . ?T1 :document_name ?T1_document_name . ?T1 :access_count ?T1_access_count . ?T1 :access_count ?T1_access_count . } ORDER BY DESC (?T1_access_count) LIMIT 1",SELECT ?T1_document_name ?T1_access_count WHERE { ?T1 a <http://valuenet/ontop/documents> . ?T1 <http://valuenet/ontop/document_name> ?T1_document_name . ?T1 <http://valuenet/ontop/access_count> ?T1_access_count . ?T1 <http://valuenet/ontop/access_count> ?T1_access_count . } ORDER BY DESC (?T1_access_count) LIMIT 1
"What is the name of the document which has been accessed the most times, as well as the number of times it has been accessed?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_document_name ?T1_access_count WHERE { ?T1 a :documents . ?T1 :document_name ?T1_document_name . ?T1 :access_count ?T1_access_count . ?T1 :access_count ?T1_access_count . } ORDER BY DESC (?T1_access_count) LIMIT 1",SELECT ?T1_document_name ?T1_access_count WHERE { ?T1 a <http://valuenet/ontop/documents> . ?T1 <http://valuenet/ontop/document_name> ?T1_document_name . ?T1 <http://valuenet/ontop/access_count> ?T1_access_count . ?T1 <http://valuenet/ontop/access_count> ?T1_access_count . } ORDER BY DESC (?T1_access_count) LIMIT 1
Find the types of documents with more than 4 documents.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_document_type_code WHERE { ?T1 a :documents . ?T1 :document_type_code ?T1_document_type_code . } GROUP BY ?T1_document_type_code HAVING(count( *) > 4)",SELECT ?T1_document_type_code WHERE { ?T1 a <http://valuenet/ontop/documents> . ?T1 <http://valuenet/ontop/document_type_code> ?T1_document_type_code . } GROUP BY ?T1_document_type_code HAVING(count( *) > 4)
What are the codes of types of documents of which there are for or more?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_document_type_code WHERE { ?T1 a :documents . ?T1 :document_type_code ?T1_document_type_code . } GROUP BY ?T1_document_type_code HAVING(count( *) > 4)",SELECT ?T1_document_type_code WHERE { ?T1 a <http://valuenet/ontop/documents> . ?T1 <http://valuenet/ontop/document_type_code> ?T1_document_type_code . } GROUP BY ?T1_document_type_code HAVING(count( *) > 4)
Find the total access count of all documents in the most popular document type.,"PREFIX : <http://valuenet/ontop/>
SELECT (sum( ?T1_access_count) as ?aggregation_T1_access_count_176 ) (count( *) as ?aggregation_all) WHERE { ?T1 a :documents . ?T1 :access_count ?T1_access_count . } ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT (sum( ?T1_access_count) as ?aggregation_T1_access_count_176 ) (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/documents> . ?T1 <http://valuenet/ontop/access_count> ?T1_access_count . } ORDER BY DESC (?aggregation_all) LIMIT 1
What is the total access count of documents that are of the most common document type?,"PREFIX : <http://valuenet/ontop/>
SELECT (sum( ?T1_access_count) as ?aggregation_T1_access_count_63 ) (count( *) as ?aggregation_all) WHERE { ?T1 a :documents . ?T1 :access_count ?T1_access_count . } ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT (sum( ?T1_access_count) as ?aggregation_T1_access_count_63 ) (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/documents> . ?T1 <http://valuenet/ontop/access_count> ?T1_access_count . } ORDER BY DESC (?aggregation_all) LIMIT 1
What is the average access count of documents?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_access_count) as ?aggregation_T1_access_count_177 ) WHERE { ?T1 a :documents . ?T1 :access_count ?T1_access_count . }",SELECT (avg( ?T1_access_count) as ?aggregation_T1_access_count_177 ) WHERE { ?T1 a <http://valuenet/ontop/documents> . ?T1 <http://valuenet/ontop/access_count> ?T1_access_count . }
Find the average access count across all documents?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_access_count) as ?aggregation_T1_access_count_13 ) WHERE { ?T1 a :documents . ?T1 :access_count ?T1_access_count . }",SELECT (avg( ?T1_access_count) as ?aggregation_T1_access_count_13 ) WHERE { ?T1 a <http://valuenet/ontop/documents> . ?T1 <http://valuenet/ontop/access_count> ?T1_access_count . }
What is the structure of the document with the least number of accesses?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_document_structure_description (count( *) as ?aggregation_all) WHERE { ?T1 a :document_structures . ?T2 a :documents . ?T2 :ref-document_structure_code ?T1 . ?T1 :document_structure_description ?T1_document_structure_description . } GROUP BY ?T1_document_structure_description ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_document_structure_description (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/document_structures> . ?T2 a <http://valuenet/ontop/documents> . ?T2 <http://valuenet/ontop/ref-document_structure_code> ?T1 . ?T1 <http://valuenet/ontop/document_structure_description> ?T1_document_structure_description . } GROUP BY ?T1_document_structure_description ORDER BY DESC (?aggregation_all) LIMIT 1
