nl_question,sparql_partial_uri,sparql_complete_uri
How many counties are there in total?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :county . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/county> . }
Count the total number of counties.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :county . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/county> . }
Show the county name and population of all counties.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_county_name ?T1_population WHERE { ?T1 a :county . ?T1 :county_name ?T1_county_name . ?T1 :population ?T1_population . }",SELECT ?T1_county_name ?T1_population WHERE { ?T1 a <http://valuenet/ontop/county> . ?T1 <http://valuenet/ontop/county_name> ?T1_county_name . ?T1 <http://valuenet/ontop/population> ?T1_population . }
What are the name and population of each county?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_county_name ?T1_population WHERE { ?T1 a :county . ?T1 :county_name ?T1_county_name . ?T1 :population ?T1_population . }",SELECT ?T1_county_name ?T1_population WHERE { ?T1 a <http://valuenet/ontop/county> . ?T1 <http://valuenet/ontop/county_name> ?T1_county_name . ?T1 <http://valuenet/ontop/population> ?T1_population . }
Show the average population of all counties.,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_population) as ?aggregation_T1_population_22 ) WHERE { ?T1 a :county . ?T1 :population ?T1_population . }",SELECT (avg( ?T1_population) as ?aggregation_T1_population_22 ) WHERE { ?T1 a <http://valuenet/ontop/county> . ?T1 <http://valuenet/ontop/population> ?T1_population . }
On average how large is the population of the counties?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_population) as ?aggregation_T1_population_43 ) WHERE { ?T1 a :county . ?T1 :population ?T1_population . }",SELECT (avg( ?T1_population) as ?aggregation_T1_population_43 ) WHERE { ?T1 a <http://valuenet/ontop/county> . ?T1 <http://valuenet/ontop/population> ?T1_population . }
Return the maximum and minimum population among all counties.,"PREFIX : <http://valuenet/ontop/>
SELECT (max( ?T1_population) as ?aggregation_T1_population_80 ) (min( ?T1_population) as ?aggregation_T1_population_182 ) WHERE { ?T1 a :county . ?T1 :population ?T1_population . ?T1 :population ?T1_population . }",SELECT (max( ?T1_population) as ?aggregation_T1_population_80 ) (min( ?T1_population) as ?aggregation_T1_population_182 ) WHERE { ?T1 a <http://valuenet/ontop/county> . ?T1 <http://valuenet/ontop/population> ?T1_population . ?T1 <http://valuenet/ontop/population> ?T1_population . }
What are the maximum and minimum population of the counties?,"PREFIX : <http://valuenet/ontop/>
SELECT (max( ?T1_population) as ?aggregation_T1_population_36 ) (min( ?T1_population) as ?aggregation_T1_population_124 ) WHERE { ?T1 a :county . ?T1 :population ?T1_population . ?T1 :population ?T1_population . }",SELECT (max( ?T1_population) as ?aggregation_T1_population_36 ) (min( ?T1_population) as ?aggregation_T1_population_124 ) WHERE { ?T1 a <http://valuenet/ontop/county> . ?T1 <http://valuenet/ontop/population> ?T1_population . ?T1 <http://valuenet/ontop/population> ?T1_population . }
Show all the distinct districts for elections.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_district WHERE { ?T1 a :election . ?T1 :district ?T1_district . }",SELECT DISTINCT ?T1_district WHERE { ?T1 a <http://valuenet/ontop/election> . ?T1 <http://valuenet/ontop/district> ?T1_district . }
What are the distinct districts for elections?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_district WHERE { ?T1 a :election . ?T1 :district ?T1_district . }",SELECT DISTINCT ?T1_district WHERE { ?T1 a <http://valuenet/ontop/election> . ?T1 <http://valuenet/ontop/district> ?T1_district . }
