nl_question,sparql_partial_uri,sparql_complete_uri
How many companies are headquartered in the US?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :company . ?T1 :headquarters ?T1_headquarters . FILTER(?T1_headquarters = 'USA') . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/company> . ?T1 <http://valuenet/ontop/headquarters> ?T1_headquarters . FILTER(?T1_headquarters = 'USA') . }
List the names of companies by ascending number of sales.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :company . ?T1 :name ?T1_name . ?T1 :sales_in_billion ?T1_sales_in_billion . } ORDER BY ASC (?T1_sales_in_billion)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/company> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/sales_in_billion> ?T1_sales_in_billion . } ORDER BY ASC (?T1_sales_in_billion)
What are the headquarters and industries of all companies?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_headquarters ?T1_industry WHERE { ?T1 a :company . ?T1 :headquarters ?T1_headquarters . ?T1 :industry ?T1_industry . }",SELECT ?T1_headquarters ?T1_industry WHERE { ?T1 a <http://valuenet/ontop/company> . ?T1 <http://valuenet/ontop/headquarters> ?T1_headquarters . ?T1 <http://valuenet/ontop/industry> ?T1_industry . }
Show the names of companies in the banking or retailing industry?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :company . ?T1 :name ?T1_name . ?T1 :industry ?T1_industry . ?T1 :industry ?T1_industry . FILTER(?T1_industry = 'Banking' || ?T1_industry = 'Retailing') . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/company> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/industry> ?T1_industry . ?T1 <http://valuenet/ontop/industry> ?T1_industry . FILTER(?T1_industry = 'Banking' || ?T1_industry = 'Retailing') . }
What is the maximum and minimum market value of companies?,"PREFIX : <http://valuenet/ontop/>
SELECT (max( ?T1_market_value_in_billion) as ?aggregation_T1_market_value_in_billion_142 ) (min( ?T1_market_value_in_billion) as ?aggregation_T1_market_value_in_billion_176 ) WHERE { ?T1 a :company . ?T1 :market_value_in_billion ?T1_market_value_in_billion . ?T1 :market_value_in_billion ?T1_market_value_in_billion . }",SELECT (max( ?T1_market_value_in_billion) as ?aggregation_T1_market_value_in_billion_142 ) (min( ?T1_market_value_in_billion) as ?aggregation_T1_market_value_in_billion_176 ) WHERE { ?T1 a <http://valuenet/ontop/company> . ?T1 <http://valuenet/ontop/market_value_in_billion> ?T1_market_value_in_billion . ?T1 <http://valuenet/ontop/market_value_in_billion> ?T1_market_value_in_billion . }
What is the headquarter of the company with the largest sales?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_headquarters WHERE { ?T1 a :company . ?T1 :headquarters ?T1_headquarters . ?T1 :sales_in_billion ?T1_sales_in_billion . } ORDER BY DESC (?T1_sales_in_billion) LIMIT 1",SELECT ?T1_headquarters WHERE { ?T1 a <http://valuenet/ontop/company> . ?T1 <http://valuenet/ontop/headquarters> ?T1_headquarters . ?T1 <http://valuenet/ontop/sales_in_billion> ?T1_sales_in_billion . } ORDER BY DESC (?T1_sales_in_billion) LIMIT 1
Show the different headquarters and number of companies at each headquarter.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_headquarters (count( *) as ?aggregation_all) WHERE { ?T1 a :company . ?T1 :headquarters ?T1_headquarters . } GROUP BY ?T1_headquarters",SELECT ?T1_headquarters (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/company> . ?T1 <http://valuenet/ontop/headquarters> ?T1_headquarters . } GROUP BY ?T1_headquarters
Show the most common headquarter for companies.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_headquarters (count( *) as ?aggregation_all) WHERE { ?T1 a :company . ?T1 :headquarters ?T1_headquarters . } GROUP BY ?T1_headquarters ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_headquarters (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/company> . ?T1 <http://valuenet/ontop/headquarters> ?T1_headquarters . } GROUP BY ?T1_headquarters ORDER BY DESC (?aggregation_all) LIMIT 1
Show the headquarters that have at least two companies.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_headquarters WHERE { ?T1 a :company . ?T1 :headquarters ?T1_headquarters . } GROUP BY ?T1_headquarters HAVING(count( *) >= 2)",SELECT ?T1_headquarters WHERE { ?T1 a <http://valuenet/ontop/company> . ?T1 <http://valuenet/ontop/headquarters> ?T1_headquarters . } GROUP BY ?T1_headquarters HAVING(count( *) >= 2)
Show the headquarters that have both companies in banking industry and companies in oil and gas industry.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_headquarters WHERE { ?T1 a :company . ?T1 :headquarters ?T1_headquarters . ?T1 :industry ?T1_industry . FILTER(?T1_industry = 'Banking') . FILTER (?T1_headquarters in (?T2_headquarters)) . ?T2 a :company . ?T2 :headquarters ?T2_headquarters . ?T2 :industry ?T2_industry . FILTER(?T2_industry = 'Oil && gas') . }",SELECT DISTINCT ?T1_headquarters WHERE { ?T1 a <http://valuenet/ontop/company> . ?T1 <http://valuenet/ontop/headquarters> ?T1_headquarters . ?T1 <http://valuenet/ontop/industry> ?T1_industry . FILTER(?T1_industry = 'Banking') . FILTER (?T1_headquarters in (?T2_headquarters)) . ?T2 a <http://valuenet/ontop/company> . ?T2 <http://valuenet/ontop/headquarters> ?T2_headquarters . ?T2 <http://valuenet/ontop/industry> ?T2_industry . FILTER(?T2_industry = 'Oil && gas') . }
Show the names of companies and of employees.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T2_name WHERE { ?T1 a :company . ?T13 a :employment . ?T13 :ref-company ?T1 . ?T1 :name ?T1_name . ?T2 :name ?T2_name . ?T2 a :people . ?T13 :ref-people ?T2 . ?T1 :name ?T1_name . ?T2 :name ?T2_name . }",SELECT ?T1_name ?T2_name WHERE { ?T1 a <http://valuenet/ontop/company> . ?T13 a <http://valuenet/ontop/employment> . ?T13 <http://valuenet/ontop/ref-company> ?T1 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T2 <http://valuenet/ontop/name> ?T2_name . ?T2 a <http://valuenet/ontop/people> . ?T13 <http://valuenet/ontop/ref-people> ?T2 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T2 <http://valuenet/ontop/name> ?T2_name . }
