nl_question,sparql_partial_uri,sparql_complete_uri
How many games are held after season 2007?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :game . ?T1 :season ?T1_season . FILTER(?T1_season > 2007) . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/game> . ?T1 <http://valuenet/ontop/season> ?T1_season . FILTER(?T1_season > 2007) . }
List the dates of games by the home team name in descending order.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_date WHERE { ?T1 a :game . ?T1 :date ?T1_date . ?T1 :home_team ?T1_home_team . } ORDER BY DESC (?T1_home_team)",SELECT ?T1_date WHERE { ?T1 a <http://valuenet/ontop/game> . ?T1 <http://valuenet/ontop/date> ?T1_date . ?T1 <http://valuenet/ontop/home_team> ?T1_home_team . } ORDER BY DESC (?T1_home_team)
"List the season, home team, away team of all the games.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_season ?T1_home_team ?T1_away_team WHERE { ?T1 a :game . ?T1 :season ?T1_season . ?T1 :home_team ?T1_home_team . ?T1 :away_team ?T1_away_team . }",SELECT ?T1_season ?T1_home_team ?T1_away_team WHERE { ?T1 a <http://valuenet/ontop/game> . ?T1 <http://valuenet/ontop/season> ?T1_season . ?T1 <http://valuenet/ontop/home_team> ?T1_home_team . ?T1 <http://valuenet/ontop/away_team> ?T1_away_team . }
"What are the maximum, minimum and average home games each stadium held?","PREFIX : <http://valuenet/ontop/>
SELECT (max( ?T1_home_games) as ?aggregation_T1_home_games_8 ) (min( ?T1_home_games) as ?aggregation_T1_home_games_6 ) (avg( ?T1_home_games) as ?aggregation_T1_home_games_175 ) WHERE { ?T1 a :stadium . ?T1 :home_games ?T1_home_games . ?T1 :home_games ?T1_home_games . ?T1 :home_games ?T1_home_games . }",SELECT (max( ?T1_home_games) as ?aggregation_T1_home_games_8 ) (min( ?T1_home_games) as ?aggregation_T1_home_games_6 ) (avg( ?T1_home_games) as ?aggregation_T1_home_games_175 ) WHERE { ?T1 a <http://valuenet/ontop/stadium> . ?T1 <http://valuenet/ontop/home_games> ?T1_home_games . ?T1 <http://valuenet/ontop/home_games> ?T1_home_games . ?T1 <http://valuenet/ontop/home_games> ?T1_home_games . }
What is the average attendance of stadiums with capacity percentage higher than 100%?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_average_attendance WHERE { ?T1 a :stadium . ?T1 :average_attendance ?T1_average_attendance . ?T1 :capacity_percentage ?T1_capacity_percentage . FILTER(?T1_capacity_percentage > 100) . }",SELECT ?T1_average_attendance WHERE { ?T1 a <http://valuenet/ontop/stadium> . ?T1 <http://valuenet/ontop/average_attendance> ?T1_average_attendance . ?T1 <http://valuenet/ontop/capacity_percentage> ?T1_capacity_percentage . FILTER(?T1_capacity_percentage > 100) . }
"What are the player name, number of matches, and information source for players who do not suffer from injury of 'Knee problem'?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_player ?T1_number_of_matches ?T1_source WHERE { ?T1 a :injury_accident . ?T1 :player ?T1_player . ?T1 :number_of_matches ?T1_number_of_matches . ?T1 :source ?T1_source . ?T1 :injury ?T1_injury . FILTER(?T1_injury != 'Knee problem') . }",SELECT ?T1_player ?T1_number_of_matches ?T1_source WHERE { ?T1 a <http://valuenet/ontop/injury_accident> . ?T1 <http://valuenet/ontop/player> ?T1_player . ?T1 <http://valuenet/ontop/number_of_matches> ?T1_number_of_matches . ?T1 <http://valuenet/ontop/source> ?T1_source . ?T1 <http://valuenet/ontop/injury> ?T1_injury . FILTER(?T1_injury != 'Knee problem') . }
What is the season of the game which causes the player 'Walter Samuel' to get injured?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_season WHERE { ?T1 a :game . ?T2 a :injury_accident . ?T2 :ref-game ?T1 . ?T1 :season ?T1_season . ?T2 :player ?T2_player . FILTER(?T2_player = 'Walter Samuel') . }",SELECT ?T1_season WHERE { ?T1 a <http://valuenet/ontop/game> . ?T2 a <http://valuenet/ontop/injury_accident> . ?T2 <http://valuenet/ontop/ref-game> ?T1 . ?T1 <http://valuenet/ontop/season> ?T1_season . ?T2 <http://valuenet/ontop/player> ?T2_player . FILTER(?T2_player = 'Walter Samuel') . }
"What are the ids, scores, and dates of the games which caused at least two injury accidents?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_id ?T1_score ?T1_date WHERE { ?T1 a :game . ?T2 a :injury_accident . ?T2 :ref-game ?T1 . ?T1 :id ?T1_id . ?T1 :score ?T1_score . ?T1 :date ?T1_date . } GROUP BY ?T1_id ?T1_score ?T1_date HAVING(count( *) >= 2)",SELECT ?T1_id ?T1_score ?T1_date WHERE { ?T1 a <http://valuenet/ontop/game> . ?T2 a <http://valuenet/ontop/injury_accident> . ?T2 <http://valuenet/ontop/ref-game> ?T1 . ?T1 <http://valuenet/ontop/id> ?T1_id . ?T1 <http://valuenet/ontop/score> ?T1_score . ?T1 <http://valuenet/ontop/date> ?T1_date . } GROUP BY ?T1_id ?T1_score ?T1_date HAVING(count( *) >= 2)
What are the id and name of the stadium where the most injury accidents happened?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_id (count( *) as ?aggregation_all) ?T1_name WHERE { ?T1 a :stadium . ?T1 :id ?T1_id . ?T1 :name ?T1_name . } GROUP BY ?T1_id ?T1_name ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_id (count( *) as ?aggregation_all) ?T1_name WHERE { ?T1 a <http://valuenet/ontop/stadium> . ?T1 <http://valuenet/ontop/id> ?T1_id . ?T1 <http://valuenet/ontop/name> ?T1_name . } GROUP BY ?T1_id ?T1_name ORDER BY DESC (?aggregation_all) LIMIT 1
Find the id and name of the stadium where the largest number of injury accidents occurred.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_id (count( *) as ?aggregation_all) ?T1_name WHERE { ?T1 a :stadium . ?T1 :id ?T1_id . ?T1 :name ?T1_name . } GROUP BY ?T1_id ?T1_name ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_id (count( *) as ?aggregation_all) ?T1_name WHERE { ?T1 a <http://valuenet/ontop/stadium> . ?T1 <http://valuenet/ontop/id> ?T1_id . ?T1 <http://valuenet/ontop/name> ?T1_name . } GROUP BY ?T1_id ?T1_name ORDER BY DESC (?aggregation_all) LIMIT 1
