nl_question,sparql_partial_uri,sparql_complete_uri
what are the event details of the services that have the type code 'Marriage'?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_event_details WHERE { ?T1 a :events . ?T2 a :services . ?T1 :ref-service ?T2 . ?T1 :event_details ?T1_event_details . ?T2 :service_type_code ?T2_service_type_code . FILTER(?T2_service_type_code = 'Marriage') . }",SELECT ?T1_event_details WHERE { ?T1 a <http://valuenet/ontop/events> . ?T2 a <http://valuenet/ontop/services> . ?T1 <http://valuenet/ontop/ref-service> ?T2 . ?T1 <http://valuenet/ontop/event_details> ?T1_event_details . ?T2 <http://valuenet/ontop/service_type_code> ?T2_service_type_code . FILTER(?T2_service_type_code = 'Marriage') . }
What are the ids and details of events that have more than one participants?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_event_id ?T1_event_details WHERE { ?T1 a :events . ?T2 a :participants_in_events . ?T2 :ref-event ?T1 . ?T1 :event_id ?T1_event_id . ?T1 :event_details ?T1_event_details . } GROUP BY ?T1_event_id ?T1_event_details HAVING(count( *) > 1)",SELECT ?T1_event_id ?T1_event_details WHERE { ?T1 a <http://valuenet/ontop/events> . ?T2 a <http://valuenet/ontop/participants_in_events> . ?T2 <http://valuenet/ontop/ref-event> ?T1 . ?T1 <http://valuenet/ontop/event_id> ?T1_event_id . ?T1 <http://valuenet/ontop/event_details> ?T1_event_details . } GROUP BY ?T1_event_id ?T1_event_details HAVING(count( *) > 1)
"How many events have each participants attended? List the participant id, type and the number.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_participant_id ?T1_participant_type_code (count( *) as ?aggregation_all) WHERE { ?T1 a :participants . ?T2 a :participants_in_events . ?T2 :ref-participant ?T1 . ?T1 :participant_id ?T1_participant_id . ?T1 :participant_type_code ?T1_participant_type_code . } GROUP BY ?T1_participant_id ?T1_participant_type_code",SELECT ?T1_participant_id ?T1_participant_type_code (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/participants> . ?T2 a <http://valuenet/ontop/participants_in_events> . ?T2 <http://valuenet/ontop/ref-participant> ?T1 . ?T1 <http://valuenet/ontop/participant_id> ?T1_participant_id . ?T1 <http://valuenet/ontop/participant_type_code> ?T1_participant_type_code . } GROUP BY ?T1_participant_id ?T1_participant_type_code
"What are all the the participant ids, type code and details?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_participant_id ?T1_participant_type_code ?T1_participant_details WHERE { ?T1 a :participants . ?T1 :participant_id ?T1_participant_id . ?T1 :participant_type_code ?T1_participant_type_code . ?T1 :participant_details ?T1_participant_details . }",SELECT ?T1_participant_id ?T1_participant_type_code ?T1_participant_details WHERE { ?T1 a <http://valuenet/ontop/participants> . ?T1 <http://valuenet/ontop/participant_id> ?T1_participant_id . ?T1 <http://valuenet/ontop/participant_type_code> ?T1_participant_type_code . ?T1 <http://valuenet/ontop/participant_details> ?T1_participant_details . }
How many participants belong to the type 'Organizer'?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :participants . ?T1 :participant_type_code ?T1_participant_type_code . FILTER(?T1_participant_type_code = 'Organizer') . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/participants> . ?T1 <http://valuenet/ontop/participant_type_code> ?T1_participant_type_code . FILTER(?T1_participant_type_code = 'Organizer') . }
List the type of the services in alphabetical order.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_service_type_code WHERE { ?T1 a :services . ?T1 :service_type_code ?T1_service_type_code . ?T1 :service_type_code ?T1_service_type_code . } ORDER BY ASC (?T1_service_type_code)",SELECT ?T1_service_type_code WHERE { ?T1 a <http://valuenet/ontop/services> . ?T1 <http://valuenet/ontop/service_type_code> ?T1_service_type_code . ?T1 <http://valuenet/ontop/service_type_code> ?T1_service_type_code . } ORDER BY ASC (?T1_service_type_code)
List the service id and details for the events.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_service_id ?T1_event_details WHERE { ?T1 a :events . ?T1 :service_id ?T1_service_id . ?T1 :event_details ?T1_event_details . }",SELECT ?T1_service_id ?T1_event_details WHERE { ?T1 a <http://valuenet/ontop/events> . ?T1 <http://valuenet/ontop/service_id> ?T1_service_id . ?T1 <http://valuenet/ontop/event_details> ?T1_event_details . }
How many events had participants whose details had the substring 'Dr.',"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :participants_in_events . ?T2 a :participants . ?T1 :ref-participant ?T2 . ?T2 :participant_details ?T2_participant_details . FILTER(contains (?T2_participant_details, 'Dr.')) . }","SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/participants_in_events> . ?T2 a <http://valuenet/ontop/participants> . ?T1 <http://valuenet/ontop/ref-participant> ?T2 . ?T2 <http://valuenet/ontop/participant_details> ?T2_participant_details . FILTER(contains (?T2_participant_details, 'Dr.')) . }"
What is the most common participant type?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_participant_type_code (count( *) as ?aggregation_all) WHERE { ?T1 a :participants . ?T1 :participant_type_code ?T1_participant_type_code . } GROUP BY ?T1_participant_type_code ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_participant_type_code (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/participants> . ?T1 <http://valuenet/ontop/participant_type_code> ?T1_participant_type_code . } GROUP BY ?T1_participant_type_code ORDER BY DESC (?aggregation_all) LIMIT 1
Which service id and type has the least number of participants?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_service_id (count( *) as ?aggregation_all) ?T2_service_type_code WHERE { ?T1 a :events . ?T2 a :services . ?T1 :ref-service ?T2 . ?T1 :service_id ?T1_service_id . ?T2 :service_type_code ?T2_service_type_code . ?T14 a :participants_in_events . ?T14 :ref-event ?T1 . ?T1 :service_id ?T1_service_id . ?T2 :service_type_code ?T2_service_type_code . } GROUP BY ?T1_service_id ?T2_service_type_code ORDER BY ASC (?aggregation_all) LIMIT 1",SELECT ?T1_service_id (count( *) as ?aggregation_all) ?T2_service_type_code WHERE { ?T1 a <http://valuenet/ontop/events> . ?T2 a <http://valuenet/ontop/services> . ?T1 <http://valuenet/ontop/ref-service> ?T2 . ?T1 <http://valuenet/ontop/service_id> ?T1_service_id . ?T2 <http://valuenet/ontop/service_type_code> ?T2_service_type_code . ?T14 a <http://valuenet/ontop/participants_in_events> . ?T14 <http://valuenet/ontop/ref-event> ?T1 . ?T1 <http://valuenet/ontop/service_id> ?T1_service_id . ?T2 <http://valuenet/ontop/service_type_code> ?T2_service_type_code . } GROUP BY ?T1_service_id ?T2_service_type_code ORDER BY ASC (?aggregation_all) LIMIT 1
