nl_question,sparql_partial_uri,sparql_complete_uri
How many kinds of enzymes are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :enzyme . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/enzyme> . }
What is the total count of enzymes?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :enzyme . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/enzyme> . }
List the name of enzymes in descending lexicographical order.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :enzyme . ?T1 :name ?T1_name . ?T1 :name ?T1_name . } ORDER BY DESC (?T1_name)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/enzyme> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/name> ?T1_name . } ORDER BY DESC (?T1_name)
What are the names of enzymes in descending order?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :enzyme . ?T1 :name ?T1_name . ?T1 :name ?T1_name . } ORDER BY DESC (?T1_name)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/enzyme> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/name> ?T1_name . } ORDER BY DESC (?T1_name)
List the names and the locations that the enzymes can make an effect.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_location WHERE { ?T1 a :enzyme . ?T1 :name ?T1_name . ?T1 :location ?T1_location . }",SELECT ?T1_name ?T1_location WHERE { ?T1 a <http://valuenet/ontop/enzyme> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/location> ?T1_location . }
What are the names and locations of all enzymes listed?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_location WHERE { ?T1 a :enzyme . ?T1 :name ?T1_name . ?T1 :location ?T1_location . }",SELECT ?T1_name ?T1_location WHERE { ?T1 a <http://valuenet/ontop/enzyme> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/location> ?T1_location . }
What is the maximum Online Mendelian Inheritance in Man (OMIM) value of the enzymes?,"PREFIX : <http://valuenet/ontop/>
SELECT (max( ?T1_omim) as ?aggregation_T1_omim_12 ) WHERE { ?T1 a :enzyme . ?T1 :omim ?T1_omim . }",SELECT (max( ?T1_omim) as ?aggregation_T1_omim_12 ) WHERE { ?T1 a <http://valuenet/ontop/enzyme> . ?T1 <http://valuenet/ontop/omim> ?T1_omim . }
What is the maximum OMIM value in the database?,"PREFIX : <http://valuenet/ontop/>
SELECT (max( ?T1_omim) as ?aggregation_T1_omim_71 ) WHERE { ?T1 a :enzyme . ?T1 :omim ?T1_omim . }",SELECT (max( ?T1_omim) as ?aggregation_T1_omim_71 ) WHERE { ?T1 a <http://valuenet/ontop/enzyme> . ?T1 <http://valuenet/ontop/omim> ?T1_omim . }
"What is the product, chromosome and porphyria related to the enzymes which take effect at the location 'Cytosol'?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_product ?T1_chromosome ?T1_porphyria WHERE { ?T1 a :enzyme . ?T1 :product ?T1_product . ?T1 :chromosome ?T1_chromosome . ?T1 :porphyria ?T1_porphyria . ?T1 :location ?T1_location . FILTER(?T1_location = 'Cytosol') . }",SELECT ?T1_product ?T1_chromosome ?T1_porphyria WHERE { ?T1 a <http://valuenet/ontop/enzyme> . ?T1 <http://valuenet/ontop/product> ?T1_product . ?T1 <http://valuenet/ontop/chromosome> ?T1_chromosome . ?T1 <http://valuenet/ontop/porphyria> ?T1_porphyria . ?T1 <http://valuenet/ontop/location> ?T1_location . FILTER(?T1_location = 'Cytosol') . }
"What is the product, chromosome, and porphyria of the enzymes located at 'Cytosol'?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_product ?T1_chromosome ?T1_porphyria WHERE { ?T1 a :enzyme . ?T1 :product ?T1_product . ?T1 :chromosome ?T1_chromosome . ?T1 :porphyria ?T1_porphyria . ?T1 :location ?T1_location . FILTER(?T1_location = 'Cytosol') . }",SELECT ?T1_product ?T1_chromosome ?T1_porphyria WHERE { ?T1 a <http://valuenet/ontop/enzyme> . ?T1 <http://valuenet/ontop/product> ?T1_product . ?T1 <http://valuenet/ontop/chromosome> ?T1_chromosome . ?T1 <http://valuenet/ontop/porphyria> ?T1_porphyria . ?T1 <http://valuenet/ontop/location> ?T1_location . FILTER(?T1_location = 'Cytosol') . }
