nl_question,sparql_partial_uri,sparql_complete_uri
How many aircrafts are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :aircraft . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/aircraft> . }
What is the number of aircraft?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :aircraft . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/aircraft> . }
List the description of all aircrafts.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_description WHERE { ?T1 a :aircraft . ?T1 :description ?T1_description . }",SELECT ?T1_description WHERE { ?T1 a <http://valuenet/ontop/aircraft> . ?T1 <http://valuenet/ontop/description> ?T1_description . }
What are the descriptions for the aircrafts?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_description WHERE { ?T1 a :aircraft . ?T1 :description ?T1_description . }",SELECT ?T1_description WHERE { ?T1 a <http://valuenet/ontop/aircraft> . ?T1 <http://valuenet/ontop/description> ?T1_description . }
What is the average number of international passengers of all airports?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_international_passengers) as ?aggregation_T1_international_passengers_40 ) WHERE { ?T1 a :airport . ?T1 :international_passengers ?T1_international_passengers . }",SELECT (avg( ?T1_international_passengers) as ?aggregation_T1_international_passengers_40 ) WHERE { ?T1 a <http://valuenet/ontop/airport> . ?T1 <http://valuenet/ontop/international_passengers> ?T1_international_passengers . }
What is the average number of international passengers for an airport?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_international_passengers) as ?aggregation_T1_international_passengers_139 ) WHERE { ?T1 a :airport . ?T1 :international_passengers ?T1_international_passengers . }",SELECT (avg( ?T1_international_passengers) as ?aggregation_T1_international_passengers_139 ) WHERE { ?T1 a <http://valuenet/ontop/airport> . ?T1 <http://valuenet/ontop/international_passengers> ?T1_international_passengers . }
What are the number of international and domestic passengers of the airport named London 'Heathrow'?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_international_passengers ?T1_domestic_passengers WHERE { ?T1 a :airport . ?T1 :international_passengers ?T1_international_passengers . ?T1 :domestic_passengers ?T1_domestic_passengers . ?T1 :airport_name ?T1_airport_name . FILTER(?T1_airport_name = 'London Heathrow') . }",SELECT ?T1_international_passengers ?T1_domestic_passengers WHERE { ?T1 a <http://valuenet/ontop/airport> . ?T1 <http://valuenet/ontop/international_passengers> ?T1_international_passengers . ?T1 <http://valuenet/ontop/domestic_passengers> ?T1_domestic_passengers . ?T1 <http://valuenet/ontop/airport_name> ?T1_airport_name . FILTER(?T1_airport_name = 'London Heathrow') . }
How many international and domestic passengers are there in the airport London Heathrow?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_international_passengers ?T1_domestic_passengers WHERE { ?T1 a :airport . ?T1 :international_passengers ?T1_international_passengers . ?T1 :domestic_passengers ?T1_domestic_passengers . ?T1 :airport_name ?T1_airport_name . FILTER(?T1_airport_name = 'London Heathrow') . }",SELECT ?T1_international_passengers ?T1_domestic_passengers WHERE { ?T1 a <http://valuenet/ontop/airport> . ?T1 <http://valuenet/ontop/international_passengers> ?T1_international_passengers . ?T1 <http://valuenet/ontop/domestic_passengers> ?T1_domestic_passengers . ?T1 <http://valuenet/ontop/airport_name> ?T1_airport_name . FILTER(?T1_airport_name = 'London Heathrow') . }
What are the total number of Domestic Passengers of airports that contain the word 'London'.,"PREFIX : <http://valuenet/ontop/>
SELECT (sum( ?T1_domestic_passengers) as ?aggregation_T1_domestic_passengers_69 ) WHERE { ?T1 a :airport . ?T1 :domestic_passengers ?T1_domestic_passengers . ?T1 :airport_name ?T1_airport_name . FILTER(contains (?T1_airport_name, 'London')) . }","SELECT (sum( ?T1_domestic_passengers) as ?aggregation_T1_domestic_passengers_69 ) WHERE { ?T1 a <http://valuenet/ontop/airport> . ?T1 <http://valuenet/ontop/domestic_passengers> ?T1_domestic_passengers . ?T1 <http://valuenet/ontop/airport_name> ?T1_airport_name . FILTER(contains (?T1_airport_name, 'London')) . }"
What are the total number of domestic passengers at all London airports?,"PREFIX : <http://valuenet/ontop/>
SELECT (sum( ?T1_domestic_passengers) as ?aggregation_T1_domestic_passengers_122 ) WHERE { ?T1 a :airport . ?T1 :domestic_passengers ?T1_domestic_passengers . ?T1 :airport_name ?T1_airport_name . FILTER(contains (?T1_airport_name, 'London')) . }","SELECT (sum( ?T1_domestic_passengers) as ?aggregation_T1_domestic_passengers_122 ) WHERE { ?T1 a <http://valuenet/ontop/airport> . ?T1 <http://valuenet/ontop/domestic_passengers> ?T1_domestic_passengers . ?T1 <http://valuenet/ontop/airport_name> ?T1_airport_name . FILTER(contains (?T1_airport_name, 'London')) . }"
