nl_question,sparql_partial_uri,sparql_complete_uri
How many heads of the departments are older than 56 ?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :head . ?T1 :age ?T1_age . FILTER(?T1_age > 56) . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/head> . ?T1 <http://valuenet/ontop/age> ?T1_age . FILTER(?T1_age > 56) . }
"List the name, born state and age of the heads of departments ordered by age.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_born_state ?T1_age WHERE { ?T1 a :head . ?T1 :name ?T1_name . ?T1 :born_state ?T1_born_state . ?T1 :age ?T1_age . ?T1 :age ?T1_age . } ORDER BY ASC (?T1_age)",SELECT ?T1_name ?T1_born_state ?T1_age WHERE { ?T1 a <http://valuenet/ontop/head> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/born_state> ?T1_born_state . ?T1 <http://valuenet/ontop/age> ?T1_age . ?T1 <http://valuenet/ontop/age> ?T1_age . } ORDER BY ASC (?T1_age)
"List the creation year, name and budget of each department.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_creation ?T1_name ?T1_budget_in_billions WHERE { ?T1 a :department . ?T1 :creation ?T1_creation . ?T1 :name ?T1_name . ?T1 :budget_in_billions ?T1_budget_in_billions . }",SELECT ?T1_creation ?T1_name ?T1_budget_in_billions WHERE { ?T1 a <http://valuenet/ontop/department> . ?T1 <http://valuenet/ontop/creation> ?T1_creation . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/budget_in_billions> ?T1_budget_in_billions . }
What are the maximum and minimum budget of the departments?,"PREFIX : <http://valuenet/ontop/>
SELECT (max( ?T1_budget_in_billions) as ?aggregation_T1_budget_in_billions_186 ) (min( ?T1_budget_in_billions) as ?aggregation_T1_budget_in_billions_121 ) WHERE { ?T1 a :department . ?T1 :budget_in_billions ?T1_budget_in_billions . ?T1 :budget_in_billions ?T1_budget_in_billions . }",SELECT (max( ?T1_budget_in_billions) as ?aggregation_T1_budget_in_billions_186 ) (min( ?T1_budget_in_billions) as ?aggregation_T1_budget_in_billions_121 ) WHERE { ?T1 a <http://valuenet/ontop/department> . ?T1 <http://valuenet/ontop/budget_in_billions> ?T1_budget_in_billions . ?T1 <http://valuenet/ontop/budget_in_billions> ?T1_budget_in_billions . }
What is the average number of employees of the departments whose rank is between 10 and 15?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_num_employees) as ?aggregation_T1_num_employees_138 ) WHERE { ?T1 a :department . ?T1 :num_employees ?T1_num_employees . ?T1 :ranking ?T1_ranking . FILTER(?T1_ranking >= 10 && ?T1_ranking <= 15) . }",SELECT (avg( ?T1_num_employees) as ?aggregation_T1_num_employees_138 ) WHERE { ?T1 a <http://valuenet/ontop/department> . ?T1 <http://valuenet/ontop/num_employees> ?T1_num_employees . ?T1 <http://valuenet/ontop/ranking> ?T1_ranking . FILTER(?T1_ranking >= 10 && ?T1_ranking <= 15) . }
What are the names of the heads who are born outside the California state?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :head . ?T1 :name ?T1_name . ?T1 :born_state ?T1_born_state . FILTER(?T1_born_state != 'California') . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/head> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/born_state> ?T1_born_state . FILTER(?T1_born_state != 'California') . }
What are the distinct creation years of the departments managed by a secretary born in state 'Alabama'?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_creation WHERE { ?T1 a :department . ?T13 a :management . ?T13 :ref-department ?T1 . ?T1 :creation ?T1_creation . ?T2 :born_state ?T2_born_state . ?T2 a :head . ?T13 :ref-head ?T2 . ?T1 :creation ?T1_creation . ?T2 :born_state ?T2_born_state . FILTER(?T2_born_state = 'Alabama') . }",SELECT DISTINCT ?T1_creation WHERE { ?T1 a <http://valuenet/ontop/department> . ?T13 a <http://valuenet/ontop/management> . ?T13 <http://valuenet/ontop/ref-department> ?T1 . ?T1 <http://valuenet/ontop/creation> ?T1_creation . ?T2 <http://valuenet/ontop/born_state> ?T2_born_state . ?T2 a <http://valuenet/ontop/head> . ?T13 <http://valuenet/ontop/ref-head> ?T2 . ?T1 <http://valuenet/ontop/creation> ?T1_creation . ?T2 <http://valuenet/ontop/born_state> ?T2_born_state . FILTER(?T2_born_state = 'Alabama') . }
What are the names of the states where at least 3 heads were born?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_born_state WHERE { ?T1 a :head . ?T1 :born_state ?T1_born_state . } GROUP BY ?T1_born_state HAVING(count( *) >= 3)",SELECT ?T1_born_state WHERE { ?T1 a <http://valuenet/ontop/head> . ?T1 <http://valuenet/ontop/born_state> ?T1_born_state . } GROUP BY ?T1_born_state HAVING(count( *) >= 3)
In which year were most departments established?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_creation (count( *) as ?aggregation_all) WHERE { ?T1 a :department . ?T1 :creation ?T1_creation . } GROUP BY ?T1_creation ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_creation (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/department> . ?T1 <http://valuenet/ontop/creation> ?T1_creation . } GROUP BY ?T1_creation ORDER BY DESC (?aggregation_all) LIMIT 1
Show the name and number of employees for the departments managed by heads whose temporary acting value is 'Yes'?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_num_employees WHERE { ?T1 a :department . ?T2 a :management . ?T2 :ref-department ?T1 . ?T1 :name ?T1_name . ?T1 :num_employees ?T1_num_employees . ?T2 :temporary_acting ?T2_temporary_acting . FILTER(?T2_temporary_acting = 'Yes') . }",SELECT ?T1_name ?T1_num_employees WHERE { ?T1 a <http://valuenet/ontop/department> . ?T2 a <http://valuenet/ontop/management> . ?T2 <http://valuenet/ontop/ref-department> ?T1 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/num_employees> ?T1_num_employees . ?T2 <http://valuenet/ontop/temporary_acting> ?T2_temporary_acting . FILTER(?T2_temporary_acting = 'Yes') . }
