nl_question,sparql_partial_uri,sparql_complete_uri
How many residents does each property have? List property id and resident count.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_property_id (count( *) as ?aggregation_all) WHERE { ?T1 a :properties . ?T2 a :residents . ?T2 :ref-property ?T1 . ?T1 :property_id ?T1_property_id . } GROUP BY ?T1_property_id",SELECT ?T1_property_id (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/properties> . ?T2 a <http://valuenet/ontop/residents> . ?T2 <http://valuenet/ontop/ref-property> ?T1 . ?T1 <http://valuenet/ontop/property_id> ?T1_property_id . } GROUP BY ?T1_property_id
What is the distinct service types that are provided by the organization which has detail 'Denesik and Sons Party'?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_service_type_code WHERE { ?T1 a :services . ?T2 a :organizations . ?T1 :ref-organization ?T2 . ?T1 :service_type_code ?T1_service_type_code . ?T2 :organization_details ?T2_organization_details . FILTER(?T2_organization_details = 'Denesik && Sons Party') . }",SELECT DISTINCT ?T1_service_type_code WHERE { ?T1 a <http://valuenet/ontop/services> . ?T2 a <http://valuenet/ontop/organizations> . ?T1 <http://valuenet/ontop/ref-organization> ?T2 . ?T1 <http://valuenet/ontop/service_type_code> ?T1_service_type_code . ?T2 <http://valuenet/ontop/organization_details> ?T2_organization_details . FILTER(?T2_organization_details = 'Denesik && Sons Party') . }
"List the id and type of each thing, and the details of the organization that owns it.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_thing_id ?T1_type_of_thing_code ?T2_organization_details WHERE { ?T1 a :things . ?T2 a :organizations . ?T1 :ref-organization ?T2 . ?T1 :thing_id ?T1_thing_id . ?T1 :type_of_thing_code ?T1_type_of_thing_code . ?T2 :organization_details ?T2_organization_details . }",SELECT ?T1_thing_id ?T1_type_of_thing_code ?T2_organization_details WHERE { ?T1 a <http://valuenet/ontop/things> . ?T2 a <http://valuenet/ontop/organizations> . ?T1 <http://valuenet/ontop/ref-organization> ?T2 . ?T1 <http://valuenet/ontop/thing_id> ?T1_thing_id . ?T1 <http://valuenet/ontop/type_of_thing_code> ?T1_type_of_thing_code . ?T2 <http://valuenet/ontop/organization_details> ?T2_organization_details . }
What are the id and details of the customers who have at least 3 events?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_customer_id ?T1_customer_details WHERE { ?T1 a :customers . ?T2 a :customer_events . ?T2 :ref-customer ?T1 . ?T1 :customer_id ?T1_customer_id . ?T1 :customer_details ?T1_customer_details . } GROUP BY ?T1_customer_id ?T1_customer_details HAVING(count( *) >= 3)",SELECT ?T1_customer_id ?T1_customer_details WHERE { ?T1 a <http://valuenet/ontop/customers> . ?T2 a <http://valuenet/ontop/customer_events> . ?T2 <http://valuenet/ontop/ref-customer> ?T1 . ?T1 <http://valuenet/ontop/customer_id> ?T1_customer_id . ?T1 <http://valuenet/ontop/customer_details> ?T1_customer_details . } GROUP BY ?T1_customer_id ?T1_customer_details HAVING(count( *) >= 3)
"What is each customer's move in date, and the corresponding customer id and details?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_date_moved_in ?T2_customer_id ?T2_customer_details WHERE { ?T1 a :customer_events . ?T2 a :customers . ?T1 :ref-customer ?T2 . ?T1 :date_moved_in ?T1_date_moved_in . ?T2 :customer_id ?T2_customer_id . ?T2 :customer_details ?T2_customer_details . }",SELECT ?T1_date_moved_in ?T2_customer_id ?T2_customer_details WHERE { ?T1 a <http://valuenet/ontop/customer_events> . ?T2 a <http://valuenet/ontop/customers> . ?T1 <http://valuenet/ontop/ref-customer> ?T2 . ?T1 <http://valuenet/ontop/date_moved_in> ?T1_date_moved_in . ?T2 <http://valuenet/ontop/customer_id> ?T2_customer_id . ?T2 <http://valuenet/ontop/customer_details> ?T2_customer_details . }
Which events have the number of notes between one and three? List the event id and the property id.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_customer_event_id ?T1_property_id WHERE { ?T1 a :customer_events . ?T2 a :customer_event_notes . ?T2 :ref-customer_event ?T1 . ?T1 :customer_event_id ?T1_customer_event_id . ?T1 :property_id ?T1_property_id . } GROUP BY ?T1_customer_event_id ?T1_property_id HAVING(count( *) >= 1 && count( *) <= 3)",SELECT ?T1_customer_event_id ?T1_property_id WHERE { ?T1 a <http://valuenet/ontop/customer_events> . ?T2 a <http://valuenet/ontop/customer_event_notes> . ?T2 <http://valuenet/ontop/ref-customer_event> ?T1 . ?T1 <http://valuenet/ontop/customer_event_id> ?T1_customer_event_id . ?T1 <http://valuenet/ontop/property_id> ?T1_property_id . } GROUP BY ?T1_customer_event_id ?T1_property_id HAVING(count( *) >= 1 && count( *) <= 3)
How many distinct locations have the things with service detail 'Unsatisfied' been located in?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_location_code) as ?aggregation_T1_location_code_200 ) WHERE { ?T1 a :timed_locations_of_things . ?T2 a :things . ?T1 :ref-thing ?T2 . ?T1 :location_code ?T1_location_code . ?T2 :service_details ?T2_service_details . FILTER(?T2_service_details = 'Unsatisfied') . }",SELECT DISTINCT (count(DISTINCT ?T1_location_code) as ?aggregation_T1_location_code_200 ) WHERE { ?T1 a <http://valuenet/ontop/timed_locations_of_things> . ?T2 a <http://valuenet/ontop/things> . ?T1 <http://valuenet/ontop/ref-thing> ?T2 . ?T1 <http://valuenet/ontop/location_code> ?T1_location_code . ?T2 <http://valuenet/ontop/service_details> ?T2_service_details . FILTER(?T2_service_details = 'Unsatisfied') . }
How many different status codes of things are there?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_status_of_thing_code) as ?aggregation_T1_status_of_thing_code_75 ) WHERE { ?T1 a :timed_status_of_things . ?T1 :status_of_thing_code ?T1_status_of_thing_code . }",SELECT DISTINCT (count(DISTINCT ?T1_status_of_thing_code) as ?aggregation_T1_status_of_thing_code_75 ) WHERE { ?T1 a <http://valuenet/ontop/timed_status_of_things> . ?T1 <http://valuenet/ontop/status_of_thing_code> ?T1_status_of_thing_code . }
Which organizations are not a parent organization of others? List the organization id.,"PREFIX : <http://valuenet/ontop/>
SELECT distinct?col1 WHERE { { SELECT (?T1_organization_id as ?col1) WHERE { ?T1 a :organizations . ?T1 :organization_id ?T1_organization_id . }} MINUS {SELECT (?T2_parent_organization_id as ?col1) WHERE { ?T2 a :organizations . ?T2 :parent_organization_id ?T2_parent_organization_id . } } }",SELECT distinct?col1 WHERE { { SELECT (?T1_organization_id as ?col1) WHERE { ?T1 a <http://valuenet/ontop/organizations> . ?T1 <http://valuenet/ontop/organization_id> ?T1_organization_id . }} MINUS {SELECT (?T2_parent_organization_id as ?col1) WHERE { ?T2 a <http://valuenet/ontop/organizations> . ?T2 <http://valuenet/ontop/parent_organization_id> ?T2_parent_organization_id . } } }
When is the last day any resident moved in?,"PREFIX : <http://valuenet/ontop/>
SELECT (max( ?T1_date_moved_in) as ?aggregation_T1_date_moved_in_101 ) WHERE { ?T1 a :residents . ?T1 :date_moved_in ?T1_date_moved_in . }",SELECT (max( ?T1_date_moved_in) as ?aggregation_T1_date_moved_in_101 ) WHERE { ?T1 a <http://valuenet/ontop/residents> . ?T1 <http://valuenet/ontop/date_moved_in> ?T1_date_moved_in . }
