nl_question,sparql_partial_uri,sparql_complete_uri
How many gymnasts are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :gymnast . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/gymnast> . }
Count the number of gymnasts.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :gymnast . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/gymnast> . }
List the total points of gymnasts in descending order.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_total_points WHERE { ?T1 a :gymnast . ?T1 :total_points ?T1_total_points . ?T1 :total_points ?T1_total_points . } ORDER BY DESC (?T1_total_points)",SELECT ?T1_total_points WHERE { ?T1 a <http://valuenet/ontop/gymnast> . ?T1 <http://valuenet/ontop/total_points> ?T1_total_points . ?T1 <http://valuenet/ontop/total_points> ?T1_total_points . } ORDER BY DESC (?T1_total_points)
"What are the total points for all gymnasts, ordered by total points descending?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_total_points WHERE { ?T1 a :gymnast . ?T1 :total_points ?T1_total_points . ?T1 :total_points ?T1_total_points . } ORDER BY DESC (?T1_total_points)",SELECT ?T1_total_points WHERE { ?T1 a <http://valuenet/ontop/gymnast> . ?T1 <http://valuenet/ontop/total_points> ?T1_total_points . ?T1 <http://valuenet/ontop/total_points> ?T1_total_points . } ORDER BY DESC (?T1_total_points)
List the total points of gymnasts in descending order of floor exercise points.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_total_points WHERE { ?T1 a :gymnast . ?T1 :total_points ?T1_total_points . ?T1 :floor_exercise_points ?T1_floor_exercise_points . } ORDER BY DESC (?T1_floor_exercise_points)",SELECT ?T1_total_points WHERE { ?T1 a <http://valuenet/ontop/gymnast> . ?T1 <http://valuenet/ontop/total_points> ?T1_total_points . ?T1 <http://valuenet/ontop/floor_exercise_points> ?T1_floor_exercise_points . } ORDER BY DESC (?T1_floor_exercise_points)
"What are the total points of gymnasts, ordered by their floor exercise points descending?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_total_points WHERE { ?T1 a :gymnast . ?T1 :total_points ?T1_total_points . ?T1 :floor_exercise_points ?T1_floor_exercise_points . } ORDER BY DESC (?T1_floor_exercise_points)",SELECT ?T1_total_points WHERE { ?T1 a <http://valuenet/ontop/gymnast> . ?T1 <http://valuenet/ontop/total_points> ?T1_total_points . ?T1 <http://valuenet/ontop/floor_exercise_points> ?T1_floor_exercise_points . } ORDER BY DESC (?T1_floor_exercise_points)
What is the average horizontal bar points for all gymnasts?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_horizontal_bar_points) as ?aggregation_T1_horizontal_bar_points_32 ) WHERE { ?T1 a :gymnast . ?T1 :horizontal_bar_points ?T1_horizontal_bar_points . }",SELECT (avg( ?T1_horizontal_bar_points) as ?aggregation_T1_horizontal_bar_points_32 ) WHERE { ?T1 a <http://valuenet/ontop/gymnast> . ?T1 <http://valuenet/ontop/horizontal_bar_points> ?T1_horizontal_bar_points . }
Return the average horizontal bar points across all gymnasts.,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_horizontal_bar_points) as ?aggregation_T1_horizontal_bar_points_135 ) WHERE { ?T1 a :gymnast . ?T1 :horizontal_bar_points ?T1_horizontal_bar_points . }",SELECT (avg( ?T1_horizontal_bar_points) as ?aggregation_T1_horizontal_bar_points_135 ) WHERE { ?T1 a <http://valuenet/ontop/gymnast> . ?T1 <http://valuenet/ontop/horizontal_bar_points> ?T1_horizontal_bar_points . }
What are the names of people in ascending alphabetical order?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :people . ?T1 :name ?T1_name . ?T1 :name ?T1_name . } ORDER BY ASC (?T1_name)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/people> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/name> ?T1_name . } ORDER BY ASC (?T1_name)
"Return the names of people, ordered alphabetically.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :people . ?T1 :name ?T1_name . ?T1 :name ?T1_name . } ORDER BY ASC (?T1_name)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/people> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/name> ?T1_name . } ORDER BY ASC (?T1_name)
