nl_question,sparql_partial_uri,sparql_complete_uri
How many body builders are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :body_builder . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/body_builder> . }
List the total scores of body builders in ascending order.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_total WHERE { ?T1 a :body_builder . ?T1 :total ?T1_total . ?T1 :total ?T1_total . } ORDER BY ASC (?T1_total)",SELECT ?T1_total WHERE { ?T1 a <http://valuenet/ontop/body_builder> . ?T1 <http://valuenet/ontop/total> ?T1_total . ?T1 <http://valuenet/ontop/total> ?T1_total . } ORDER BY ASC (?T1_total)
List the snatch score and clean jerk score of body builders in ascending order of snatch score.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_snatch ?T1_clean_jerk WHERE { ?T1 a :body_builder . ?T1 :snatch ?T1_snatch . ?T1 :clean_jerk ?T1_clean_jerk . ?T1 :snatch ?T1_snatch . } ORDER BY ASC (?T1_snatch)",SELECT ?T1_snatch ?T1_clean_jerk WHERE { ?T1 a <http://valuenet/ontop/body_builder> . ?T1 <http://valuenet/ontop/snatch> ?T1_snatch . ?T1 <http://valuenet/ontop/clean_jerk> ?T1_clean_jerk . ?T1 <http://valuenet/ontop/snatch> ?T1_snatch . } ORDER BY ASC (?T1_snatch)
What is the average snatch score of body builders?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_snatch) as ?aggregation_T1_snatch_110 ) WHERE { ?T1 a :body_builder . ?T1 :snatch ?T1_snatch . }",SELECT (avg( ?T1_snatch) as ?aggregation_T1_snatch_110 ) WHERE { ?T1 a <http://valuenet/ontop/body_builder> . ?T1 <http://valuenet/ontop/snatch> ?T1_snatch . }
What are the clean and jerk score of the body builder with the highest total score?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_clean_jerk WHERE { ?T1 a :body_builder . ?T1 :clean_jerk ?T1_clean_jerk . ?T1 :total ?T1_total . } ORDER BY DESC (?T1_total) LIMIT 1",SELECT ?T1_clean_jerk WHERE { ?T1 a <http://valuenet/ontop/body_builder> . ?T1 <http://valuenet/ontop/clean_jerk> ?T1_clean_jerk . ?T1 <http://valuenet/ontop/total> ?T1_total . } ORDER BY DESC (?T1_total) LIMIT 1
What are the birthdays of people in ascending order of height?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_birth_date WHERE { ?T1 a :people . ?T1 :birth_date ?T1_birth_date . ?T1 :height ?T1_height . } ORDER BY ASC (?T1_height)",SELECT ?T1_birth_date WHERE { ?T1 a <http://valuenet/ontop/people> . ?T1 <http://valuenet/ontop/birth_date> ?T1_birth_date . ?T1 <http://valuenet/ontop/height> ?T1_height . } ORDER BY ASC (?T1_height)
What are the names of body builders?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :people . ?T1 :name ?T1_name . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/people> . ?T1 <http://valuenet/ontop/name> ?T1_name . }
What are the names of body builders whose total score is higher than 300?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :people . ?T2 a :body_builder . ?T2 :ref-people ?T1 . ?T1 :name ?T1_name . ?T2 :total ?T2_total . FILTER(?T2_total > 300) . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/people> . ?T2 a <http://valuenet/ontop/body_builder> . ?T2 <http://valuenet/ontop/ref-people> ?T1 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T2 <http://valuenet/ontop/total> ?T2_total . FILTER(?T2_total > 300) . }
What is the name of the body builder with the greatest body weight?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :people . ?T1 :name ?T1_name . ?T1 :weight ?T1_weight . } ORDER BY DESC (?T1_weight) LIMIT 1",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/people> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/weight> ?T1_weight . } ORDER BY DESC (?T1_weight) LIMIT 1
What are the birth date and birth place of the body builder with the highest total points?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_birth_date ?T1_birth_place WHERE { ?T1 a :people . ?T2 a :body_builder . ?T2 :ref-people ?T1 . ?T1 :birth_date ?T1_birth_date . ?T1 :birth_place ?T1_birth_place . ?T2 :total ?T2_total . } ORDER BY DESC (?T2_total) LIMIT 1",SELECT ?T1_birth_date ?T1_birth_place WHERE { ?T1 a <http://valuenet/ontop/people> . ?T2 a <http://valuenet/ontop/body_builder> . ?T2 <http://valuenet/ontop/ref-people> ?T1 . ?T1 <http://valuenet/ontop/birth_date> ?T1_birth_date . ?T1 <http://valuenet/ontop/birth_place> ?T1_birth_place . ?T2 <http://valuenet/ontop/total> ?T2_total . } ORDER BY DESC (?T2_total) LIMIT 1
What are the heights of body builders with total score smaller than 315?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_height WHERE { ?T1 a :people . ?T2 a :body_builder . ?T2 :ref-people ?T1 . ?T1 :height ?T1_height . ?T2 :total ?T2_total . FILTER(?T2_total < 315) . }",SELECT ?T1_height WHERE { ?T1 a <http://valuenet/ontop/people> . ?T2 a <http://valuenet/ontop/body_builder> . ?T2 <http://valuenet/ontop/ref-people> ?T1 . ?T1 <http://valuenet/ontop/height> ?T1_height . ?T2 <http://valuenet/ontop/total> ?T2_total . FILTER(?T2_total < 315) . }
What is the average total score of body builders with height bigger than 200?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_total) as ?aggregation_T1_total_70 ) WHERE { ?T1 a :body_builder . ?T2 a :people . ?T1 :ref-people ?T2 . ?T1 :total ?T1_total . ?T2 :height ?T2_height . FILTER(?T2_height > 200) . }",SELECT (avg( ?T1_total) as ?aggregation_T1_total_70 ) WHERE { ?T1 a <http://valuenet/ontop/body_builder> . ?T2 a <http://valuenet/ontop/people> . ?T1 <http://valuenet/ontop/ref-people> ?T2 . ?T1 <http://valuenet/ontop/total> ?T1_total . ?T2 <http://valuenet/ontop/height> ?T2_height . FILTER(?T2_height > 200) . }
What are the names of body builders in descending order of total scores?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :people . ?T2 a :body_builder . ?T2 :ref-people ?T1 . ?T1 :name ?T1_name . ?T2 :total ?T2_total . } ORDER BY DESC (?T2_total)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/people> . ?T2 a <http://valuenet/ontop/body_builder> . ?T2 <http://valuenet/ontop/ref-people> ?T1 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T2 <http://valuenet/ontop/total> ?T2_total . } ORDER BY DESC (?T2_total)
List each birth place along with the number of people from there.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_birth_place (count( *) as ?aggregation_all) WHERE { ?T1 a :people . ?T1 :birth_place ?T1_birth_place . } GROUP BY ?T1_birth_place",SELECT ?T1_birth_place (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/people> . ?T1 <http://valuenet/ontop/birth_place> ?T1_birth_place . } GROUP BY ?T1_birth_place
What is the most common birth place of people?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_birth_place (count( *) as ?aggregation_all) WHERE { ?T1 a :people . ?T1 :birth_place ?T1_birth_place . } GROUP BY ?T1_birth_place ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_birth_place (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/people> . ?T1 <http://valuenet/ontop/birth_place> ?T1_birth_place . } GROUP BY ?T1_birth_place ORDER BY DESC (?aggregation_all) LIMIT 1
What are the birth places that are shared by at least two people?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_birth_place WHERE { ?T1 a :people . ?T1 :birth_place ?T1_birth_place . } GROUP BY ?T1_birth_place HAVING(count( *) >= 2)",SELECT ?T1_birth_place WHERE { ?T1 a <http://valuenet/ontop/people> . ?T1 <http://valuenet/ontop/birth_place> ?T1_birth_place . } GROUP BY ?T1_birth_place HAVING(count( *) >= 2)
List the height and weight of people in descending order of height.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_height ?T1_weight WHERE { ?T1 a :people . ?T1 :height ?T1_height . ?T1 :weight ?T1_weight . ?T1 :height ?T1_height . } ORDER BY DESC (?T1_height)",SELECT ?T1_height ?T1_weight WHERE { ?T1 a <http://valuenet/ontop/people> . ?T1 <http://valuenet/ontop/height> ?T1_height . ?T1 <http://valuenet/ontop/weight> ?T1_weight . ?T1 <http://valuenet/ontop/height> ?T1_height . } ORDER BY DESC (?T1_height)
Show all information about each body builder.,"PREFIX : <http://valuenet/ontop/>
SELECT * WHERE { ?T1 a :body_builder . }",SELECT * WHERE { ?T1 a <http://valuenet/ontop/body_builder> . }
List the names and origins of people who are not body builders.,"PREFIX : <http://valuenet/ontop/>
SELECT distinct?col1?col2 WHERE { { SELECT (?T1_name as ?col1) (?T1_birth_place as ?col2) WHERE { ?T1 a :people . ?T1 :name ?T1_name . ?T1 :birth_place ?T1_birth_place . }} MINUS {SELECT (?T2_name as ?col1) (?T2_birth_place as ?col2) WHERE { ?T2 a :people . ?T2 :name ?T2_name . ?T2 :birth_place ?T2_birth_place . } } }",SELECT distinct?col1?col2 WHERE { { SELECT (?T1_name as ?col1) (?T1_birth_place as ?col2) WHERE { ?T1 a <http://valuenet/ontop/people> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/birth_place> ?T1_birth_place . }} MINUS {SELECT (?T2_name as ?col1) (?T2_birth_place as ?col2) WHERE { ?T2 a <http://valuenet/ontop/people> . ?T2 <http://valuenet/ontop/name> ?T2_name . ?T2 <http://valuenet/ontop/birth_place> ?T2_birth_place . } } }
