nl_question,sparql_partial_uri,sparql_complete_uri
How many clubs are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :club . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/club> . }
What is the total number of clubs?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :club . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/club> . }
List the distinct region of clubs in ascending alphabetical order.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_region WHERE { ?T1 a :club . ?T1 :region ?T1_region . ?T1 :region ?T1_region . } ORDER BY ASC (?T1_region)",SELECT DISTINCT ?T1_region WHERE { ?T1 a <http://valuenet/ontop/club> . ?T1 <http://valuenet/ontop/region> ?T1_region . ?T1 <http://valuenet/ontop/region> ?T1_region . } ORDER BY ASC (?T1_region)
What are the different regions of clubs in ascending alphabetical order?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_region WHERE { ?T1 a :club . ?T1 :region ?T1_region . ?T1 :region ?T1_region . } ORDER BY ASC (?T1_region)",SELECT DISTINCT ?T1_region WHERE { ?T1 a <http://valuenet/ontop/club> . ?T1 <http://valuenet/ontop/region> ?T1_region . ?T1 <http://valuenet/ontop/region> ?T1_region . } ORDER BY ASC (?T1_region)
What is the average number of gold medals for clubs?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_gold) as ?aggregation_T1_gold_22 ) WHERE { ?T1 a :club_rank . ?T1 :gold ?T1_gold . }",SELECT (avg( ?T1_gold) as ?aggregation_T1_gold_22 ) WHERE { ?T1 a <http://valuenet/ontop/club_rank> . ?T1 <http://valuenet/ontop/gold> ?T1_gold . }
What is the average number of gold medals for a club?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_gold) as ?aggregation_T1_gold_112 ) WHERE { ?T1 a :club_rank . ?T1 :gold ?T1_gold . }",SELECT (avg( ?T1_gold) as ?aggregation_T1_gold_112 ) WHERE { ?T1 a <http://valuenet/ontop/club_rank> . ?T1 <http://valuenet/ontop/gold> ?T1_gold . }
What are the types and countries of competitions?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_competition_type ?T1_country WHERE { ?T1 a :competition . ?T1 :competition_type ?T1_competition_type . ?T1 :country ?T1_country . }",SELECT ?T1_competition_type ?T1_country WHERE { ?T1 a <http://valuenet/ontop/competition> . ?T1 <http://valuenet/ontop/competition_type> ?T1_competition_type . ?T1 <http://valuenet/ontop/country> ?T1_country . }
What are the types of every competition and in which countries are they located?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_competition_type ?T1_country WHERE { ?T1 a :competition . ?T1 :competition_type ?T1_competition_type . ?T1 :country ?T1_country . }",SELECT ?T1_competition_type ?T1_country WHERE { ?T1 a <http://valuenet/ontop/competition> . ?T1 <http://valuenet/ontop/competition_type> ?T1_competition_type . ?T1 <http://valuenet/ontop/country> ?T1_country . }
What are the distinct years in which the competitions type is not 'Tournament'?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_year WHERE { ?T1 a :competition . ?T1 :year ?T1_year . ?T1 :competition_type ?T1_competition_type . FILTER(?T1_competition_type != 'Tournament') . }",SELECT DISTINCT ?T1_year WHERE { ?T1 a <http://valuenet/ontop/competition> . ?T1 <http://valuenet/ontop/year> ?T1_year . ?T1 <http://valuenet/ontop/competition_type> ?T1_competition_type . FILTER(?T1_competition_type != 'Tournament') . }
What are the different years for all competitions that are not of type equal to tournament?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_year WHERE { ?T1 a :competition . ?T1 :year ?T1_year . ?T1 :competition_type ?T1_competition_type . FILTER(?T1_competition_type != 'Tournament') . }",SELECT DISTINCT ?T1_year WHERE { ?T1 a <http://valuenet/ontop/competition> . ?T1 <http://valuenet/ontop/year> ?T1_year . ?T1 <http://valuenet/ontop/competition_type> ?T1_competition_type . FILTER(?T1_competition_type != 'Tournament') . }
What are the maximum and minimum number of silver medals for clubs.,"PREFIX : <http://valuenet/ontop/>
SELECT (max( ?T1_silver) as ?aggregation_T1_silver_157 ) (min( ?T1_silver) as ?aggregation_T1_silver_76 ) WHERE { ?T1 a :club_rank . ?T1 :silver ?T1_silver . ?T1 :silver ?T1_silver . }",SELECT (max( ?T1_silver) as ?aggregation_T1_silver_157 ) (min( ?T1_silver) as ?aggregation_T1_silver_76 ) WHERE { ?T1 a <http://valuenet/ontop/club_rank> . ?T1 <http://valuenet/ontop/silver> ?T1_silver . ?T1 <http://valuenet/ontop/silver> ?T1_silver . }
What are the maximum and minimum number of silver medals for all the clubs?,"PREFIX : <http://valuenet/ontop/>
SELECT (max( ?T1_silver) as ?aggregation_T1_silver_115 ) (min( ?T1_silver) as ?aggregation_T1_silver_43 ) WHERE { ?T1 a :club_rank . ?T1 :silver ?T1_silver . ?T1 :silver ?T1_silver . }",SELECT (max( ?T1_silver) as ?aggregation_T1_silver_115 ) (min( ?T1_silver) as ?aggregation_T1_silver_43 ) WHERE { ?T1 a <http://valuenet/ontop/club_rank> . ?T1 <http://valuenet/ontop/silver> ?T1_silver . ?T1 <http://valuenet/ontop/silver> ?T1_silver . }
How many clubs have total medals less than 10?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :club_rank . ?T1 :total ?T1_total . FILTER(?T1_total < 10) . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/club_rank> . ?T1 <http://valuenet/ontop/total> ?T1_total . FILTER(?T1_total < 10) . }
