nl_question,sparql_partial_uri,sparql_complete_uri
How many allergies are there?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_allergy) as ?aggregation_T1_allergy_51 ) WHERE { ?T1 a :allergy_type . ?T1 :allergy ?T1_allergy . }",SELECT DISTINCT (count(DISTINCT ?T1_allergy) as ?aggregation_T1_allergy_51 ) WHERE { ?T1 a <http://valuenet/ontop/allergy_type> . ?T1 <http://valuenet/ontop/allergy> ?T1_allergy . }
How many allergy entries are there?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_allergy) as ?aggregation_T1_allergy_35 ) WHERE { ?T1 a :allergy_type . ?T1 :allergy ?T1_allergy . }",SELECT DISTINCT (count(DISTINCT ?T1_allergy) as ?aggregation_T1_allergy_35 ) WHERE { ?T1 a <http://valuenet/ontop/allergy_type> . ?T1 <http://valuenet/ontop/allergy> ?T1_allergy . }
How many different allergy types exist?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_allergytype) as ?aggregation_T1_allergytype_44 ) WHERE { ?T1 a :allergy_type . ?T1 :allergytype ?T1_allergytype . }",SELECT DISTINCT (count(DISTINCT ?T1_allergytype) as ?aggregation_T1_allergytype_44 ) WHERE { ?T1 a <http://valuenet/ontop/allergy_type> . ?T1 <http://valuenet/ontop/allergytype> ?T1_allergytype . }
How many distinct allergies are there?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_allergytype) as ?aggregation_T1_allergytype_135 ) WHERE { ?T1 a :allergy_type . ?T1 :allergytype ?T1_allergytype . }",SELECT DISTINCT (count(DISTINCT ?T1_allergytype) as ?aggregation_T1_allergytype_135 ) WHERE { ?T1 a <http://valuenet/ontop/allergy_type> . ?T1 <http://valuenet/ontop/allergytype> ?T1_allergytype . }
Show all allergy types.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_allergytype WHERE { ?T1 a :allergy_type . ?T1 :allergytype ?T1_allergytype . }",SELECT DISTINCT ?T1_allergytype WHERE { ?T1 a <http://valuenet/ontop/allergy_type> . ?T1 <http://valuenet/ontop/allergytype> ?T1_allergytype . }
What are the different allergy types?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_allergytype WHERE { ?T1 a :allergy_type . ?T1 :allergytype ?T1_allergytype . }",SELECT DISTINCT ?T1_allergytype WHERE { ?T1 a <http://valuenet/ontop/allergy_type> . ?T1 <http://valuenet/ontop/allergytype> ?T1_allergytype . }
Show all allergies and their types.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_allergy ?T1_allergytype WHERE { ?T1 a :allergy_type . ?T1 :allergy ?T1_allergy . ?T1 :allergytype ?T1_allergytype . }",SELECT ?T1_allergy ?T1_allergytype WHERE { ?T1 a <http://valuenet/ontop/allergy_type> . ?T1 <http://valuenet/ontop/allergy> ?T1_allergy . ?T1 <http://valuenet/ontop/allergytype> ?T1_allergytype . }
What are the allergies and their types?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_allergy ?T1_allergytype WHERE { ?T1 a :allergy_type . ?T1 :allergy ?T1_allergy . ?T1 :allergytype ?T1_allergytype . }",SELECT ?T1_allergy ?T1_allergytype WHERE { ?T1 a <http://valuenet/ontop/allergy_type> . ?T1 <http://valuenet/ontop/allergy> ?T1_allergy . ?T1 <http://valuenet/ontop/allergytype> ?T1_allergytype . }
Show all allergies with type food.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_allergy WHERE { ?T1 a :allergy_type . ?T1 :allergy ?T1_allergy . ?T1 :allergytype ?T1_allergytype . FILTER(?T1_allergytype = 'food') . }",SELECT DISTINCT ?T1_allergy WHERE { ?T1 a <http://valuenet/ontop/allergy_type> . ?T1 <http://valuenet/ontop/allergy> ?T1_allergy . ?T1 <http://valuenet/ontop/allergytype> ?T1_allergytype . FILTER(?T1_allergytype = 'food') . }
What are all the different food allergies?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_allergy WHERE { ?T1 a :allergy_type . ?T1 :allergy ?T1_allergy . ?T1 :allergytype ?T1_allergytype . FILTER(?T1_allergytype = 'food') . }",SELECT DISTINCT ?T1_allergy WHERE { ?T1 a <http://valuenet/ontop/allergy_type> . ?T1 <http://valuenet/ontop/allergy> ?T1_allergy . ?T1 <http://valuenet/ontop/allergytype> ?T1_allergytype . FILTER(?T1_allergytype = 'food') . }
