nl_question,sparql_partial_uri,sparql_complete_uri
How many regions do we have?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :region . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/region> . }
Count the number of regions.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :region . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/region> . }
Show all distinct region names ordered by their labels.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_region_name ?T1_label WHERE { ?T1 a :region . ?T1 :region_name ?T1_region_name . ?T1 :has_label ?T1_label . ?T1 :has_label ?T1_label . } ORDER BY ASC (?T1_label)",SELECT DISTINCT ?T1_region_name ?T1_label WHERE { ?T1 a <http://valuenet/ontop/region> . ?T1 <http://valuenet/ontop/region_name> ?T1_region_name . ?T1 <http://valuenet/ontop/has_label> ?T1_label . ?T1 <http://valuenet/ontop/has_label> ?T1_label . } ORDER BY ASC (?T1_label)
"What are the different region names, ordered by labels?","PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_region_name ?T1_label WHERE { ?T1 a :region . ?T1 :region_name ?T1_region_name . ?T1 :has_label ?T1_label . ?T1 :has_label ?T1_label . } ORDER BY ASC (?T1_label)",SELECT DISTINCT ?T1_region_name ?T1_label WHERE { ?T1 a <http://valuenet/ontop/region> . ?T1 <http://valuenet/ontop/region_name> ?T1_region_name . ?T1 <http://valuenet/ontop/has_label> ?T1_label . ?T1 <http://valuenet/ontop/has_label> ?T1_label . } ORDER BY ASC (?T1_label)
How many parties do we have?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_party_name) as ?aggregation_T1_party_name_48 ) WHERE { ?T1 a :party . ?T1 :party_name ?T1_party_name . }",SELECT DISTINCT (count(DISTINCT ?T1_party_name) as ?aggregation_T1_party_name_48 ) WHERE { ?T1 a <http://valuenet/ontop/party> . ?T1 <http://valuenet/ontop/party_name> ?T1_party_name . }
Count the number of different parties.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT (count(DISTINCT ?T1_party_name) as ?aggregation_T1_party_name_27 ) WHERE { ?T1 a :party . ?T1 :party_name ?T1_party_name . }",SELECT DISTINCT (count(DISTINCT ?T1_party_name) as ?aggregation_T1_party_name_27 ) WHERE { ?T1 a <http://valuenet/ontop/party> . ?T1 <http://valuenet/ontop/party_name> ?T1_party_name . }
"Show the ministers and the time they took and left office, listed by the time they left office.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_minister ?T1_took_office ?T1_left_office WHERE { ?T1 a :party . ?T1 :minister ?T1_minister . ?T1 :took_office ?T1_took_office . ?T1 :left_office ?T1_left_office . ?T1 :left_office ?T1_left_office . } ORDER BY ASC (?T1_left_office)",SELECT ?T1_minister ?T1_took_office ?T1_left_office WHERE { ?T1 a <http://valuenet/ontop/party> . ?T1 <http://valuenet/ontop/minister> ?T1_minister . ?T1 <http://valuenet/ontop/took_office> ?T1_took_office . ?T1 <http://valuenet/ontop/left_office> ?T1_left_office . ?T1 <http://valuenet/ontop/left_office> ?T1_left_office . } ORDER BY ASC (?T1_left_office)
"Who are the ministers, when did they take office, and when did they leave office, ordered by when they left office?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_minister ?T1_took_office ?T1_left_office WHERE { ?T1 a :party . ?T1 :minister ?T1_minister . ?T1 :took_office ?T1_took_office . ?T1 :left_office ?T1_left_office . ?T1 :left_office ?T1_left_office . } ORDER BY ASC (?T1_left_office)",SELECT ?T1_minister ?T1_took_office ?T1_left_office WHERE { ?T1 a <http://valuenet/ontop/party> . ?T1 <http://valuenet/ontop/minister> ?T1_minister . ?T1 <http://valuenet/ontop/took_office> ?T1_took_office . ?T1 <http://valuenet/ontop/left_office> ?T1_left_office . ?T1 <http://valuenet/ontop/left_office> ?T1_left_office . } ORDER BY ASC (?T1_left_office)
Show the minister who took office after 1961 or before 1959.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_minister WHERE { ?T1 a :party . ?T1 :minister ?T1_minister . ?T1 :took_office ?T1_took_office . ?T1 :took_office ?T1_took_office . FILTER(?T1_took_office > 1961 || ?T1_took_office < 1959) . }",SELECT ?T1_minister WHERE { ?T1 a <http://valuenet/ontop/party> . ?T1 <http://valuenet/ontop/minister> ?T1_minister . ?T1 <http://valuenet/ontop/took_office> ?T1_took_office . ?T1 <http://valuenet/ontop/took_office> ?T1_took_office . FILTER(?T1_took_office > 1961 || ?T1_took_office < 1959) . }
Who are the ministers who took office after 1961 or before 1959?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_minister WHERE { ?T1 a :party . ?T1 :minister ?T1_minister . ?T1 :took_office ?T1_took_office . ?T1 :took_office ?T1_took_office . FILTER(?T1_took_office > 1961 || ?T1_took_office < 1959) . }",SELECT ?T1_minister WHERE { ?T1 a <http://valuenet/ontop/party> . ?T1 <http://valuenet/ontop/minister> ?T1_minister . ?T1 <http://valuenet/ontop/took_office> ?T1_took_office . ?T1 <http://valuenet/ontop/took_office> ?T1_took_office . FILTER(?T1_took_office > 1961 || ?T1_took_office < 1959) . }
