nl_question,sparql_partial_uri,sparql_complete_uri
How many drivers are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :driver . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/driver> . }
"Show the name, home city, and age for all drivers.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_home_city ?T1_age WHERE { ?T1 a :driver . ?T1 :name ?T1_name . ?T1 :home_city ?T1_home_city . ?T1 :age ?T1_age . }",SELECT ?T1_name ?T1_home_city ?T1_age WHERE { ?T1 a <http://valuenet/ontop/driver> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/home_city> ?T1_home_city . ?T1 <http://valuenet/ontop/age> ?T1_age . }
Show the party and the number of drivers in each party.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_party (count( *) as ?aggregation_all) WHERE { ?T1 a :driver . ?T1 :party ?T1_party . } GROUP BY ?T1_party",SELECT ?T1_party (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/driver> . ?T1 <http://valuenet/ontop/party> ?T1_party . } GROUP BY ?T1_party
Show the name of drivers in descending order of age.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :driver . ?T1 :name ?T1_name . ?T1 :age ?T1_age . } ORDER BY DESC (?T1_age)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/driver> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/age> ?T1_age . } ORDER BY DESC (?T1_age)
Show all different home cities.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_home_city WHERE { ?T1 a :driver . ?T1 :home_city ?T1_home_city . }",SELECT DISTINCT ?T1_home_city WHERE { ?T1 a <http://valuenet/ontop/driver> . ?T1 <http://valuenet/ontop/home_city> ?T1_home_city . }
Show the home city with the most number of drivers.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_home_city (count( *) as ?aggregation_all) WHERE { ?T1 a :driver . ?T1 :home_city ?T1_home_city . } GROUP BY ?T1_home_city ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_home_city (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/driver> . ?T1 <http://valuenet/ontop/home_city> ?T1_home_city . } GROUP BY ?T1_home_city ORDER BY DESC (?aggregation_all) LIMIT 1
Show the party with drivers from Hartford and drivers older than 40.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_party WHERE { ?T1 a :driver . ?T1 :party ?T1_party . ?T1 :home_city ?T1_home_city . ?T1 :age ?T1_age . FILTER(?T1_home_city = 'Hartford' && ?T1_age > 40) . }",SELECT ?T1_party WHERE { ?T1 a <http://valuenet/ontop/driver> . ?T1 <http://valuenet/ontop/party> ?T1_party . ?T1 <http://valuenet/ontop/home_city> ?T1_home_city . ?T1 <http://valuenet/ontop/age> ?T1_age . FILTER(?T1_home_city = 'Hartford' && ?T1_age > 40) . }
Show home city where at least two drivers older than 40 are from.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_home_city WHERE { ?T1 a :driver . ?T1 :home_city ?T1_home_city . ?T1 :age ?T1_age . FILTER(?T1_age > 40) . } GROUP BY ?T1_home_city HAVING(count( *) >= 2)",SELECT ?T1_home_city WHERE { ?T1 a <http://valuenet/ontop/driver> . ?T1 <http://valuenet/ontop/home_city> ?T1_home_city . ?T1 <http://valuenet/ontop/age> ?T1_age . FILTER(?T1_age > 40) . } GROUP BY ?T1_home_city HAVING(count( *) >= 2)
Show all home cities except for those having a driver older than 40.,"PREFIX : <http://valuenet/ontop/>
SELECT distinct?col1 WHERE { { SELECT (?T1_home_city as ?col1) WHERE { ?T1 a :driver . ?T1 :home_city ?T1_home_city . }} MINUS {SELECT (?T2_home_city as ?col1) WHERE { ?T2 a :driver . ?T2 :home_city ?T2_home_city . ?T2 :age ?T2_age . FILTER(?T2_age > 40) . } } }",SELECT distinct?col1 WHERE { { SELECT (?T1_home_city as ?col1) WHERE { ?T1 a <http://valuenet/ontop/driver> . ?T1 <http://valuenet/ontop/home_city> ?T1_home_city . }} MINUS {SELECT (?T2_home_city as ?col1) WHERE { ?T2 a <http://valuenet/ontop/driver> . ?T2 <http://valuenet/ontop/home_city> ?T2_home_city . ?T2 <http://valuenet/ontop/age> ?T2_age . FILTER(?T2_age > 40) . } } }
Show the names of the drivers without a school bus.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :driver . ?T1 :name ?T1_name . ?T1 :driver_id ?T1_driver_id . FILTER(?T1_driver_id not in (?T22_driver_id)) . {SELECT ?T22_driver_id WHERE { ?T22 a :school_bus . ?T22 :driver_id ?T22_driver_id . } } }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/driver> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/driver_id> ?T1_driver_id . FILTER(?T1_driver_id not in (?T22_driver_id)) . {SELECT ?T22_driver_id WHERE { ?T22 a <http://valuenet/ontop/school_bus> . ?T22 <http://valuenet/ontop/driver_id> ?T22_driver_id . } } }
