nl_question,sparql_partial_uri,sparql_complete_uri
How many apartment bookings are there in total?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :apartment_bookings . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/apartment_bookings> . }
Count the total number of apartment bookings.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :apartment_bookings . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/apartment_bookings> . }
Show the start dates and end dates of all the apartment bookings.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_booking_start_date ?T1_booking_end_date WHERE { ?T1 a :apartment_bookings . ?T1 :booking_start_date ?T1_booking_start_date . ?T1 :booking_end_date ?T1_booking_end_date . }",SELECT ?T1_booking_start_date ?T1_booking_end_date WHERE { ?T1 a <http://valuenet/ontop/apartment_bookings> . ?T1 <http://valuenet/ontop/booking_start_date> ?T1_booking_start_date . ?T1 <http://valuenet/ontop/booking_end_date> ?T1_booking_end_date . }
What are the start date and end date of each apartment booking?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_booking_start_date ?T1_booking_end_date WHERE { ?T1 a :apartment_bookings . ?T1 :booking_start_date ?T1_booking_start_date . ?T1 :booking_end_date ?T1_booking_end_date . }",SELECT ?T1_booking_start_date ?T1_booking_end_date WHERE { ?T1 a <http://valuenet/ontop/apartment_bookings> . ?T1 <http://valuenet/ontop/booking_start_date> ?T1_booking_start_date . ?T1 <http://valuenet/ontop/booking_end_date> ?T1_booking_end_date . }
Show all distinct building descriptions.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_building_description WHERE { ?T1 a :apartment_buildings . ?T1 :building_description ?T1_building_description . }",SELECT DISTINCT ?T1_building_description WHERE { ?T1 a <http://valuenet/ontop/apartment_buildings> . ?T1 <http://valuenet/ontop/building_description> ?T1_building_description . }
Give me a list of all the distinct building descriptions.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_building_description WHERE { ?T1 a :apartment_buildings . ?T1 :building_description ?T1_building_description . }",SELECT DISTINCT ?T1_building_description WHERE { ?T1 a <http://valuenet/ontop/apartment_buildings> . ?T1 <http://valuenet/ontop/building_description> ?T1_building_description . }
Show the short names of the buildings managed by 'Emma'.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_building_short_name WHERE { ?T1 a :apartment_buildings . ?T1 :building_short_name ?T1_building_short_name . ?T1 :building_manager ?T1_building_manager . FILTER(?T1_building_manager = 'Emma') . }",SELECT ?T1_building_short_name WHERE { ?T1 a <http://valuenet/ontop/apartment_buildings> . ?T1 <http://valuenet/ontop/building_short_name> ?T1_building_short_name . ?T1 <http://valuenet/ontop/building_manager> ?T1_building_manager . FILTER(?T1_building_manager = 'Emma') . }
Which buildings does 'Emma' manage? Give me the short names of the buildings.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_building_short_name WHERE { ?T1 a :apartment_buildings . ?T1 :building_short_name ?T1_building_short_name . ?T1 :building_manager ?T1_building_manager . FILTER(?T1_building_manager = 'Emma') . }",SELECT ?T1_building_short_name WHERE { ?T1 a <http://valuenet/ontop/apartment_buildings> . ?T1 <http://valuenet/ontop/building_short_name> ?T1_building_short_name . ?T1 <http://valuenet/ontop/building_manager> ?T1_building_manager . FILTER(?T1_building_manager = 'Emma') . }
Show the addresses and phones of all the buildings managed by 'Brenden'.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_building_address ?T1_building_phone WHERE { ?T1 a :apartment_buildings . ?T1 :building_address ?T1_building_address . ?T1 :building_phone ?T1_building_phone . ?T1 :building_manager ?T1_building_manager . FILTER(?T1_building_manager = 'Brenden') . }",SELECT ?T1_building_address ?T1_building_phone WHERE { ?T1 a <http://valuenet/ontop/apartment_buildings> . ?T1 <http://valuenet/ontop/building_address> ?T1_building_address . ?T1 <http://valuenet/ontop/building_phone> ?T1_building_phone . ?T1 <http://valuenet/ontop/building_manager> ?T1_building_manager . FILTER(?T1_building_manager = 'Brenden') . }
What are the address and phone number of the buildings managed by 'Brenden'?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_building_address ?T1_building_phone WHERE { ?T1 a :apartment_buildings . ?T1 :building_address ?T1_building_address . ?T1 :building_phone ?T1_building_phone . ?T1 :building_manager ?T1_building_manager . FILTER(?T1_building_manager = 'Brenden') . }",SELECT ?T1_building_address ?T1_building_phone WHERE { ?T1 a <http://valuenet/ontop/apartment_buildings> . ?T1 <http://valuenet/ontop/building_address> ?T1_building_address . ?T1 <http://valuenet/ontop/building_phone> ?T1_building_phone . ?T1 <http://valuenet/ontop/building_manager> ?T1_building_manager . FILTER(?T1_building_manager = 'Brenden') . }
