nl_question,sparql_partial_uri,sparql_complete_uri
How many technicians are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :technician . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/technician> . }
What is the number of technicians?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :technician . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/technician> . }
List the names of technicians in ascending order of age.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :technician . ?T1 :name ?T1_name . ?T1 :age ?T1_age . } ORDER BY ASC (?T1_age)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/technician> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/age> ?T1_age . } ORDER BY ASC (?T1_age)
What are the names of the technicians by ascending order of age?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :technician . ?T1 :name ?T1_name . ?T1 :age ?T1_age . } ORDER BY ASC (?T1_age)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/technician> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/age> ?T1_age . } ORDER BY ASC (?T1_age)
What are the team and starting year of technicians?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_team ?T1_starting_year WHERE { ?T1 a :technician . ?T1 :team ?T1_team . ?T1 :starting_year ?T1_starting_year . }",SELECT ?T1_team ?T1_starting_year WHERE { ?T1 a <http://valuenet/ontop/technician> . ?T1 <http://valuenet/ontop/team> ?T1_team . ?T1 <http://valuenet/ontop/starting_year> ?T1_starting_year . }
What is the team and starting year for each technician?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_team ?T1_starting_year WHERE { ?T1 a :technician . ?T1 :team ?T1_team . ?T1 :starting_year ?T1_starting_year . }",SELECT ?T1_team ?T1_starting_year WHERE { ?T1 a <http://valuenet/ontop/technician> . ?T1 <http://valuenet/ontop/team> ?T1_team . ?T1 <http://valuenet/ontop/starting_year> ?T1_starting_year . }
List the name of technicians whose team is not 'NYY'.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :technician . ?T1 :name ?T1_name . ?T1 :team ?T1_team . FILTER(?T1_team != 'NYY') . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/technician> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/team> ?T1_team . FILTER(?T1_team != 'NYY') . }
What is the name of the technician whose team is not 'NYY'?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :technician . ?T1 :name ?T1_name . ?T1 :team ?T1_team . FILTER(?T1_team != 'NYY') . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/technician> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/team> ?T1_team . FILTER(?T1_team != 'NYY') . }
Show the name of technicians aged either 36 or 37,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :technician . ?T1 :name ?T1_name . ?T1 :age ?T1_age . ?T1 :age ?T1_age . FILTER(?T1_age = 36 || ?T1_age = 37) . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/technician> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/age> ?T1_age . ?T1 <http://valuenet/ontop/age> ?T1_age . FILTER(?T1_age = 36 || ?T1_age = 37) . }
What are the names of the technicians aged either 36 or 37?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :technician . ?T1 :name ?T1_name . ?T1 :age ?T1_age . ?T1 :age ?T1_age . FILTER(?T1_age = 36 || ?T1_age = 37) . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/technician> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/age> ?T1_age . ?T1 <http://valuenet/ontop/age> ?T1_age . FILTER(?T1_age = 36 || ?T1_age = 37) . }
