nl_question,sparql_partial_uri,sparql_complete_uri
How many companies are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :companies . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/companies> . }
Count the number of companies.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :companies . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/companies> . }
List the names of companies in descending order of market value.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :companies . ?T1 :name ?T1_name . ?T1 :market_value_billion ?T1_market_value_billion . } ORDER BY DESC (?T1_market_value_billion)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/companies> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/market_value_billion> ?T1_market_value_billion . } ORDER BY DESC (?T1_market_value_billion)
Sort the company names in descending order of the company's market value.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :companies . ?T1 :name ?T1_name . ?T1 :market_value_billion ?T1_market_value_billion . } ORDER BY DESC (?T1_market_value_billion)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/companies> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/market_value_billion> ?T1_market_value_billion . } ORDER BY DESC (?T1_market_value_billion)
What are the names of companies whose headquarters are not 'USA'?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :companies . ?T1 :name ?T1_name . ?T1 :headquarters ?T1_headquarters . FILTER(?T1_headquarters != 'USA') . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/companies> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/headquarters> ?T1_headquarters . FILTER(?T1_headquarters != 'USA') . }
Find the names of the companies whose headquarters are not located in 'USA'.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :companies . ?T1 :name ?T1_name . ?T1 :headquarters ?T1_headquarters . FILTER(?T1_headquarters != 'USA') . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/companies> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/headquarters> ?T1_headquarters . FILTER(?T1_headquarters != 'USA') . }
"What are the name and assets of each company, sorted in ascending order of company name?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_assets_billion WHERE { ?T1 a :companies . ?T1 :name ?T1_name . ?T1 :assets_billion ?T1_assets_billion . ?T1 :name ?T1_name . } ORDER BY ASC (?T1_name)",SELECT ?T1_name ?T1_assets_billion WHERE { ?T1 a <http://valuenet/ontop/companies> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/assets_billion> ?T1_assets_billion . ?T1 <http://valuenet/ontop/name> ?T1_name . } ORDER BY ASC (?T1_name)
List the name and assets of each company in ascending order of company name.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_assets_billion WHERE { ?T1 a :companies . ?T1 :name ?T1_name . ?T1 :assets_billion ?T1_assets_billion . ?T1 :name ?T1_name . } ORDER BY ASC (?T1_name)",SELECT ?T1_name ?T1_assets_billion WHERE { ?T1 a <http://valuenet/ontop/companies> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/assets_billion> ?T1_assets_billion . ?T1 <http://valuenet/ontop/name> ?T1_name . } ORDER BY ASC (?T1_name)
What are the average profits of companies?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_profits_billion) as ?aggregation_T1_profits_billion_166 ) WHERE { ?T1 a :companies . ?T1 :profits_billion ?T1_profits_billion . }",SELECT (avg( ?T1_profits_billion) as ?aggregation_T1_profits_billion_166 ) WHERE { ?T1 a <http://valuenet/ontop/companies> . ?T1 <http://valuenet/ontop/profits_billion> ?T1_profits_billion . }
Compute the average profits companies make.,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_profits_billion) as ?aggregation_T1_profits_billion_38 ) WHERE { ?T1 a :companies . ?T1 :profits_billion ?T1_profits_billion . }",SELECT (avg( ?T1_profits_billion) as ?aggregation_T1_profits_billion_38 ) WHERE { ?T1 a <http://valuenet/ontop/companies> . ?T1 <http://valuenet/ontop/profits_billion> ?T1_profits_billion . }
