nl_question,sparql_partial_uri,sparql_complete_uri
How many faculty do we have?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :faculty . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/faculty> . }
What is the total number of faculty members?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :faculty . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/faculty> . }
What ranks do we have for faculty?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_rank WHERE { ?T1 a :faculty . ?T1 :rank ?T1_rank . }",SELECT DISTINCT ?T1_rank WHERE { ?T1 a <http://valuenet/ontop/faculty> . ?T1 <http://valuenet/ontop/rank> ?T1_rank . }
Find the list of distinct ranks for faculty.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_rank WHERE { ?T1 a :faculty . ?T1 :rank ?T1_rank . }",SELECT DISTINCT ?T1_rank WHERE { ?T1 a <http://valuenet/ontop/faculty> . ?T1 <http://valuenet/ontop/rank> ?T1_rank . }
Show all the distinct buildings that have faculty rooms.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_building WHERE { ?T1 a :faculty . ?T1 :building ?T1_building . }",SELECT DISTINCT ?T1_building WHERE { ?T1 a <http://valuenet/ontop/faculty> . ?T1 <http://valuenet/ontop/building> ?T1_building . }
What buildings have faculty offices?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_building WHERE { ?T1 a :faculty . ?T1 :building ?T1_building . }",SELECT DISTINCT ?T1_building WHERE { ?T1 a <http://valuenet/ontop/faculty> . ?T1 <http://valuenet/ontop/building> ?T1_building . }
"Show the rank, first name, and last name for all the faculty.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_rank ?T1_fname ?T1_lname WHERE { ?T1 a :faculty . ?T1 :rank ?T1_rank . ?T1 :fname ?T1_fname . ?T1 :lname ?T1_lname . }",SELECT ?T1_rank ?T1_fname ?T1_lname WHERE { ?T1 a <http://valuenet/ontop/faculty> . ?T1 <http://valuenet/ontop/rank> ?T1_rank . ?T1 <http://valuenet/ontop/fname> ?T1_fname . ?T1 <http://valuenet/ontop/lname> ?T1_lname . }
"What are the rank, first name, and last name of the faculty members?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_rank ?T1_fname ?T1_lname WHERE { ?T1 a :faculty . ?T1 :rank ?T1_rank . ?T1 :fname ?T1_fname . ?T1 :lname ?T1_lname . }",SELECT ?T1_rank ?T1_fname ?T1_lname WHERE { ?T1 a <http://valuenet/ontop/faculty> . ?T1 <http://valuenet/ontop/rank> ?T1_rank . ?T1 <http://valuenet/ontop/fname> ?T1_fname . ?T1 <http://valuenet/ontop/lname> ?T1_lname . }
"Show the first name, last name, and phone number for all female faculty members.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_fname ?T1_lname ?T1_phone WHERE { ?T1 a :faculty . ?T1 :fname ?T1_fname . ?T1 :lname ?T1_lname . ?T1 :phone ?T1_phone . ?T1 :sex ?T1_sex . FILTER(?T1_sex = 'F') . }",SELECT ?T1_fname ?T1_lname ?T1_phone WHERE { ?T1 a <http://valuenet/ontop/faculty> . ?T1 <http://valuenet/ontop/fname> ?T1_fname . ?T1 <http://valuenet/ontop/lname> ?T1_lname . ?T1 <http://valuenet/ontop/phone> ?T1_phone . ?T1 <http://valuenet/ontop/sex> ?T1_sex . FILTER(?T1_sex = 'F') . }
"What are the first name, last name, and phone number of all the female faculty members?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_fname ?T1_lname ?T1_phone WHERE { ?T1 a :faculty . ?T1 :fname ?T1_fname . ?T1 :lname ?T1_lname . ?T1 :phone ?T1_phone . ?T1 :sex ?T1_sex . FILTER(?T1_sex = 'F') . }",SELECT ?T1_fname ?T1_lname ?T1_phone WHERE { ?T1 a <http://valuenet/ontop/faculty> . ?T1 <http://valuenet/ontop/fname> ?T1_fname . ?T1 <http://valuenet/ontop/lname> ?T1_lname . ?T1 <http://valuenet/ontop/phone> ?T1_phone . ?T1 <http://valuenet/ontop/sex> ?T1_sex . FILTER(?T1_sex = 'F') . }
