nl_question,sparql_partial_uri,sparql_complete_uri
Report the name of all campuses in Los Angeles county.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_campus WHERE { ?T1 a :campuses . ?T1 :campuses-campus ?T1_campus . ?T1 :county ?T1_county . FILTER(?T1_county = 'Los Angeles') . }",SELECT ?T1_campus WHERE { ?T1 a <http://valuenet/ontop/campuses> . ?T1 <http://valuenet/ontop/campuses-campus> ?T1_campus . ?T1 <http://valuenet/ontop/county> ?T1_county . FILTER(?T1_county = 'Los Angeles') . }
What campuses are located in the county of Los Angeles?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_campus WHERE { ?T1 a :campuses . ?T1 :campuses-campus ?T1_campus . ?T1 :county ?T1_county . FILTER(?T1_county = 'Los Angeles') . }",SELECT ?T1_campus WHERE { ?T1 a <http://valuenet/ontop/campuses> . ?T1 <http://valuenet/ontop/campuses-campus> ?T1_campus . ?T1 <http://valuenet/ontop/county> ?T1_county . FILTER(?T1_county = 'Los Angeles') . }
What are the names of all campuses located at Chico?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_campus WHERE { ?T1 a :campuses . ?T1 :campuses-campus ?T1_campus . ?T1 :location ?T1_location . FILTER(?T1_location = 'Chico') . }",SELECT ?T1_campus WHERE { ?T1 a <http://valuenet/ontop/campuses> . ?T1 <http://valuenet/ontop/campuses-campus> ?T1_campus . ?T1 <http://valuenet/ontop/location> ?T1_location . FILTER(?T1_location = 'Chico') . }
What campuses are located in Chico?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_campus WHERE { ?T1 a :campuses . ?T1 :campuses-campus ?T1_campus . ?T1 :location ?T1_location . FILTER(?T1_location = 'Chico') . }",SELECT ?T1_campus WHERE { ?T1 a <http://valuenet/ontop/campuses> . ?T1 <http://valuenet/ontop/campuses-campus> ?T1_campus . ?T1 <http://valuenet/ontop/location> ?T1_location . FILTER(?T1_location = 'Chico') . }
Find all the campuses opened in 1958.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_campus WHERE { ?T1 a :campuses . ?T1 :campuses-campus ?T1_campus . ?T1 :year ?T1_year . FILTER(?T1_year = 1958) . }",SELECT ?T1_campus WHERE { ?T1 a <http://valuenet/ontop/campuses> . ?T1 <http://valuenet/ontop/campuses-campus> ?T1_campus . ?T1 <http://valuenet/ontop/year> ?T1_year . FILTER(?T1_year = 1958) . }
What are the campuses that opened in 1958?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_campus WHERE { ?T1 a :campuses . ?T1 :campuses-campus ?T1_campus . ?T1 :year ?T1_year . FILTER(?T1_year = 1958) . }",SELECT ?T1_campus WHERE { ?T1 a <http://valuenet/ontop/campuses> . ?T1 <http://valuenet/ontop/campuses-campus> ?T1_campus . ?T1 <http://valuenet/ontop/year> ?T1_year . FILTER(?T1_year = 1958) . }
Find the name of the campuses opened before 1800.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_campus WHERE { ?T1 a :campuses . ?T1 :campuses-campus ?T1_campus . ?T1 :year ?T1_year . FILTER(?T1_year < 1800) . }",SELECT ?T1_campus WHERE { ?T1 a <http://valuenet/ontop/campuses> . ?T1 <http://valuenet/ontop/campuses-campus> ?T1_campus . ?T1 <http://valuenet/ontop/year> ?T1_year . FILTER(?T1_year < 1800) . }
What campuses opened before 1800?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_campus WHERE { ?T1 a :campuses . ?T1 :campuses-campus ?T1_campus . ?T1 :year ?T1_year . FILTER(?T1_year < 1800) . }",SELECT ?T1_campus WHERE { ?T1 a <http://valuenet/ontop/campuses> . ?T1 <http://valuenet/ontop/campuses-campus> ?T1_campus . ?T1 <http://valuenet/ontop/year> ?T1_year . FILTER(?T1_year < 1800) . }
Which campus was opened between 1935 and 1939?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_campus WHERE { ?T1 a :campuses . ?T1 :campuses-campus ?T1_campus . ?T1 :year ?T1_year . ?T1 :year ?T1_year . FILTER(?T1_year >= 1935 && ?T1_year <= 1939) . }",SELECT ?T1_campus WHERE { ?T1 a <http://valuenet/ontop/campuses> . ?T1 <http://valuenet/ontop/campuses-campus> ?T1_campus . ?T1 <http://valuenet/ontop/year> ?T1_year . ?T1 <http://valuenet/ontop/year> ?T1_year . FILTER(?T1_year >= 1935 && ?T1_year <= 1939) . }
What campuses opened between 1935 and 1939?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_campus WHERE { ?T1 a :campuses . ?T1 :campuses-campus ?T1_campus . ?T1 :year ?T1_year . ?T1 :year ?T1_year . FILTER(?T1_year >= 1935 && ?T1_year <= 1939) . }",SELECT ?T1_campus WHERE { ?T1 a <http://valuenet/ontop/campuses> . ?T1 <http://valuenet/ontop/campuses-campus> ?T1_campus . ?T1 <http://valuenet/ontop/year> ?T1_year . ?T1 <http://valuenet/ontop/year> ?T1_year . FILTER(?T1_year >= 1935 && ?T1_year <= 1939) . }
"Find the name of the campuses that is in Northridge, Los Angeles or in San Francisco, San Francisco.","PREFIX : <http://valuenet/ontop/>
SELECT distinct?col1 WHERE { { SELECT (?T1_campus as ?col1) WHERE { ?T1 a :campuses . ?T1 :campuses-campus ?T1_campus . ?T1 :location ?T1_location . ?T1 :county ?T1_county . FILTER(?T1_location = 'Northridge' && ?T1_county = 'Los Angeles') . }} UNION {SELECT (?T1_campus as ?col1) WHERE { ?T1 a :campuses . ?T1 :campuses-campus ?T1_campus . ?T1 :location ?T1_location . ?T1 :county ?T1_county . FILTER(?T1_location = 'San Francisco' && ?T1_county = 'San Francisco') . } } }",SELECT distinct?col1 WHERE { { SELECT (?T1_campus as ?col1) WHERE { ?T1 a <http://valuenet/ontop/campuses> . ?T1 <http://valuenet/ontop/campuses-campus> ?T1_campus . ?T1 <http://valuenet/ontop/location> ?T1_location . ?T1 <http://valuenet/ontop/county> ?T1_county . FILTER(?T1_location = 'Northridge' && ?T1_county = 'Los Angeles') . }} UNION {SELECT (?T1_campus as ?col1) WHERE { ?T1 a <http://valuenet/ontop/campuses> . ?T1 <http://valuenet/ontop/campuses-campus> ?T1_campus . ?T1 <http://valuenet/ontop/location> ?T1_location . ?T1 <http://valuenet/ontop/county> ?T1_county . FILTER(?T1_location = 'San Francisco' && ?T1_county = 'San Francisco') . } } }
"What campuses are located in Northridge, Los Angeles or in San Francisco, San Francisco?","PREFIX : <http://valuenet/ontop/>
SELECT distinct?col1 WHERE { { SELECT (?T1_campus as ?col1) WHERE { ?T1 a :campuses . ?T1 :campuses-campus ?T1_campus . ?T1 :location ?T1_location . ?T1 :county ?T1_county . FILTER(?T1_location = 'Northridge' && ?T1_county = 'Los Angeles') . }} UNION {SELECT (?T1_campus as ?col1) WHERE { ?T1 a :campuses . ?T1 :campuses-campus ?T1_campus . ?T1 :location ?T1_location . ?T1 :county ?T1_county . FILTER(?T1_location = 'San Francisco' && ?T1_county = 'San Francisco') . } } }",SELECT distinct?col1 WHERE { { SELECT (?T1_campus as ?col1) WHERE { ?T1 a <http://valuenet/ontop/campuses> . ?T1 <http://valuenet/ontop/campuses-campus> ?T1_campus . ?T1 <http://valuenet/ontop/location> ?T1_location . ?T1 <http://valuenet/ontop/county> ?T1_county . FILTER(?T1_location = 'Northridge' && ?T1_county = 'Los Angeles') . }} UNION {SELECT (?T1_campus as ?col1) WHERE { ?T1 a <http://valuenet/ontop/campuses> . ?T1 <http://valuenet/ontop/campuses-campus> ?T1_campus . ?T1 <http://valuenet/ontop/location> ?T1_location . ?T1 <http://valuenet/ontop/county> ?T1_county . FILTER(?T1_location = 'San Francisco' && ?T1_county = 'San Francisco') . } } }
What is the campus fee of 'San Jose State University' in year 1996?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_campusfee WHERE { ?T1 a :csu_fees . ?T2 a :campuses . ?T1 :ref-campus ?T2 . ?T1 <http://valuenet/ontop/csu_fees-campusfee> ?T1_campusfee . ?T2 :campuses-campus ?T2_campus . ?T1 :year ?T1_year . FILTER(?T2_campus = 'San Jose State University' && ?T1_year = 1996) . }",SELECT ?T1_campusfee WHERE { ?T1 a <http://valuenet/ontop/csu_fees> . ?T2 a <http://valuenet/ontop/campuses> . ?T1 <http://valuenet/ontop/ref-campus> ?T2 . ?T1 <http://valuenet/ontop/csu_fees-campusfee> ?T1_campusfee . ?T2 <http://valuenet/ontop/campuses-campus> ?T2_campus . ?T1 <http://valuenet/ontop/year> ?T1_year . FILTER(?T2_campus = 'San Jose State University' && ?T1_year = 1996) . }
What is the campus fee for San Jose State University in 1996?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_campusfee WHERE { ?T1 a :csu_fees . ?T2 a :campuses . ?T1 :ref-campus ?T2 . ?T1 <http://valuenet/ontop/csu_fees-campusfee> ?T1_campusfee . ?T2 :campuses-campus ?T2_campus . ?T1 :year ?T1_year . FILTER(?T2_campus = 'San Jose State University' && ?T1_year = 1996) . }",SELECT ?T1_campusfee WHERE { ?T1 a <http://valuenet/ontop/csu_fees> . ?T2 a <http://valuenet/ontop/campuses> . ?T1 <http://valuenet/ontop/ref-campus> ?T2 . ?T1 <http://valuenet/ontop/csu_fees-campusfee> ?T1_campusfee . ?T2 <http://valuenet/ontop/campuses-campus> ?T2_campus . ?T1 <http://valuenet/ontop/year> ?T1_year . FILTER(?T2_campus = 'San Jose State University' && ?T1_year = 1996) . }
