nl_question,sparql_partial_uri,sparql_complete_uri
How many entrepreneurs are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :entrepreneur . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/entrepreneur> . }
Count the number of entrepreneurs.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :entrepreneur . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/entrepreneur> . }
List the companies of entrepreneurs in descending order of money requested.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_company WHERE { ?T1 a :entrepreneur . ?T1 :company ?T1_company . ?T1 :money_requested ?T1_money_requested . } ORDER BY DESC (?T1_money_requested)",SELECT ?T1_company WHERE { ?T1 a <http://valuenet/ontop/entrepreneur> . ?T1 <http://valuenet/ontop/company> ?T1_company . ?T1 <http://valuenet/ontop/money_requested> ?T1_money_requested . } ORDER BY DESC (?T1_money_requested)
"What are the companies of entrepreneurs, ordered descending by amount of money requested?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_company WHERE { ?T1 a :entrepreneur . ?T1 :company ?T1_company . ?T1 :money_requested ?T1_money_requested . } ORDER BY DESC (?T1_money_requested)",SELECT ?T1_company WHERE { ?T1 a <http://valuenet/ontop/entrepreneur> . ?T1 <http://valuenet/ontop/company> ?T1_company . ?T1 <http://valuenet/ontop/money_requested> ?T1_money_requested . } ORDER BY DESC (?T1_money_requested)
List the companies and the investors of entrepreneurs.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_company ?T1_investor WHERE { ?T1 a :entrepreneur . ?T1 :company ?T1_company . ?T1 :investor ?T1_investor . }",SELECT ?T1_company ?T1_investor WHERE { ?T1 a <http://valuenet/ontop/entrepreneur> . ?T1 <http://valuenet/ontop/company> ?T1_company . ?T1 <http://valuenet/ontop/investor> ?T1_investor . }
What are the companies and investors that correspond to each entrepreneur?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_company ?T1_investor WHERE { ?T1 a :entrepreneur . ?T1 :company ?T1_company . ?T1 :investor ?T1_investor . }",SELECT ?T1_company ?T1_investor WHERE { ?T1 a <http://valuenet/ontop/entrepreneur> . ?T1 <http://valuenet/ontop/company> ?T1_company . ?T1 <http://valuenet/ontop/investor> ?T1_investor . }
What is the average money requested by all entrepreneurs?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_money_requested) as ?aggregation_T1_money_requested_147 ) WHERE { ?T1 a :entrepreneur . ?T1 :money_requested ?T1_money_requested . }",SELECT (avg( ?T1_money_requested) as ?aggregation_T1_money_requested_147 ) WHERE { ?T1 a <http://valuenet/ontop/entrepreneur> . ?T1 <http://valuenet/ontop/money_requested> ?T1_money_requested . }
Return the average money requested across all entrepreneurs.,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_money_requested) as ?aggregation_T1_money_requested_164 ) WHERE { ?T1 a :entrepreneur . ?T1 :money_requested ?T1_money_requested . }",SELECT (avg( ?T1_money_requested) as ?aggregation_T1_money_requested_164 ) WHERE { ?T1 a <http://valuenet/ontop/entrepreneur> . ?T1 <http://valuenet/ontop/money_requested> ?T1_money_requested . }
What are the names of people in ascending order of weight?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :people . ?T1 :name ?T1_name . ?T1 :weight ?T1_weight . } ORDER BY ASC (?T1_weight)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/people> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/weight> ?T1_weight . } ORDER BY ASC (?T1_weight)
"Return the names of people, ordered by weight ascending.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :people . ?T1 :name ?T1_name . ?T1 :weight ?T1_weight . } ORDER BY ASC (?T1_weight)",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/people> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/weight> ?T1_weight . } ORDER BY ASC (?T1_weight)
What are the names of entrepreneurs?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :people . ?T1 :name ?T1_name . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/people> . ?T1 <http://valuenet/ontop/name> ?T1_name . }
Return the names of entrepreneurs.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :people . ?T1 :name ?T1_name . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/people> . ?T1 <http://valuenet/ontop/name> ?T1_name . }
What are the names of entrepreneurs whose investor is not 'Rachel Elnaugh'?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :people . ?T2 a :entrepreneur . ?T2 :ref-people ?T1 . ?T1 :name ?T1_name . ?T2 :investor ?T2_investor . FILTER(?T2_investor != 'Rachel Elnaugh') . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/people> . ?T2 a <http://valuenet/ontop/entrepreneur> . ?T2 <http://valuenet/ontop/ref-people> ?T1 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T2 <http://valuenet/ontop/investor> ?T2_investor . FILTER(?T2_investor != 'Rachel Elnaugh') . }
Return the names of entrepreneurs do no not have the investor Rachel Elnaugh.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :people . ?T2 a :entrepreneur . ?T2 :ref-people ?T1 . ?T1 :name ?T1_name . ?T2 :investor ?T2_investor . FILTER(?T2_investor != 'Rachel Elnaugh') . }",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/people> . ?T2 a <http://valuenet/ontop/entrepreneur> . ?T2 <http://valuenet/ontop/ref-people> ?T1 . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T2 <http://valuenet/ontop/investor> ?T2_investor . FILTER(?T2_investor != 'Rachel Elnaugh') . }
What is the weight of the shortest person?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_weight WHERE { ?T1 a :people . ?T1 :weight ?T1_weight . ?T1 :height ?T1_height . } ORDER BY ASC (?T1_height) LIMIT 1",SELECT ?T1_weight WHERE { ?T1 a <http://valuenet/ontop/people> . ?T1 <http://valuenet/ontop/weight> ?T1_weight . ?T1 <http://valuenet/ontop/height> ?T1_height . } ORDER BY ASC (?T1_height) LIMIT 1
Return the weight of the shortest person.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_weight WHERE { ?T1 a :people . ?T1 :weight ?T1_weight . ?T1 :height ?T1_height . } ORDER BY ASC (?T1_height) LIMIT 1",SELECT ?T1_weight WHERE { ?T1 a <http://valuenet/ontop/people> . ?T1 <http://valuenet/ontop/weight> ?T1_weight . ?T1 <http://valuenet/ontop/height> ?T1_height . } ORDER BY ASC (?T1_height) LIMIT 1
What is the name of the entrepreneur with the greatest weight?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :people . ?T1 :name ?T1_name . ?T1 :weight ?T1_weight . } ORDER BY DESC (?T1_weight) LIMIT 1",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/people> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/weight> ?T1_weight . } ORDER BY DESC (?T1_weight) LIMIT 1
Return the name of the heaviest entrepreneur.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :people . ?T1 :name ?T1_name . ?T1 :weight ?T1_weight . } ORDER BY DESC (?T1_weight) LIMIT 1",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/people> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/weight> ?T1_weight . } ORDER BY DESC (?T1_weight) LIMIT 1
What is the total money requested by entrepreneurs with height more than 1.85?,"PREFIX : <http://valuenet/ontop/>
SELECT (sum( ?T1_money_requested) as ?aggregation_T1_money_requested_5 ) WHERE { ?T1 a :entrepreneur . ?T2 a :people . ?T1 :ref-people ?T2 . ?T1 :money_requested ?T1_money_requested . ?T2 :height ?T2_height . FILTER(?T2_height > 1.85) . }",SELECT (sum( ?T1_money_requested) as ?aggregation_T1_money_requested_5 ) WHERE { ?T1 a <http://valuenet/ontop/entrepreneur> . ?T2 a <http://valuenet/ontop/people> . ?T1 <http://valuenet/ontop/ref-people> ?T2 . ?T1 <http://valuenet/ontop/money_requested> ?T1_money_requested . ?T2 <http://valuenet/ontop/height> ?T2_height . FILTER(?T2_height > 1.85) . }
Give the total money requested by entrepreneurs who are taller than 1.85.,"PREFIX : <http://valuenet/ontop/>
SELECT (sum( ?T1_money_requested) as ?aggregation_T1_money_requested_78 ) WHERE { ?T1 a :entrepreneur . ?T2 a :people . ?T1 :ref-people ?T2 . ?T1 :money_requested ?T1_money_requested . ?T2 :height ?T2_height . FILTER(?T2_height > 1.85) . }",SELECT (sum( ?T1_money_requested) as ?aggregation_T1_money_requested_78 ) WHERE { ?T1 a <http://valuenet/ontop/entrepreneur> . ?T2 a <http://valuenet/ontop/people> . ?T1 <http://valuenet/ontop/ref-people> ?T2 . ?T1 <http://valuenet/ontop/money_requested> ?T1_money_requested . ?T2 <http://valuenet/ontop/height> ?T2_height . FILTER(?T2_height > 1.85) . }
What are the dates of birth of entrepreneurs with investor 'Simon Woodroffe' or 'Peter Jones'?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_date_of_birth WHERE { ?T1 a :people . ?T2 a :entrepreneur . ?T2 :ref-people ?T1 . ?T1 :date_of_birth ?T1_date_of_birth . ?T2 :investor ?T2_investor . ?T2 :investor ?T2_investor . FILTER(?T2_investor = 'Simon Woodroffe' || ?T2_investor = 'Peter Jones') . }",SELECT ?T1_date_of_birth WHERE { ?T1 a <http://valuenet/ontop/people> . ?T2 a <http://valuenet/ontop/entrepreneur> . ?T2 <http://valuenet/ontop/ref-people> ?T1 . ?T1 <http://valuenet/ontop/date_of_birth> ?T1_date_of_birth . ?T2 <http://valuenet/ontop/investor> ?T2_investor . ?T2 <http://valuenet/ontop/investor> ?T2_investor . FILTER(?T2_investor = 'Simon Woodroffe' || ?T2_investor = 'Peter Jones') . }
Return the dates of birth for entrepreneurs who have either the investor Simon Woodroffe or Peter Jones.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_date_of_birth WHERE { ?T1 a :people . ?T2 a :entrepreneur . ?T2 :ref-people ?T1 . ?T1 :date_of_birth ?T1_date_of_birth . ?T2 :investor ?T2_investor . ?T2 :investor ?T2_investor . FILTER(?T2_investor = 'Simon Woodroffe' || ?T2_investor = 'Peter Jones') . }",SELECT ?T1_date_of_birth WHERE { ?T1 a <http://valuenet/ontop/people> . ?T2 a <http://valuenet/ontop/entrepreneur> . ?T2 <http://valuenet/ontop/ref-people> ?T1 . ?T1 <http://valuenet/ontop/date_of_birth> ?T1_date_of_birth . ?T2 <http://valuenet/ontop/investor> ?T2_investor . ?T2 <http://valuenet/ontop/investor> ?T2_investor . FILTER(?T2_investor = 'Simon Woodroffe' || ?T2_investor = 'Peter Jones') . }
