nl_question,sparql_partial_uri,sparql_complete_uri
How many bank branches are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :bank . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/bank> . }
Count the number of bank branches.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :bank . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/bank> . }
How many customers are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (sum( ?T1_no_of_customers) as ?aggregation_T1_no_of_customers_191 ) WHERE { ?T1 a :bank . ?T1 :no_of_customers ?T1_no_of_customers . }",SELECT (sum( ?T1_no_of_customers) as ?aggregation_T1_no_of_customers_191 ) WHERE { ?T1 a <http://valuenet/ontop/bank> . ?T1 <http://valuenet/ontop/no_of_customers> ?T1_no_of_customers . }
What is the total number of customers across banks?,"PREFIX : <http://valuenet/ontop/>
SELECT (sum( ?T1_no_of_customers) as ?aggregation_T1_no_of_customers_124 ) WHERE { ?T1 a :bank . ?T1 :no_of_customers ?T1_no_of_customers . }",SELECT (sum( ?T1_no_of_customers) as ?aggregation_T1_no_of_customers_124 ) WHERE { ?T1 a <http://valuenet/ontop/bank> . ?T1 <http://valuenet/ontop/no_of_customers> ?T1_no_of_customers . }
Find the number of customers in the banks at New York City.,"PREFIX : <http://valuenet/ontop/>
SELECT (sum( ?T1_no_of_customers) as ?aggregation_T1_no_of_customers_57 ) WHERE { ?T1 a :bank . ?T1 :no_of_customers ?T1_no_of_customers . ?T1 :city ?T1_city . FILTER(?T1_city = 'New York City') . }",SELECT (sum( ?T1_no_of_customers) as ?aggregation_T1_no_of_customers_57 ) WHERE { ?T1 a <http://valuenet/ontop/bank> . ?T1 <http://valuenet/ontop/no_of_customers> ?T1_no_of_customers . ?T1 <http://valuenet/ontop/city> ?T1_city . FILTER(?T1_city = 'New York City') . }
What is the total number of customers who use banks in New York City?,"PREFIX : <http://valuenet/ontop/>
SELECT (sum( ?T1_no_of_customers) as ?aggregation_T1_no_of_customers_59 ) WHERE { ?T1 a :bank . ?T1 :no_of_customers ?T1_no_of_customers . ?T1 :city ?T1_city . FILTER(?T1_city = 'New York City') . }",SELECT (sum( ?T1_no_of_customers) as ?aggregation_T1_no_of_customers_59 ) WHERE { ?T1 a <http://valuenet/ontop/bank> . ?T1 <http://valuenet/ontop/no_of_customers> ?T1_no_of_customers . ?T1 <http://valuenet/ontop/city> ?T1_city . FILTER(?T1_city = 'New York City') . }
Find the average number of customers in all banks of Utah state.,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_no_of_customers) as ?aggregation_T1_no_of_customers_51 ) WHERE { ?T1 a :bank . ?T1 :no_of_customers ?T1_no_of_customers . ?T1 :state ?T1_state . FILTER(?T1_state = 'Utah') . }",SELECT (avg( ?T1_no_of_customers) as ?aggregation_T1_no_of_customers_51 ) WHERE { ?T1 a <http://valuenet/ontop/bank> . ?T1 <http://valuenet/ontop/no_of_customers> ?T1_no_of_customers . ?T1 <http://valuenet/ontop/state> ?T1_state . FILTER(?T1_state = 'Utah') . }
What is the average number of customers across banks in the state of Utah?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_no_of_customers) as ?aggregation_T1_no_of_customers_49 ) WHERE { ?T1 a :bank . ?T1 :no_of_customers ?T1_no_of_customers . ?T1 :state ?T1_state . FILTER(?T1_state = 'Utah') . }",SELECT (avg( ?T1_no_of_customers) as ?aggregation_T1_no_of_customers_49 ) WHERE { ?T1 a <http://valuenet/ontop/bank> . ?T1 <http://valuenet/ontop/no_of_customers> ?T1_no_of_customers . ?T1 <http://valuenet/ontop/state> ?T1_state . FILTER(?T1_state = 'Utah') . }
Find the average number of customers cross all banks.,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_no_of_customers) as ?aggregation_T1_no_of_customers_144 ) WHERE { ?T1 a :bank . ?T1 :no_of_customers ?T1_no_of_customers . }",SELECT (avg( ?T1_no_of_customers) as ?aggregation_T1_no_of_customers_144 ) WHERE { ?T1 a <http://valuenet/ontop/bank> . ?T1 <http://valuenet/ontop/no_of_customers> ?T1_no_of_customers . }
What is the average number of bank customers?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_no_of_customers) as ?aggregation_T1_no_of_customers_138 ) WHERE { ?T1 a :bank . ?T1 :no_of_customers ?T1_no_of_customers . }",SELECT (avg( ?T1_no_of_customers) as ?aggregation_T1_no_of_customers_138 ) WHERE { ?T1 a <http://valuenet/ontop/bank> . ?T1 <http://valuenet/ontop/no_of_customers> ?T1_no_of_customers . }
