nl_question,sparql_partial_uri,sparql_complete_uri
Find the names of all the catalog entries.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_catalog_entry_name WHERE { ?T1 a :catalog_contents . ?T1 :catalog_entry_name ?T1_catalog_entry_name . }",SELECT DISTINCT ?T1_catalog_entry_name WHERE { ?T1 a <http://valuenet/ontop/catalog_contents> . ?T1 <http://valuenet/ontop/catalog_entry_name> ?T1_catalog_entry_name . }
What are all the catalog entry names?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_catalog_entry_name WHERE { ?T1 a :catalog_contents . ?T1 :catalog_entry_name ?T1_catalog_entry_name . }",SELECT DISTINCT ?T1_catalog_entry_name WHERE { ?T1 a <http://valuenet/ontop/catalog_contents> . ?T1 <http://valuenet/ontop/catalog_entry_name> ?T1_catalog_entry_name . }
Find the list of attribute data types possessed by more than 3 attribute definitions.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_attribute_data_type WHERE { ?T1 a :attribute_definitions . ?T1 :attribute_data_type ?T1_attribute_data_type . } GROUP BY ?T1_attribute_data_type HAVING(count( *) > 3)",SELECT ?T1_attribute_data_type WHERE { ?T1 a <http://valuenet/ontop/attribute_definitions> . ?T1 <http://valuenet/ontop/attribute_data_type> ?T1_attribute_data_type . } GROUP BY ?T1_attribute_data_type HAVING(count( *) > 3)
What are the attribute data types with more than 3 attribute definitions?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_attribute_data_type WHERE { ?T1 a :attribute_definitions . ?T1 :attribute_data_type ?T1_attribute_data_type . } GROUP BY ?T1_attribute_data_type HAVING(count( *) > 3)",SELECT ?T1_attribute_data_type WHERE { ?T1 a <http://valuenet/ontop/attribute_definitions> . ?T1 <http://valuenet/ontop/attribute_data_type> ?T1_attribute_data_type . } GROUP BY ?T1_attribute_data_type HAVING(count( *) > 3)
What is the attribute data type of the attribute with name 'Green'?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_attribute_data_type WHERE { ?T1 a :attribute_definitions . ?T1 :attribute_data_type ?T1_attribute_data_type . ?T1 :attribute_name ?T1_attribute_name . FILTER(?T1_attribute_name = 'Green') . }",SELECT ?T1_attribute_data_type WHERE { ?T1 a <http://valuenet/ontop/attribute_definitions> . ?T1 <http://valuenet/ontop/attribute_data_type> ?T1_attribute_data_type . ?T1 <http://valuenet/ontop/attribute_name> ?T1_attribute_name . FILTER(?T1_attribute_name = 'Green') . }
Find the attribute data type for the attribute named 'Green'.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_attribute_data_type WHERE { ?T1 a :attribute_definitions . ?T1 :attribute_data_type ?T1_attribute_data_type . ?T1 :attribute_name ?T1_attribute_name . FILTER(?T1_attribute_name = 'Green') . }",SELECT ?T1_attribute_data_type WHERE { ?T1 a <http://valuenet/ontop/attribute_definitions> . ?T1 <http://valuenet/ontop/attribute_data_type> ?T1_attribute_data_type . ?T1 <http://valuenet/ontop/attribute_name> ?T1_attribute_name . FILTER(?T1_attribute_name = 'Green') . }
Find the name and level of catalog structure with level between 5 and 10.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_catalog_level_name ?T1_catalog_level_number WHERE { ?T1 a :catalog_structure . ?T1 :catalog_level_name ?T1_catalog_level_name . ?T1 :catalog_level_number ?T1_catalog_level_number . ?T1 :catalog_level_number ?T1_catalog_level_number . FILTER(?T1_catalog_level_number >= 5 && ?T1_catalog_level_number <= 10) . }",SELECT ?T1_catalog_level_name ?T1_catalog_level_number WHERE { ?T1 a <http://valuenet/ontop/catalog_structure> . ?T1 <http://valuenet/ontop/catalog_level_name> ?T1_catalog_level_name . ?T1 <http://valuenet/ontop/catalog_level_number> ?T1_catalog_level_number . ?T1 <http://valuenet/ontop/catalog_level_number> ?T1_catalog_level_number . FILTER(?T1_catalog_level_number >= 5 && ?T1_catalog_level_number <= 10) . }
What are the name and level of catalog structure with level number between 5 and 10,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_catalog_level_name ?T1_catalog_level_number WHERE { ?T1 a :catalog_structure . ?T1 :catalog_level_name ?T1_catalog_level_name . ?T1 :catalog_level_number ?T1_catalog_level_number . ?T1 :catalog_level_number ?T1_catalog_level_number . FILTER(?T1_catalog_level_number >= 5 && ?T1_catalog_level_number <= 10) . }",SELECT ?T1_catalog_level_name ?T1_catalog_level_number WHERE { ?T1 a <http://valuenet/ontop/catalog_structure> . ?T1 <http://valuenet/ontop/catalog_level_name> ?T1_catalog_level_name . ?T1 <http://valuenet/ontop/catalog_level_number> ?T1_catalog_level_number . ?T1 <http://valuenet/ontop/catalog_level_number> ?T1_catalog_level_number . FILTER(?T1_catalog_level_number >= 5 && ?T1_catalog_level_number <= 10) . }
Find all the catalog publishers whose name contains 'Murray',"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_catalog_publisher WHERE { ?T1 a :catalogs . ?T1 :catalog_publisher ?T1_catalog_publisher . ?T1 :catalog_publisher ?T1_catalog_publisher . FILTER(contains (?T1_catalog_publisher, 'Murray')) . }","SELECT DISTINCT ?T1_catalog_publisher WHERE { ?T1 a <http://valuenet/ontop/catalogs> . ?T1 <http://valuenet/ontop/catalog_publisher> ?T1_catalog_publisher . ?T1 <http://valuenet/ontop/catalog_publisher> ?T1_catalog_publisher . FILTER(contains (?T1_catalog_publisher, 'Murray')) . }"
Which catalog publishers have substring 'Murray' in their names?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_catalog_publisher WHERE { ?T1 a :catalogs . ?T1 :catalog_publisher ?T1_catalog_publisher . ?T1 :catalog_publisher ?T1_catalog_publisher . FILTER(contains (?T1_catalog_publisher, 'Murray')) . }","SELECT DISTINCT ?T1_catalog_publisher WHERE { ?T1 a <http://valuenet/ontop/catalogs> . ?T1 <http://valuenet/ontop/catalog_publisher> ?T1_catalog_publisher . ?T1 <http://valuenet/ontop/catalog_publisher> ?T1_catalog_publisher . FILTER(contains (?T1_catalog_publisher, 'Murray')) . }"
