nl_question,sparql_partial_uri,sparql_complete_uri
"List the method, date and amount of all the payments, in ascending order of date.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_payment_method_code ?T1_date_payment_made ?T1_amount_payment WHERE { ?T1 a :payments . ?T1 :payment_method_code ?T1_payment_method_code . ?T1 :date_payment_made ?T1_date_payment_made . ?T1 :amount_payment ?T1_amount_payment . ?T1 :date_payment_made ?T1_date_payment_made . } ORDER BY ASC (?T1_date_payment_made)",SELECT ?T1_payment_method_code ?T1_date_payment_made ?T1_amount_payment WHERE { ?T1 a <http://valuenet/ontop/payments> . ?T1 <http://valuenet/ontop/payment_method_code> ?T1_payment_method_code . ?T1 <http://valuenet/ontop/date_payment_made> ?T1_date_payment_made . ?T1 <http://valuenet/ontop/amount_payment> ?T1_amount_payment . ?T1 <http://valuenet/ontop/date_payment_made> ?T1_date_payment_made . } ORDER BY ASC (?T1_date_payment_made)
"What are the method, date and amount of each payment? Sort the list in ascending order of date.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_payment_method_code ?T1_date_payment_made ?T1_amount_payment WHERE { ?T1 a :payments . ?T1 :payment_method_code ?T1_payment_method_code . ?T1 :date_payment_made ?T1_date_payment_made . ?T1 :amount_payment ?T1_amount_payment . ?T1 :date_payment_made ?T1_date_payment_made . } ORDER BY ASC (?T1_date_payment_made)",SELECT ?T1_payment_method_code ?T1_date_payment_made ?T1_amount_payment WHERE { ?T1 a <http://valuenet/ontop/payments> . ?T1 <http://valuenet/ontop/payment_method_code> ?T1_payment_method_code . ?T1 <http://valuenet/ontop/date_payment_made> ?T1_date_payment_made . ?T1 <http://valuenet/ontop/amount_payment> ?T1_amount_payment . ?T1 <http://valuenet/ontop/date_payment_made> ?T1_date_payment_made . } ORDER BY ASC (?T1_date_payment_made)
"Among all the claims, what is the settlement amount of the claim with the largest claim amount? List both the settlement amount and claim amount.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_amount_settled ?T1_amount_claimed WHERE { ?T1 a :claims . ?T1 :amount_settled ?T1_amount_settled . ?T1 :amount_claimed ?T1_amount_claimed . ?T1 :amount_claimed ?T1_amount_claimed . } ORDER BY DESC (?T1_amount_claimed) LIMIT 1",SELECT ?T1_amount_settled ?T1_amount_claimed WHERE { ?T1 a <http://valuenet/ontop/claims> . ?T1 <http://valuenet/ontop/amount_settled> ?T1_amount_settled . ?T1 <http://valuenet/ontop/amount_claimed> ?T1_amount_claimed . ?T1 <http://valuenet/ontop/amount_claimed> ?T1_amount_claimed . } ORDER BY DESC (?T1_amount_claimed) LIMIT 1
Find the settlement amount of the claim with the largest claim amount. Show both the settlement amount and claim amount.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_amount_settled ?T1_amount_claimed WHERE { ?T1 a :claims . ?T1 :amount_settled ?T1_amount_settled . ?T1 :amount_claimed ?T1_amount_claimed . ?T1 :amount_claimed ?T1_amount_claimed . } ORDER BY DESC (?T1_amount_claimed) LIMIT 1",SELECT ?T1_amount_settled ?T1_amount_claimed WHERE { ?T1 a <http://valuenet/ontop/claims> . ?T1 <http://valuenet/ontop/amount_settled> ?T1_amount_settled . ?T1 <http://valuenet/ontop/amount_claimed> ?T1_amount_claimed . ?T1 <http://valuenet/ontop/amount_claimed> ?T1_amount_claimed . } ORDER BY DESC (?T1_amount_claimed) LIMIT 1
"Among all the claims, what is the amount claimed in the claim with the least amount settled? List both the settlement amount and claim amount.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_amount_settled ?T1_amount_claimed WHERE { ?T1 a :claims . ?T1 :amount_settled ?T1_amount_settled . ?T1 :amount_claimed ?T1_amount_claimed . ?T1 :amount_settled ?T1_amount_settled . } ORDER BY ASC (?T1_amount_settled) LIMIT 1",SELECT ?T1_amount_settled ?T1_amount_claimed WHERE { ?T1 a <http://valuenet/ontop/claims> . ?T1 <http://valuenet/ontop/amount_settled> ?T1_amount_settled . ?T1 <http://valuenet/ontop/amount_claimed> ?T1_amount_claimed . ?T1 <http://valuenet/ontop/amount_settled> ?T1_amount_settled . } ORDER BY ASC (?T1_amount_settled) LIMIT 1
Find the claimed amount in the claim with the least amount settled. Show both the settlement amount and claim amount.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_amount_settled ?T1_amount_claimed WHERE { ?T1 a :claims . ?T1 :amount_settled ?T1_amount_settled . ?T1 :amount_claimed ?T1_amount_claimed . ?T1 :amount_settled ?T1_amount_settled . } ORDER BY ASC (?T1_amount_settled) LIMIT 1",SELECT ?T1_amount_settled ?T1_amount_claimed WHERE { ?T1 a <http://valuenet/ontop/claims> . ?T1 <http://valuenet/ontop/amount_settled> ?T1_amount_settled . ?T1 <http://valuenet/ontop/amount_claimed> ?T1_amount_claimed . ?T1 <http://valuenet/ontop/amount_settled> ?T1_amount_settled . } ORDER BY ASC (?T1_amount_settled) LIMIT 1
"Among all the claims, which claims have a claimed amount larger than the average? List the date the claim was made and the date it was settled.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_date_claim_made ?T1_date_claim_settled WHERE { ?T1 a :claims . ?T1 :date_claim_made ?T1_date_claim_made . ?T1 :date_claim_settled ?T1_date_claim_settled . ?T1 :amount_claimed ?T1_amount_claimed . FILTER(?T1_amount_claimed > (?aggregation_T22_amount_claimed_24)) . {SELECT (avg( ?T22_amount_claimed) as ?aggregation_T22_amount_claimed_24 ) WHERE { ?T22 a :claims . ?T22 :amount_claimed ?T22_amount_claimed . } } }",SELECT ?T1_date_claim_made ?T1_date_claim_settled WHERE { ?T1 a <http://valuenet/ontop/claims> . ?T1 <http://valuenet/ontop/date_claim_made> ?T1_date_claim_made . ?T1 <http://valuenet/ontop/date_claim_settled> ?T1_date_claim_settled . ?T1 <http://valuenet/ontop/amount_claimed> ?T1_amount_claimed . FILTER(?T1_amount_claimed > (?aggregation_T22_amount_claimed_24)) . {SELECT (avg( ?T22_amount_claimed) as ?aggregation_T22_amount_claimed_24 ) WHERE { ?T22 a <http://valuenet/ontop/claims> . ?T22 <http://valuenet/ontop/amount_claimed> ?T22_amount_claimed . } } }
"Give me the claim date, settlement date for all the claims whose claimed amount is larger than the average.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_date_claim_made ?T1_date_claim_settled WHERE { ?T1 a :claims . ?T1 :date_claim_made ?T1_date_claim_made . ?T1 :date_claim_settled ?T1_date_claim_settled . ?T1 :amount_claimed ?T1_amount_claimed . FILTER(?T1_amount_claimed > (?aggregation_T22_amount_claimed_47)) . {SELECT (avg( ?T22_amount_claimed) as ?aggregation_T22_amount_claimed_47 ) WHERE { ?T22 a :claims . ?T22 :amount_claimed ?T22_amount_claimed . } } }",SELECT ?T1_date_claim_made ?T1_date_claim_settled WHERE { ?T1 a <http://valuenet/ontop/claims> . ?T1 <http://valuenet/ontop/date_claim_made> ?T1_date_claim_made . ?T1 <http://valuenet/ontop/date_claim_settled> ?T1_date_claim_settled . ?T1 <http://valuenet/ontop/amount_claimed> ?T1_amount_claimed . FILTER(?T1_amount_claimed > (?aggregation_T22_amount_claimed_47)) . {SELECT (avg( ?T22_amount_claimed) as ?aggregation_T22_amount_claimed_47 ) WHERE { ?T22 a <http://valuenet/ontop/claims> . ?T22 <http://valuenet/ontop/amount_claimed> ?T22_amount_claimed . } } }
"Among all the claims, which settlements have a claimed amount that is no more than the average? List the claim start date.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_date_claim_made WHERE { ?T1 a :claims . ?T1 :date_claim_made ?T1_date_claim_made . ?T1 :amount_settled ?T1_amount_settled . FILTER(?T1_amount_settled <= (?aggregation_T22_amount_settled_155)) . {SELECT (avg( ?T22_amount_settled) as ?aggregation_T22_amount_settled_155 ) WHERE { ?T22 a :claims . ?T22 :amount_settled ?T22_amount_settled . } } }",SELECT ?T1_date_claim_made WHERE { ?T1 a <http://valuenet/ontop/claims> . ?T1 <http://valuenet/ontop/date_claim_made> ?T1_date_claim_made . ?T1 <http://valuenet/ontop/amount_settled> ?T1_amount_settled . FILTER(?T1_amount_settled <= (?aggregation_T22_amount_settled_155)) . {SELECT (avg( ?T22_amount_settled) as ?aggregation_T22_amount_settled_155 ) WHERE { ?T22 a <http://valuenet/ontop/claims> . ?T22 <http://valuenet/ontop/amount_settled> ?T22_amount_settled . } } }
Return the claim start date for the claims whose claimed amount is no more than the average,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_date_claim_made WHERE { ?T1 a :claims . ?T1 :date_claim_made ?T1_date_claim_made . ?T1 :amount_settled ?T1_amount_settled . FILTER(?T1_amount_settled <= (?aggregation_T22_amount_settled_155)) . {SELECT (avg( ?T22_amount_settled) as ?aggregation_T22_amount_settled_155 ) WHERE { ?T22 a :claims . ?T22 :amount_settled ?T22_amount_settled . } } }",SELECT ?T1_date_claim_made WHERE { ?T1 a <http://valuenet/ontop/claims> . ?T1 <http://valuenet/ontop/date_claim_made> ?T1_date_claim_made . ?T1 <http://valuenet/ontop/amount_settled> ?T1_amount_settled . FILTER(?T1_amount_settled <= (?aggregation_T22_amount_settled_155)) . {SELECT (avg( ?T22_amount_settled) as ?aggregation_T22_amount_settled_155 ) WHERE { ?T22 a <http://valuenet/ontop/claims> . ?T22 <http://valuenet/ontop/amount_settled> ?T22_amount_settled . } } }
