nl_question,sparql_partial_uri,sparql_complete_uri
How many branches where have more than average number of memberships are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :branch . ?T1 :membership_amount ?T1_membership_amount . FILTER(?T1_membership_amount > (?aggregation_T22_membership_amount_118)) . {SELECT (avg( ?T22_membership_amount) as ?aggregation_T22_membership_amount_118 ) WHERE { ?T22 a :branch . ?T22 :membership_amount ?T22_membership_amount . } } }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/branch> . ?T1 <http://valuenet/ontop/membership_amount> ?T1_membership_amount . FILTER(?T1_membership_amount > (?aggregation_T22_membership_amount_118)) . {SELECT (avg( ?T22_membership_amount) as ?aggregation_T22_membership_amount_118 ) WHERE { ?T22 a <http://valuenet/ontop/branch> . ?T22 <http://valuenet/ontop/membership_amount> ?T22_membership_amount . } } }
What is the number of branches that have more than the average number of memberships?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :branch . ?T1 :membership_amount ?T1_membership_amount . FILTER(?T1_membership_amount > (?aggregation_T22_membership_amount_80)) . {SELECT (avg( ?T22_membership_amount) as ?aggregation_T22_membership_amount_80 ) WHERE { ?T22 a :branch . ?T22 :membership_amount ?T22_membership_amount . } } }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/branch> . ?T1 <http://valuenet/ontop/membership_amount> ?T1_membership_amount . FILTER(?T1_membership_amount > (?aggregation_T22_membership_amount_80)) . {SELECT (avg( ?T22_membership_amount) as ?aggregation_T22_membership_amount_80 ) WHERE { ?T22 a <http://valuenet/ontop/branch> . ?T22 <http://valuenet/ontop/membership_amount> ?T22_membership_amount . } } }
"Show name, address road, and city for all branches sorted by open year.","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_address_road ?T1_city WHERE { ?T1 a :branch . ?T1 :name ?T1_name . ?T1 :address_road ?T1_address_road . ?T1 :city ?T1_city . ?T1 :open_year ?T1_open_year . } ORDER BY ASC (?T1_open_year)",SELECT ?T1_name ?T1_address_road ?T1_city WHERE { ?T1 a <http://valuenet/ontop/branch> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/address_road> ?T1_address_road . ?T1 <http://valuenet/ontop/city> ?T1_city . ?T1 <http://valuenet/ontop/open_year> ?T1_open_year . } ORDER BY ASC (?T1_open_year)
"What are the names, address roads, and cities of the branches ordered by opening year?","PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name ?T1_address_road ?T1_city WHERE { ?T1 a :branch . ?T1 :name ?T1_name . ?T1 :address_road ?T1_address_road . ?T1 :city ?T1_city . ?T1 :open_year ?T1_open_year . } ORDER BY ASC (?T1_open_year)",SELECT ?T1_name ?T1_address_road ?T1_city WHERE { ?T1 a <http://valuenet/ontop/branch> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/address_road> ?T1_address_road . ?T1 <http://valuenet/ontop/city> ?T1_city . ?T1 <http://valuenet/ontop/open_year> ?T1_open_year . } ORDER BY ASC (?T1_open_year)
What are names for top three branches with most number of membership?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :branch . ?T1 :name ?T1_name . ?T1 :membership_amount ?T1_membership_amount . } ORDER BY DESC (?T1_membership_amount) LIMIT 1",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/branch> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/membership_amount> ?T1_membership_amount . } ORDER BY DESC (?T1_membership_amount) LIMIT 1
What are the names for the 3 branches that have the most memberships?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_name WHERE { ?T1 a :branch . ?T1 :name ?T1_name . ?T1 :membership_amount ?T1_membership_amount . } ORDER BY DESC (?T1_membership_amount) LIMIT 1",SELECT ?T1_name WHERE { ?T1 a <http://valuenet/ontop/branch> . ?T1 <http://valuenet/ontop/name> ?T1_name . ?T1 <http://valuenet/ontop/membership_amount> ?T1_membership_amount . } ORDER BY DESC (?T1_membership_amount) LIMIT 1
Show all distinct city where branches with at least 100 memberships are located.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_city WHERE { ?T1 a :branch . ?T1 :city ?T1_city . ?T1 :membership_amount ?T1_membership_amount . FILTER(?T1_membership_amount >= 100) . }",SELECT DISTINCT ?T1_city WHERE { ?T1 a <http://valuenet/ontop/branch> . ?T1 <http://valuenet/ontop/city> ?T1_city . ?T1 <http://valuenet/ontop/membership_amount> ?T1_membership_amount . FILTER(?T1_membership_amount >= 100) . }
What are the different cities that have more than 100 memberships?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_city WHERE { ?T1 a :branch . ?T1 :city ?T1_city . ?T1 :membership_amount ?T1_membership_amount . FILTER(?T1_membership_amount >= 100) . }",SELECT DISTINCT ?T1_city WHERE { ?T1 a <http://valuenet/ontop/branch> . ?T1 <http://valuenet/ontop/city> ?T1_city . ?T1 <http://valuenet/ontop/membership_amount> ?T1_membership_amount . FILTER(?T1_membership_amount >= 100) . }
List all open years when at least two shops are opened.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_open_year WHERE { ?T1 a :branch . ?T1 :open_year ?T1_open_year . } GROUP BY ?T1_open_year HAVING(count( *) >= 2)",SELECT ?T1_open_year WHERE { ?T1 a <http://valuenet/ontop/branch> . ?T1 <http://valuenet/ontop/open_year> ?T1_open_year . } GROUP BY ?T1_open_year HAVING(count( *) >= 2)
What are the opening years in which at least two shops opened?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_open_year WHERE { ?T1 a :branch . ?T1 :open_year ?T1_open_year . } GROUP BY ?T1_open_year HAVING(count( *) >= 2)",SELECT ?T1_open_year WHERE { ?T1 a <http://valuenet/ontop/branch> . ?T1 <http://valuenet/ontop/open_year> ?T1_open_year . } GROUP BY ?T1_open_year HAVING(count( *) >= 2)
