nl_question,sparql_partial_uri,sparql_complete_uri
Find the names of all modern rooms with a base price below $160 and two beds.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_roomname WHERE { ?T1 a :rooms . ?T1 :roomname ?T1_roomname . ?T1 :baseprice ?T1_baseprice . ?T1 :beds ?T1_beds . ?T1 :decor ?T1_decor . FILTER(?T1_baseprice < 160 && ?T1_beds = 2 && ?T1_decor = 'modern') . }",SELECT ?T1_roomname WHERE { ?T1 a <http://valuenet/ontop/rooms> . ?T1 <http://valuenet/ontop/roomname> ?T1_roomname . ?T1 <http://valuenet/ontop/baseprice> ?T1_baseprice . ?T1 <http://valuenet/ontop/beds> ?T1_beds . ?T1 <http://valuenet/ontop/decor> ?T1_decor . FILTER(?T1_baseprice < 160 && ?T1_beds = 2 && ?T1_decor = 'modern') . }
What are the names of modern rooms that have a base price lower than $160 and two beds.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_roomname WHERE { ?T1 a :rooms . ?T1 :roomname ?T1_roomname . ?T1 :baseprice ?T1_baseprice . ?T1 :beds ?T1_beds . ?T1 :decor ?T1_decor . FILTER(?T1_baseprice < 160 && ?T1_beds = 2 && ?T1_decor = 'modern') . }",SELECT ?T1_roomname WHERE { ?T1 a <http://valuenet/ontop/rooms> . ?T1 <http://valuenet/ontop/roomname> ?T1_roomname . ?T1 <http://valuenet/ontop/baseprice> ?T1_baseprice . ?T1 <http://valuenet/ontop/beds> ?T1_beds . ?T1 <http://valuenet/ontop/decor> ?T1_decor . FILTER(?T1_baseprice < 160 && ?T1_beds = 2 && ?T1_decor = 'modern') . }
Find all the rooms that have a price higher than 160 and can accommodate more than 2 people. Report room names and ids.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_roomname ?T1_roomid WHERE { ?T1 a :rooms . ?T1 :roomname ?T1_roomname . ?T1 :roomid ?T1_roomid . ?T1 :baseprice ?T1_baseprice . ?T1 :maxoccupancy ?T1_maxoccupancy . FILTER(?T1_baseprice > 160 && ?T1_maxoccupancy > 2) . }",SELECT ?T1_roomname ?T1_roomid WHERE { ?T1 a <http://valuenet/ontop/rooms> . ?T1 <http://valuenet/ontop/roomname> ?T1_roomname . ?T1 <http://valuenet/ontop/roomid> ?T1_roomid . ?T1 <http://valuenet/ontop/baseprice> ?T1_baseprice . ?T1 <http://valuenet/ontop/maxoccupancy> ?T1_maxoccupancy . FILTER(?T1_baseprice > 160 && ?T1_maxoccupancy > 2) . }
What are the room names and ids of all the rooms that cost more than 160 and can accommodate more than two people.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_roomname ?T1_roomid WHERE { ?T1 a :rooms . ?T1 :roomname ?T1_roomname . ?T1 :roomid ?T1_roomid . ?T1 :baseprice ?T1_baseprice . ?T1 :maxoccupancy ?T1_maxoccupancy . FILTER(?T1_baseprice > 160 && ?T1_maxoccupancy > 2) . }",SELECT ?T1_roomname ?T1_roomid WHERE { ?T1 a <http://valuenet/ontop/rooms> . ?T1 <http://valuenet/ontop/roomname> ?T1_roomname . ?T1 <http://valuenet/ontop/roomid> ?T1_roomid . ?T1 <http://valuenet/ontop/baseprice> ?T1_baseprice . ?T1 <http://valuenet/ontop/maxoccupancy> ?T1_maxoccupancy . FILTER(?T1_baseprice > 160 && ?T1_maxoccupancy > 2) . }
Find the most popular room in the hotel. The most popular room is the room that had seen the largest number of reservations.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_roomname (count( *) as ?aggregation_all) WHERE { ?T1 a :rooms . ?T2 a :reservations . ?T2 :ref-room ?T1 . ?T1 :roomname ?T1_roomname . } GROUP BY ?T1_roomname ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_roomname (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/rooms> . ?T2 a <http://valuenet/ontop/reservations> . ?T2 <http://valuenet/ontop/ref-room> ?T1 . ?T1 <http://valuenet/ontop/roomname> ?T1_roomname . } GROUP BY ?T1_roomname ORDER BY DESC (?aggregation_all) LIMIT 1
Which room has the largest number of reservations?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_roomname (count( *) as ?aggregation_all) WHERE { ?T1 a :rooms . ?T2 a :reservations . ?T2 :ref-room ?T1 . ?T1 :roomname ?T1_roomname . } GROUP BY ?T1_roomname ORDER BY DESC (?aggregation_all) LIMIT 1",SELECT ?T1_roomname (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/rooms> . ?T2 a <http://valuenet/ontop/reservations> . ?T2 <http://valuenet/ontop/ref-room> ?T1 . ?T1 <http://valuenet/ontop/roomname> ?T1_roomname . } GROUP BY ?T1_roomname ORDER BY DESC (?aggregation_all) LIMIT 1
How many kids stay in the rooms reserved by ROY SWEAZY?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_kids WHERE { ?T1 a :reservations . ?T1 :kids ?T1_kids . ?T1 :firstname ?T1_firstname . ?T1 :lastname ?T1_lastname . FILTER(?T1_firstname = 'ROY' && ?T1_lastname = 'SWEAZY') . }",SELECT ?T1_kids WHERE { ?T1 a <http://valuenet/ontop/reservations> . ?T1 <http://valuenet/ontop/kids> ?T1_kids . ?T1 <http://valuenet/ontop/firstname> ?T1_firstname . ?T1 <http://valuenet/ontop/lastname> ?T1_lastname . FILTER(?T1_firstname = 'ROY' && ?T1_lastname = 'SWEAZY') . }
Find the number of kids staying in the rooms reserved by a person called ROY SWEAZ.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_kids WHERE { ?T1 a :reservations . ?T1 :kids ?T1_kids . ?T1 :firstname ?T1_firstname . ?T1 :lastname ?T1_lastname . FILTER(?T1_firstname = 'ROY' && ?T1_lastname = 'SWEAZY') . }",SELECT ?T1_kids WHERE { ?T1 a <http://valuenet/ontop/reservations> . ?T1 <http://valuenet/ontop/kids> ?T1_kids . ?T1 <http://valuenet/ontop/firstname> ?T1_firstname . ?T1 <http://valuenet/ontop/lastname> ?T1_lastname . FILTER(?T1_firstname = 'ROY' && ?T1_lastname = 'SWEAZY') . }
How many times does ROY SWEAZY has reserved a room.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :reservations . ?T1 :firstname ?T1_firstname . ?T1 :lastname ?T1_lastname . FILTER(?T1_firstname = 'ROY' && ?T1_lastname = 'SWEAZY') . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/reservations> . ?T1 <http://valuenet/ontop/firstname> ?T1_firstname . ?T1 <http://valuenet/ontop/lastname> ?T1_lastname . FILTER(?T1_firstname = 'ROY' && ?T1_lastname = 'SWEAZY') . }
Find the number of times ROY SWEAZY has reserved a room.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :reservations . ?T1 :firstname ?T1_firstname . ?T1 :lastname ?T1_lastname . FILTER(?T1_firstname = 'ROY' && ?T1_lastname = 'SWEAZY') . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/reservations> . ?T1 <http://valuenet/ontop/firstname> ?T1_firstname . ?T1 <http://valuenet/ontop/lastname> ?T1_lastname . FILTER(?T1_firstname = 'ROY' && ?T1_lastname = 'SWEAZY') . }
"Which room has the highest rate? List the room's full name, rate, check in and check out date.","PREFIX : <http://valuenet/ontop/>
SELECT ?T2_roomname ?T1_rate ?T1_checkin ?T1_checkout WHERE { ?T1 a :reservations . ?T2 a :rooms . ?T1 :ref-room ?T2 . ?T2 :roomname ?T2_roomname . ?T1 :rate ?T1_rate . ?T1 :checkin ?T1_checkin . ?T1 :checkout ?T1_checkout . } ORDER BY DESC (?T1_rate) LIMIT 1",SELECT ?T2_roomname ?T1_rate ?T1_checkin ?T1_checkout WHERE { ?T1 a <http://valuenet/ontop/reservations> . ?T2 a <http://valuenet/ontop/rooms> . ?T1 <http://valuenet/ontop/ref-room> ?T2 . ?T2 <http://valuenet/ontop/roomname> ?T2_roomname . ?T1 <http://valuenet/ontop/rate> ?T1_rate . ?T1 <http://valuenet/ontop/checkin> ?T1_checkin . ?T1 <http://valuenet/ontop/checkout> ?T1_checkout . } ORDER BY DESC (?T1_rate) LIMIT 1
